date,나스닥상장
2020-03-20,0.0223
2020-03-21,0.01258
2020-03-22,0.00629
2020-03-23,0.01315
2020-03-24,0.01086
2020-03-25,0.01658
2020-03-26,0.01601
2020-03-27,0.01601
2020-03-28,0.01143
2020-03-29,0.00629
2020-03-30,0.01772
2020-03-31,0.01601
2020-04-01,0.01315
2020-04-02,0.01258
2020-04-03,0.01944
2020-04-04,0.00686
2020-04-05,0.008
2020-04-06,0.01258
2020-04-07,0.02001
2020-04-08,0.01715
2020-04-09,0.01601
2020-04-10,0.01258
2020-04-11,0.01029
2020-04-12,0.01715
2020-04-13,0.02401
2020-04-14,0.02058
2020-04-15,0.01486
2020-04-16,0.02001
2020-04-17,0.0223
2020-04-18,0.01544
2020-04-19,0.00972
2020-04-20,0.01658
2020-04-21,0.02173
2020-04-22,0.01772
2020-04-23,0.01658
2020-04-24,0.01601
2020-04-25,0.01715
2020-04-26,0.01315
2020-04-27,0.012
2020-04-28,0.01544
2020-04-29,0.01143
2020-04-30,0.01315
2020-05-01,0.012
2020-05-02,0.004
2020-05-04,0.01086
2020-05-05,0.00629
2020-05-06,0.01143
2020-05-07,0.01143
2020-05-08,0.01544
2020-05-09,0.008
2020-05-10,0.01772
2020-05-11,0.01315
2020-05-12,0.01829
2020-05-13,0.00914
2020-05-14,0.01486
2020-05-15,0.01029
2020-05-16,0.012
2020-05-17,0.00686
2020-05-18,0.01544
2020-05-19,0.01544
2020-05-20,0.02058
2020-05-21,0.01544
2020-05-22,0.02344
2020-05-23,0.01372
2020-05-24,0.012
2020-05-25,0.01372
2020-05-26,0.0223
2020-05-27,0.02744
2020-05-28,0.02058
2020-05-29,0.01829
2020-05-30,0.01658
2020-05-31,0.01029
2020-06-01,0.01143
2020-06-02,0.02287
2020-06-03,0.03659
2020-06-04,0.02401
2020-06-05,0.02859
2020-06-06,0.02401
2020-06-07,0.01544
2020-06-08,0.03202
2020-06-09,0.06805
2020-06-10,0.06976
2020-06-11,0.02916
2020-06-12,0.01772
2020-06-13,0.01715
2020-06-14,0.02344
2020-06-15,0.01315
2020-06-16,0.02744
2020-06-17,0.02173
2020-06-18,0.01658
2020-06-19,0.0263
2020-06-20,0.01544
2020-06-21,0.01086
2020-06-22,0.0263
2020-06-23,0.02687
2020-06-24,0.03202
2020-06-25,0.02459
2020-06-26,0.02173
2020-06-27,0.02001
2020-06-28,0.01429
2020-06-29,0.02001
2020-06-30,0.02916
2020-07-01,0.03602
2020-07-02,0.04117
2020-07-03,0.01829
2020-07-04,0.01429
2020-07-05,0.01143
2020-07-06,0.02287
2020-07-07,0.1321
2020-07-08,0.06976
2020-07-09,0.04746
2020-07-10,0.05146
2020-07-11,0.01772
2020-07-12,0.012
2020-07-13,0.03488
2020-07-14,0.03602
2020-07-15,0.03374
2020-07-16,0.02344
2020-07-17,0.02744
2020-07-18,0.01715
2020-07-19,0.01829
2020-07-20,0.02744
2020-07-21,0.02802
2020-07-22,0.03488
2020-07-23,0.0263
2020-07-24,0.01829
2020-07-25,0.01772
2020-07-26,0.01772
2020-07-27,0.02859
2020-07-28,0.02859
2020-07-29,0.02573
2020-07-30,0.03202
2020-07-31,0.01829
2020-08-01,0.012
2020-08-02,0.00857
2020-08-03,0.02058
2020-08-04,0.03545
2020-08-05,0.05833
2020-08-06,0.03374
2020-08-07,0.04918
2020-08-08,0.02001
2020-08-09,0.02001
2020-08-10,0.02916
2020-08-11,0.0406
2020-08-12,0.02916
2020-08-13,0.04174
2020-08-14,0.07891
2020-08-15,0.03945
2020-08-16,0.03831
2020-08-17,0.03659
2020-08-18,0.03602
2020-08-19,0.05032
2020-08-20,0.05375
2020-08-21,0.04003
2020-08-22,0.03488
2020-08-23,100.0
2020-08-24,0.34655
2020-08-25,0.12695
2020-08-26,0.10122
2020-08-27,0.11151
2020-08-28,0.08578
2020-08-29,0.07891
2020-08-30,0.05089
2020-08-31,0.04918
2020-09-01,0.05833
2020-09-02,0.07605
2020-09-03,0.06176
2020-09-04,0.06233
2020-09-05,0.03602
2020-09-06,0.04003
2020-09-07,0.05489
2020-09-08,0.05661
2020-09-09,0.0589
2020-09-10,0.05489
2020-09-11,0.06061
2020-09-12,0.05947
2020-09-13,0.03374
2020-09-14,0.05032
2020-09-15,0.06862
2020-09-16,0.23503
2020-09-17,0.18814
2020-09-18,0.12066
2020-09-19,0.05261
2020-09-20,0.03374
2020-09-21,0.07034
2020-09-22,0.08578
2020-09-23,0.08349
2020-09-24,0.12123
2020-09-25,0.09092
2020-09-26,0.04174
2020-09-27,0.03602
2020-09-28,0.03945
2020-09-29,0.04003
2020-09-30,0.02516
2020-10-01,0.0303
2020-10-02,0.03488
2020-10-03,0.01829
2020-10-04,0.01372
2020-10-05,0.02859
2020-10-06,0.03202
2020-10-07,0.03774
2020-10-08,0.02859
2020-10-09,0.01486
2020-10-10,0.01658
2020-10-11,0.00972
2020-10-12,0.0223
2020-10-13,0.02173
2020-10-14,0.02802
2020-10-15,0.0263
2020-10-16,0.02459
2020-10-17,0.01143
2020-10-18,0.012
2020-10-19,0.01429
2020-10-20,0.01772
2020-10-21,0.02173
2020-10-22,0.02115
2020-10-23,0.02173
2020-10-24,0.01429
2020-10-25,0.00914
2020-10-26,0.01829
2020-10-27,0.012
2020-10-28,0.03088
2020-10-29,0.03259
2020-10-30,0.04003
2020-10-31,0.02459
2020-11-01,0.02744
2020-11-02,0.02401
2020-11-03,0.03545
2020-11-04,0.02859
2020-11-05,0.02744
2020-11-06,0.11666
2020-11-07,0.02516
2020-11-08,0.01658
2020-11-09,0.04003
2020-11-10,0.02115
2020-11-11,0.02344
2020-11-12,0.05032
2020-11-13,0.02687
2020-11-14,0.01029
2020-11-15,0.01772
2020-11-16,0.02344
2020-11-17,0.02173
2020-11-18,0.0486
2020-11-19,0.06004
2020-11-20,0.04517
2020-11-21,0.03945
2020-11-22,0.01829
2020-11-23,0.03545
2020-11-24,0.05146
2020-11-25,0.04975
2020-11-26,0.03774
2020-11-27,0.04117
2020-11-28,0.02916
2020-11-29,0.04231
2020-11-30,0.03316
2020-12-01,0.03259
2020-12-02,0.03202
2020-12-03,0.02859
2020-12-04,0.04403
2020-12-05,0.02287
2020-12-06,0.03316
2020-12-07,0.03316
2020-12-08,0.03431
2020-12-09,0.04574
2020-12-10,0.0669
2020-12-11,0.05032
2020-12-12,0.03145
2020-12-13,0.02859
2020-12-14,0.02973
2020-12-15,0.02344
2020-12-16,0.02859
2020-12-17,0.04289
2020-12-18,0.0629
2020-12-19,0.03316
2020-12-20,0.02573
2020-12-21,0.03888
2020-12-22,0.03717
2020-12-23,0.02973
2020-12-24,0.07377
2020-12-25,0.03374
2020-12-26,0.0223
2020-12-27,0.02287
2020-12-28,0.0303
2020-12-29,0.02802
2020-12-30,0.02459
2020-12-31,0.02344
2021-01-01,0.01772
2021-01-02,0.01715
2021-01-03,0.01715
2021-01-04,0.03202
2021-01-05,0.03316
2021-01-06,0.03431
2021-01-07,0.03374
2021-01-08,0.03774
2021-01-09,0.0263
