date,프론트엔드
2020-03-20,10.03316
2020-03-21,6.05306
2020-03-22,6.63349
2020-03-23,11.44278
2020-03-24,10.36484
2020-03-25,10.86235
2020-03-26,12.43781
2020-03-27,8.20895
2020-03-28,5.47263
2020-03-29,7.96019
2020-03-30,10.199
2020-03-31,9.53565
2020-04-01,11.19402
2020-04-02,11.60862
2020-04-03,8.8723
2020-04-04,5.47263
2020-04-05,5.22388
2020-04-06,10.77943
2020-04-07,11.02819
2020-04-08,13.01824
2020-04-09,10.03316
2020-04-10,10.11608
2020-04-11,3.48258
2020-04-12,7.62852
2020-04-13,10.69651
2020-04-14,11.19402
2020-04-15,5.80431
2020-04-16,11.44278
2020-04-17,10.69651
2020-04-18,6.88225
2020-04-19,6.88225
2020-04-20,9.78441
2020-04-21,11.35986
2020-04-22,12.52072
2020-04-23,8.37479
2020-04-24,10.77943
2020-04-25,4.47761
2020-04-26,6.30182
2020-04-27,12.68656
2020-04-28,9.86733
2020-04-29,9.36981
2020-04-30,8.37479
2020-05-01,7.29684
2020-05-02,5.05804
2020-05-03,5.30679
2020-05-04,9.53565
2020-05-05,6.55058
2020-05-06,11.85737
2020-05-07,11.35986
2020-05-08,8.70646
2020-05-09,4.47761
2020-05-10,6.63349
2020-05-11,15.00829
2020-05-12,11.77446
2020-05-13,10.69651
2020-05-14,11.02819
2020-05-15,10.86235
2020-05-16,6.38474
2020-05-17,6.55058
2020-05-18,12.02321
2020-05-19,9.36981
2020-05-20,11.69154
2020-05-21,11.69154
2020-05-22,10.77943
2020-05-23,6.05306
2020-05-24,9.20398
2020-05-25,14.01326
2020-05-26,13.68159
2020-05-27,12.52072
2020-05-28,12.8524
2020-05-29,13.18407
2020-05-30,7.04809
2020-05-31,8.12603
2020-06-01,12.8524
2020-06-02,12.18905
2020-06-03,10.86235
2020-06-04,12.10613
2020-06-05,10.69651
2020-06-06,5.80431
2020-06-07,7.5456
2020-06-08,11.44278
2020-06-09,10.77943
2020-06-10,12.35489
2020-06-11,10.11608
2020-06-12,10.11608
2020-06-13,5.30679
2020-06-14,7.21393
2020-06-15,11.19402
2020-06-16,12.93532
2020-06-17,12.02321
2020-06-18,12.93532
2020-06-19,12.68656
2020-06-20,5.38971
2020-06-21,6.55058
2020-06-22,11.69154
2020-06-23,10.69651
2020-06-24,12.18905
2020-06-25,12.27197
2020-06-26,9.70149
2020-06-27,6.79933
2020-06-28,8.95522
2020-06-29,15.17412
2020-06-30,11.94029
2020-07-01,15.67164
2020-07-02,11.27694
2020-07-03,9.12106
2020-07-04,5.88723
2020-07-05,6.2189
2020-07-06,12.93532
2020-07-07,11.02819
2020-07-08,11.27694
2020-07-09,12.43781
2020-07-10,9.70149
2020-07-11,6.55058
2020-07-12,6.71641
2020-07-13,13.51575
2020-07-14,11.60862
2020-07-15,9.95024
2020-07-16,10.77943
2020-07-17,11.11111
2020-07-18,6.63349
2020-07-19,7.71144
2020-07-20,13.01824
2020-07-21,11.27694
2020-07-22,10.53067
2020-07-23,10.77943
2020-07-24,12.76948
2020-07-25,5.80431
2020-07-26,5.47263
2020-07-27,11.77446
2020-07-28,12.68656
2020-07-29,12.76948
2020-07-30,9.86733
2020-07-31,12.10613
2020-08-01,5.47263
2020-08-02,5.80431
2020-08-03,10.44776
2020-08-04,11.27694
2020-08-05,12.76948
2020-08-06,10.69651
2020-08-07,10.199
2020-08-08,5.88723
2020-08-09,6.2189
2020-08-10,11.35986
2020-08-11,13.01824
2020-08-12,11.19402
2020-08-13,11.02819
2020-08-14,8.8723
2020-08-15,6.79933
2020-08-16,5.63847
2020-08-17,7.71144
2020-08-18,9.61857
2020-08-19,13.84742
2020-08-20,11.60862
2020-08-21,11.35986
2020-08-22,5.38971
2020-08-23,7.21393
2020-08-24,13.93034
2020-08-25,13.68159
2020-08-26,14.67661
2020-08-27,11.19402
2020-08-28,13.26699
2020-08-29,6.71641
2020-08-30,8.29187
2020-08-31,14.75953
2020-09-01,13.01824
2020-09-02,13.10116
2020-09-03,14.67661
2020-09-04,11.60862
2020-09-05,7.04809
2020-09-06,10.69651
2020-09-07,16.08623
2020-09-08,13.76451
2020-09-09,14.1791
2020-09-10,13.76451
2020-09-11,13.59867
2020-09-12,6.71641
2020-09-13,6.46766
2020-09-14,14.92537
2020-09-15,12.10613
2020-09-16,13.76451
2020-09-17,13.59867
2020-09-18,12.52072
2020-09-19,6.2189
2020-09-20,9.53565
2020-09-21,14.34494
2020-09-22,14.59369
2020-09-23,13.18407
2020-09-24,13.26699
2020-09-25,10.77943
2020-09-26,6.63349
2020-09-27,9.03814
2020-09-28,10.11608
2020-09-29,8.62354
2020-09-30,5.47263
2020-10-01,5.47263
2020-10-02,7.04809
2020-10-03,4.31177
2020-10-04,8.78938
2020-10-05,13.51575
2020-10-06,12.43781
2020-10-07,12.68656
2020-10-08,9.36981
2020-10-09,4.97512
2020-10-10,7.29684
2020-10-11,7.04809
