date,그림구매
2020-03-20,32.32323
2020-03-21,31.81818
2020-03-22,30.30303
2020-03-23,20.70707
2020-03-24,27.77777
2020-03-25,20.70707
2020-03-26,15.65656
2020-03-27,19.69696
2020-03-28,27.27272
2020-03-29,43.43434
2020-03-30,33.83838
2020-03-31,34.34343
2020-04-01,31.31313
2020-04-02,27.77777
2020-04-03,35.85858
2020-04-04,33.33333
2020-04-05,38.88888
2020-04-06,28.28282
2020-04-07,38.38383
2020-04-08,31.81818
2020-04-09,30.30303
2020-04-10,32.82828
2020-04-11,26.76767
2020-04-12,21.21212
2020-04-13,31.81818
2020-04-14,24.24242
2020-04-15,29.79797
2020-04-16,31.31313
2020-04-17,32.82828
2020-04-18,50.50505
2020-04-19,44.94949
2020-04-20,25.25252
2020-04-21,39.39393
2020-04-22,31.81818
2020-04-23,30.80808
2020-04-24,34.84848
2020-04-25,22.22222
2020-04-26,24.74747
2020-04-27,30.80808
2020-04-28,28.78787
2020-04-29,33.83838
2020-04-30,22.22222
2020-05-01,27.27272
2020-05-02,17.17171
2020-05-03,30.80808
2020-05-04,36.36363
2020-05-05,34.84848
2020-05-06,44.44444
2020-05-07,43.93939
2020-05-08,27.77777
2020-05-09,27.27272
2020-05-10,46.96969
2020-05-11,28.78787
2020-05-12,22.72727
2020-05-13,28.28282
2020-05-14,29.79797
2020-05-15,35.35353
2020-05-16,40.40404
2020-05-17,36.86868
2020-05-18,35.35353
2020-05-19,23.73737
2020-05-20,27.77777
2020-05-21,33.83838
2020-05-22,23.23232
2020-05-23,35.85858
2020-05-24,42.92929
2020-05-25,25.75757
2020-05-26,33.83838
2020-05-27,27.27272
2020-05-28,27.27272
2020-05-29,30.80808
2020-05-30,27.27272
2020-05-31,33.83838
2020-06-01,26.26262
2020-06-02,33.83838
2020-06-03,31.31313
2020-06-04,30.30303
2020-06-05,36.86868
2020-06-06,26.26262
2020-06-07,29.29292
2020-06-08,30.30303
2020-06-09,27.77777
2020-06-10,29.29292
2020-06-11,33.83838
2020-06-12,29.79797
2020-06-13,21.71717
2020-06-14,25.25252
2020-06-15,26.76767
2020-06-16,21.71717
2020-06-17,19.69696
2020-06-18,32.32323
2020-06-19,36.36363
2020-06-20,33.83838
2020-06-21,37.87878
2020-06-22,37.87878
2020-06-23,36.86868
2020-06-24,23.23232
2020-06-25,40.40404
2020-06-26,21.21212
2020-06-27,37.37373
2020-06-28,35.35353
2020-06-29,34.34343
2020-06-30,19.69696
2020-07-01,26.26262
2020-07-02,25.75757
2020-07-03,29.29292
2020-07-04,30.30303
2020-07-05,40.90909
2020-07-06,35.85858
2020-07-07,27.77777
2020-07-08,28.78787
2020-07-09,17.67676
2020-07-10,26.76767
2020-07-11,28.28282
2020-07-12,40.40404
2020-07-13,28.28282
2020-07-14,32.82828
2020-07-15,27.27272
2020-07-16,36.86868
2020-07-17,29.79797
2020-07-18,23.73737
2020-07-19,41.41414
2020-07-20,44.44444
2020-07-21,31.31313
2020-07-22,23.23232
2020-07-23,28.78787
2020-07-24,18.68686
2020-07-25,21.21212
2020-07-26,31.81818
2020-07-27,21.21212
2020-07-28,19.69696
2020-07-29,23.23232
2020-07-30,30.30303
2020-07-31,24.24242
2020-08-01,16.16161
2020-08-02,25.25252
2020-08-03,35.35353
2020-08-04,30.80808
2020-08-05,19.69696
2020-08-06,27.27272
2020-08-07,23.23232
2020-08-08,32.82828
2020-08-09,36.36363
2020-08-10,23.73737
2020-08-11,32.82828
2020-08-12,17.17171
2020-08-13,19.69696
2020-08-14,25.75757
2020-08-15,31.81818
2020-08-16,26.76767
2020-08-17,25.25252
2020-08-18,16.66666
2020-08-19,12.12121
2020-08-20,19.19191
2020-08-21,19.19191
2020-08-22,30.80808
2020-08-23,44.44444
2020-08-24,31.31313
2020-08-25,23.73737
2020-08-26,25.75757
2020-08-27,23.23232
2020-08-28,32.82828
2020-08-29,37.37373
2020-08-30,36.86868
2020-08-31,19.69696
2020-09-01,22.72727
2020-09-02,29.79797
2020-09-03,27.27272
2020-09-04,30.30303
2020-09-05,44.44444
2020-09-06,29.79797
2020-09-07,34.34343
2020-09-08,24.24242
2020-09-09,29.79797
2020-09-10,25.25252
2020-09-11,35.85858
2020-09-12,36.86868
2020-09-13,40.40404
2020-09-14,51.51515
2020-09-15,34.84848
2020-09-16,32.82828
2020-09-17,29.79797
2020-09-18,33.33333
2020-09-19,32.82828
2020-09-20,33.33333
2020-09-21,28.28282
2020-09-22,19.19191
2020-09-23,17.17171
2020-09-24,22.22222
2020-09-25,32.32323
2020-09-26,26.26262
2020-09-27,38.38383
2020-09-28,30.80808
2020-09-29,20.20202
2020-09-30,29.29292
2020-10-01,32.82828
2020-10-02,24.24242
2020-10-03,29.29292
2020-10-04,39.39393
2020-10-05,32.32323
2020-10-06,32.82828
2020-10-07,30.80808
2020-10-08,18.68686
2020-10-09,30.80808
2020-10-10,32.32323
2020-10-11,38.38383
2020-10-12,33.83838
2020-10-13,25.75757
2020-10-14,22.72727
2020-10-15,18.68686
2020-10-16,22.22222
2020-10-17,35.35353
2020-10-18,35.35353
2020-10-19,37.87878
2020-10-20,40.90909
2020-10-21,33.83838
2020-10-22,30.80808
2020-10-23,31.81818
2020-10-24,32.32323
2020-10-25,35.85858
2020-10-26,40.90909
2020-10-27,23.23232
2020-10-28,32.32323
2020-10-29,45.95959
2020-10-30,26.76767
2020-10-31,24.74747
2020-11-01,46.96969
2020-11-02,37.87878
2020-11-03,20.70707
2020-11-04,34.34343
2020-11-05,27.27272
2020-11-06,23.23232
2020-11-07,29.79797
2020-11-08,36.86868
2020-11-09,32.82828
2020-11-10,37.87878
2020-11-11,34.34343
2020-11-12,18.68686
2020-11-13,28.28282
2020-11-14,32.32323
2020-11-15,44.94949
2020-11-16,32.82828
2020-11-17,28.28282
2020-11-18,25.25252
2020-11-19,29.29292
2020-11-20,32.82828
2020-11-21,33.83838
2020-11-22,18.68686
2020-11-23,30.30303
2020-11-24,27.27272
2020-11-25,27.77777
2020-11-26,28.28282
2020-11-27,24.24242
2020-11-28,27.77777
2020-11-29,40.90909
2020-11-30,24.74747
2020-12-01,29.79797
2020-12-02,22.22222
2020-12-03,26.26262
2020-12-04,28.28282
2020-12-05,31.31313
2020-12-06,40.40404
2020-12-07,52.52525
2020-12-08,34.34343
2020-12-09,47.97979
2020-12-10,34.84848
2020-12-11,34.84848
2020-12-12,37.87878
2020-12-13,54.0404
2020-12-14,27.77777
2020-12-15,41.91919
2020-12-16,49.49494
2020-12-17,41.41414
2020-12-18,30.30303
2020-12-19,38.38383
2020-12-20,38.88888
2020-12-21,44.44444
2020-12-22,33.83838
2020-12-23,36.86868
2020-12-24,30.80808
2020-12-25,39.89898
2020-12-26,40.40404
