date,코박토큰
2020-09-11,0.15086
2020-09-15,0.01019
2020-09-18,0.01223
2020-09-20,0.01019
2020-09-21,0.01019
2020-12-17,0.01223
2020-12-21,1.41692
2020-12-22,2.69317
2020-12-23,1.12742
2020-12-24,4.91946
2020-12-25,2.58715
2020-12-26,3.08053
2020-12-27,2.11213
2020-12-28,1.474
2020-12-29,1.38226
2020-12-30,0.68705
2020-12-31,0.68297
2021-01-01,0.84811
2021-01-02,0.72579
2021-01-03,0.46483
2021-01-04,0.42405
2021-01-05,0.29357
2021-01-06,0.52803
2021-01-07,0.58715
2021-01-08,0.55249
2021-01-09,0.66258
2021-01-10,0.57288
2021-01-11,0.39347
2021-01-12,0.34658
2021-01-13,0.30173
2021-01-14,0.37104
2021-01-15,0.33231
2021-01-16,0.28134
2021-01-17,0.2793
2021-01-18,0.34862
2021-01-19,0.46075
2021-01-20,0.44036
2021-01-21,0.2528
2021-01-22,0.26299
2021-01-23,0.33231
2021-01-24,0.25891
2021-01-25,0.21202
2021-01-26,0.19571
2021-01-27,0.60142
2021-01-28,0.41997
2021-01-29,0.19571
2021-01-30,0.18144
2021-01-31,0.21406
2021-02-01,0.33435
2021-02-02,0.22629
2021-02-03,0.23241
2021-02-04,0.316
2021-02-05,0.30173
2021-02-06,0.27115
2021-02-07,0.22222
2021-02-08,0.22222
2021-02-09,0.40163
2021-02-10,0.38124
2021-02-11,0.53414
2021-02-12,0.64016
2021-02-13,0.6055
2021-02-14,0.9582
2021-02-15,0.46075
2021-02-16,0.46075
2021-02-17,2.80733
2021-02-18,4.97655
2021-02-19,3.51885
2021-02-20,1.97961
2021-02-21,2.6055
2021-02-22,1.52497
2021-02-23,0.90723
2021-02-24,0.75229
2021-02-25,3.06014
2021-02-26,7.1845
2021-02-27,3.211
2021-02-28,1.01732
2021-03-01,1.03363
2021-03-02,0.92354
2021-03-03,1.34964
2021-03-04,1.22528
2021-03-05,0.55045
2021-03-06,0.62793
2021-03-07,0.63608
2021-03-08,0.97655
2021-03-09,0.89704
2021-03-10,1.48216
2021-03-11,0.9215
2021-03-12,0.77471
2021-03-13,0.96228
2021-03-14,1.30071
2021-03-15,5.19266
2021-03-16,1.47196
2021-03-17,1.03771
2021-03-18,0.95412
2021-03-19,1.27013
2021-03-20,1.36595
2021-03-21,0.88685
2021-03-22,1.13557
