date,코스닥상장요건
2020-03-20,41.74757
2020-03-21,29.12621
2020-03-22,29.61165
2020-03-23,51.45631
2020-03-24,66.99029
2020-03-25,48.54368
2020-03-26,61.65048
2020-03-27,53.39805
2020-03-28,30.09708
2020-03-29,28.15533
2020-03-30,49.51456
2020-03-31,62.62135
2020-04-01,50.0
2020-04-02,39.80582
2020-04-03,45.14563
2020-04-04,27.6699
2020-04-05,28.64077
2020-04-06,42.71844
2020-04-07,41.74757
2020-04-08,39.80582
2020-04-09,36.8932
2020-04-10,39.80582
2020-04-11,22.81553
2020-04-12,40.29126
2020-04-13,33.98058
2020-04-14,39.32038
2020-04-15,27.6699
2020-04-16,53.39805
2020-04-17,49.02912
2020-04-18,33.0097
2020-04-19,30.58252
2020-04-20,37.37864
2020-04-21,38.83495
2020-04-22,66.01941
2020-04-23,61.16504
2020-04-24,55.82524
2020-04-25,27.6699
2020-04-26,25.72815
2020-04-27,47.08737
2020-04-28,50.0
2020-04-29,48.54368
2020-04-30,26.69902
2020-05-01,30.58252
2020-05-02,24.27184
2020-05-03,22.33009
2020-05-04,33.0097
2020-05-05,26.21359
2020-05-06,36.8932
2020-05-07,48.05825
2020-05-08,49.02912
2020-05-09,33.0097
2020-05-10,22.81553
2020-05-11,33.98058
2020-05-12,46.60194
2020-05-13,45.14563
2020-05-14,35.92233
2020-05-15,37.86407
2020-05-16,19.90291
2020-05-17,29.61165
2020-05-18,34.46601
2020-05-19,40.77669
2020-05-20,58.73786
2020-05-21,58.73786
2020-05-22,60.67961
2020-05-23,23.7864
2020-05-24,25.72815
2020-05-25,45.14563
2020-05-26,33.0097
2020-05-27,50.97087
2020-05-28,58.25242
2020-05-29,38.34951
2020-05-30,27.6699
2020-05-31,26.69902
2020-06-01,43.20388
2020-06-02,50.97087
2020-06-03,51.94174
2020-06-04,46.60194
2020-06-05,40.77669
2020-06-06,23.30097
2020-06-07,29.61165
2020-06-08,45.63106
2020-06-09,46.1165
2020-06-10,50.0
2020-06-11,49.02912
2020-06-12,50.97087
2020-06-13,21.84466
2020-06-14,29.12621
2020-06-15,46.60194
2020-06-16,51.94174
2020-06-17,49.51456
2020-06-18,45.63106
2020-06-19,46.1165
2020-06-20,31.06796
2020-06-21,23.30097
2020-06-22,56.31067
2020-06-23,46.1165
2020-06-24,52.42718
2020-06-25,60.67961
2020-06-26,43.20388
2020-06-27,25.72815
2020-06-28,31.55339
2020-06-29,49.51456
2020-06-30,55.3398
2020-07-01,46.60194
2020-07-02,63.59223
2020-07-03,59.70873
2020-07-04,27.6699
2020-07-05,24.75728
2020-07-06,53.88349
2020-07-07,56.79611
2020-07-08,53.88349
2020-07-09,58.25242
2020-07-10,49.51456
2020-07-11,18.93203
2020-07-12,32.52427
2020-07-13,45.14563
2020-07-14,50.48543
2020-07-15,60.19417
2020-07-16,48.54368
2020-07-17,50.97087
2020-07-18,22.81553
2020-07-19,30.09708
2020-07-20,44.66019
2020-07-21,56.79611
2020-07-22,67.96116
2020-07-23,66.01941
2020-07-24,45.14563
2020-07-25,24.27184
2020-07-26,27.6699
2020-07-27,59.70873
2020-07-28,42.233
2020-07-29,37.86407
2020-07-30,50.0
2020-07-31,40.77669
2020-08-01,28.15533
2020-08-02,32.03883
2020-08-03,54.36893
2020-08-04,53.39805
2020-08-05,56.79611
2020-08-06,57.28155
2020-08-07,48.05825
2020-08-08,33.49514
2020-08-09,22.33009
2020-08-10,59.70873
2020-08-11,46.60194
2020-08-12,53.39805
2020-08-13,69.41747
2020-08-14,59.2233
2020-08-15,24.75728
2020-08-16,24.75728
2020-08-17,32.52427
2020-08-18,51.94174
2020-08-19,49.51456
2020-08-20,65.04854
2020-08-21,39.80582
2020-08-22,22.33009
2020-08-23,25.24271
2020-08-24,41.74757
2020-08-25,42.71844
2020-08-26,55.3398
2020-08-27,54.36893
2020-08-28,38.34951
2020-08-29,25.24271
2020-08-30,30.09708
2020-08-31,57.76699
2020-09-01,50.48543
2020-09-02,68.4466
2020-09-03,49.51456
2020-09-04,52.42718
2020-09-05,16.50485
2020-09-06,31.55339
2020-09-07,51.94174
2020-09-08,59.70873
2020-09-09,62.62135
2020-09-10,72.81553
2020-09-11,63.10679
2020-09-12,33.98058
2020-09-13,30.58252
2020-09-14,55.82524
2020-09-15,57.76699
2020-09-16,66.01941
2020-09-17,60.19417
2020-09-18,57.76699
2020-09-19,39.80582
2020-09-20,33.98058
2020-09-21,53.39805
2020-09-22,53.39805
2020-09-23,55.3398
2020-09-24,53.88349
2020-09-25,46.1165
2020-09-26,30.58252
2020-09-27,33.98058
2020-09-28,64.07766
2020-09-29,37.86407
2020-09-30,20.38834
2020-10-01,20.87378
2020-10-02,21.35922
2020-10-03,21.35922
2020-10-04,26.21359
2020-10-05,58.73786
2020-10-06,68.93203
2020-10-07,39.32038
2020-10-08,41.26213
