date,인공지능관련주
2020-03-20,29.33097
2020-03-21,25.91936
2020-03-22,30.43863
2020-03-23,27.24856
2020-03-24,27.73593
2020-03-25,32.96411
2020-03-26,37.35046
2020-03-27,25.74213
2020-03-28,21.66592
2020-03-29,20.95702
2020-03-30,26.8498
2020-03-31,26.2295
2020-04-01,24.59016
2020-04-02,24.45724
2020-04-03,20.46964
2020-04-04,18.34293
2020-04-05,19.67213
2020-04-06,21.26716
2020-04-07,25.03322
2020-04-08,22.64067
2020-04-09,22.02038
2020-04-10,23.83695
2020-04-11,21.71023
2020-04-12,23.21665
2020-04-13,20.1595
2020-04-14,22.8622
2020-04-15,20.95702
2020-04-16,21.79884
2020-04-17,31.10323
2020-04-18,23.92556
2020-04-19,27.20425
2020-04-20,36.9517
2020-04-21,25.60921
2020-04-22,47.80682
2020-04-23,45.54718
2020-04-24,29.46389
2020-04-25,23.08373
2020-04-26,27.91315
2020-04-27,28.66637
2020-04-28,29.86264
2020-04-29,24.28001
2020-04-30,21.97607
2020-05-01,26.36242
2020-05-02,19.18475
2020-05-03,20.8684
2020-05-04,20.07089
2020-05-05,22.33052
2020-05-06,29.86264
2020-05-07,48.87018
2020-05-08,34.249
2020-05-09,25.34337
2020-05-10,46.87638
2020-05-11,44.39521
2020-05-12,30.30571
2020-05-13,26.62826
2020-05-14,30.70447
2020-05-15,22.06468
2020-05-16,24.14709
2020-05-17,20.33673
2020-05-18,26.00797
2020-05-19,29.33097
2020-05-20,39.07842
2020-05-21,100.0
2020-05-22,67.92202
2020-05-23,40.40762
2020-05-24,52.01595
2020-05-25,37.04031
2020-05-26,35.00221
2020-05-27,35.22374
2020-05-28,26.05228
2020-05-29,17.63402
2020-05-30,14.39964
2020-05-31,27.11564
2020-06-01,38.45813
2020-06-02,29.19805
2020-06-03,32.65396
2020-06-04,28.00177
2020-06-05,23.92556
2020-06-06,18.96322
2020-06-07,20.77979
2020-06-08,21.35578
2020-06-09,24.28001
2020-06-10,31.05892
2020-06-11,33.18564
2020-06-12,22.81789
2020-06-13,21.04563
2020-06-14,18.65307
2020-06-15,19.05183
2020-06-16,22.10899
2020-06-17,18.29862
2020-06-18,20.91271
2020-06-19,18.96322
2020-06-20,13.73504
2020-06-21,15.06424
2020-06-22,18.60877
2020-06-23,17.58972
2020-06-24,19.84935
2020-06-25,14.31103
2020-06-26,12.53876
2020-06-27,13.4249
2020-06-28,10.89942
2020-06-29,11.82986
2020-06-30,10.72219
2020-07-01,11.4311
2020-07-02,12.84891
2020-07-03,11.4754
2020-07-04,9.57022
2020-07-05,14.31103
2020-07-06,17.14665
2020-07-07,20.07089
2020-07-08,15.33008
2020-07-09,26.14089
2020-07-10,22.1976
2020-07-11,17.01373
2020-07-12,22.1533
2020-07-13,28.97651
2020-07-14,63.26982
2020-07-15,45.94594
2020-07-16,30.83739
2020-07-17,21.04563
2020-07-18,15.33008
2020-07-19,19.98227
2020-07-20,20.33673
2020-07-21,26.67257
2020-07-22,27.51439
2020-07-23,25.16614
2020-07-24,20.33673
2020-07-25,13.55782
2020-07-26,17.36818
2020-07-27,21.84315
2020-07-28,29.28666
2020-07-29,28.04607
2020-07-30,19.45059
2020-07-31,17.32388
2020-08-01,13.4692
2020-08-02,13.60212
2020-08-03,20.38103
2020-08-04,21.35578
2020-08-05,25.83074
2020-08-06,18.65307
2020-08-07,21.35578
2020-08-08,20.77979
2020-08-09,16.61497
2020-08-10,20.42534
2020-08-11,23.43819
2020-08-12,20.38103
2020-08-13,19.14045
2020-08-14,16.7922
2020-08-15,12.62738
2020-08-16,13.55782
2020-08-17,22.68498
2020-08-18,20.42534
2020-08-19,15.77315
2020-08-20,19.27337
2020-08-21,14.44395
2020-08-22,14.7984
2020-08-23,18.1657
2020-08-24,21.00132
2020-08-25,22.72928
2020-08-26,25.87505
2020-08-27,24.10279
2020-08-28,20.95702
2020-08-29,15.463
2020-08-30,23.65972
2020-08-31,27.20425
2020-09-01,23.12804
2020-09-02,33.00841
2020-09-03,31.14754
2020-09-04,24.32432
2020-09-05,23.65972
2020-09-06,20.91271
2020-09-07,28.26761
2020-09-08,25.87505
2020-09-09,25.91936
2020-09-10,29.64111
2020-09-11,45.32565
2020-09-12,28.00177
2020-09-13,24.23571
2020-09-14,25.65352
2020-09-15,25.91936
2020-09-16,26.1852
2020-09-17,28.31191
2020-09-18,17.94417
2020-09-19,13.33628
2020-09-20,13.60212
2020-09-21,14.57687
2020-09-22,16.1276
2020-09-23,18.87461
2020-09-24,15.86176
2020-09-25,10.67789
2020-09-26,11.34249
2020-09-27,11.38679
2020-09-28,11.96278
2020-09-29,12.67168
2020-09-30,7.66504
2020-10-01,8.55117
2020-10-02,9.08285
2020-10-03,13.55782
2020-10-04,20.60256
2020-10-05,18.74169
2020-10-06,20.24811
2020-10-07,17.72264
2020-10-08,16.57066
2020-10-09,15.10855
2020-10-10,13.20336
2020-10-11,13.33628
2020-10-12,22.55206
2020-10-13,41.91404
2020-10-14,28.66637
