date,TIGERETF
2020-03-20,32.20611
2020-03-21,24.63768
2020-03-22,30.43478
2020-03-23,45.08856
2020-03-24,34.29951
2020-03-25,41.54589
2020-03-26,34.13848
2020-03-27,38.16425
2020-03-28,30.43478
2020-03-29,26.8921
2020-03-30,38.64734
2020-03-31,43.80032
2020-04-01,39.61352
2020-04-02,37.52012
2020-04-03,33.81642
2020-04-04,21.095
2020-04-05,20.12882
2020-04-06,34.13848
2020-04-07,37.19806
2020-04-08,33.97745
2020-04-09,38.80837
2020-04-10,36.55394
2020-04-11,20.12882
2020-04-12,23.02737
2020-04-13,38.00322
2020-04-14,41.38486
2020-04-15,23.1884
2020-04-16,38.80837
2020-04-17,39.61352
2020-04-18,24.47665
2020-04-19,26.24798
2020-04-20,35.42673
2020-04-21,43.47826
2020-04-22,58.29307
2020-04-23,54.7504
2020-04-24,41.54589
2020-04-25,24.31561
2020-04-26,26.40901
2020-04-27,36.71497
2020-04-28,49.75845
2020-04-29,47.98711
2020-04-30,18.51851
2020-05-01,19.80676
2020-05-02,12.23832
2020-05-03,18.03542
2020-05-04,38.48631
2020-05-05,20.61191
2020-05-06,49.59742
2020-05-07,32.36714
2020-05-08,25.60386
2020-05-09,17.71336
2020-05-10,20.61191
2020-05-11,27.21417
2020-05-12,23.1884
2020-05-13,22.22222
2020-05-14,21.90016
2020-05-15,25.44283
2020-05-16,14.49275
2020-05-17,20.12882
2020-05-18,26.24798
2020-05-19,27.21417
2020-05-20,29.30756
2020-05-21,34.46054
2020-05-22,23.99355
2020-05-23,18.03542
2020-05-24,20.12882
2020-05-25,29.79066
2020-05-26,33.49436
2020-05-27,29.62962
2020-05-28,28.18035
2020-05-29,18.51851
2020-05-30,17.3913
2020-05-31,16.10305
2020-06-01,24.79871
2020-06-02,34.13848
2020-06-03,34.94363
2020-06-04,28.82447
2020-06-05,25.12077
2020-06-06,18.19645
2020-06-07,21.095
2020-06-08,26.40901
2020-06-09,23.1884
2020-06-10,25.2818
2020-06-11,27.85829
2020-06-12,22.06119
2020-06-13,14.65378
2020-06-14,19.16264
2020-06-15,17.55233
2020-06-16,21.095
2020-06-17,20.28985
2020-06-18,21.095
2020-06-19,19.16264
2020-06-20,12.88244
2020-06-21,12.07729
2020-06-22,22.54428
2020-06-23,22.06119
2020-06-24,21.25603
2020-06-25,17.23027
2020-06-26,20.28985
2020-06-27,11.27214
2020-06-28,14.49275
2020-06-29,16.74718
2020-06-30,15.61996
2020-07-01,16.42512
2020-07-02,16.42512
2020-07-03,17.87439
2020-07-04,11.43317
2020-07-05,10.95008
2020-07-06,22.86634
2020-07-07,25.12077
2020-07-08,22.70531
2020-07-09,27.53623
2020-07-10,20.77294
2020-07-11,17.23027
2020-07-12,19.96779
2020-07-13,30.75684
2020-07-14,22.38325
2020-07-15,20.28985
2020-07-16,13.2045
2020-07-17,20.61191
2020-07-18,13.84863
2020-07-19,15.45893
2020-07-20,20.12882
2020-07-21,22.22222
2020-07-22,23.1884
2020-07-23,27.85829
2020-07-24,17.55233
2020-07-25,9.98389
2020-07-26,16.74718
2020-07-27,24.79871
2020-07-28,23.1884
2020-07-29,29.30756
2020-07-30,28.82447
2020-07-31,28.50241
2020-08-01,14.97584
2020-08-02,19.32367
2020-08-03,42.6731
2020-08-04,41.22383
2020-08-05,47.66505
2020-08-06,50.40257
2020-08-07,50.88566
2020-08-08,40.09661
2020-08-09,33.97745
2020-08-10,46.8599
2020-08-11,52.01288
2020-08-12,35.2657
2020-08-13,47.34299
2020-08-14,31.40096
2020-08-15,17.23027
2020-08-16,16.90821
2020-08-17,19.32367
2020-08-18,25.12077
2020-08-19,25.44283
2020-08-20,26.24798
2020-08-21,25.44283
2020-08-22,18.03542
2020-08-23,17.23027
2020-08-24,29.62962
2020-08-25,41.86795
2020-08-26,34.13848
2020-08-27,36.39291
2020-08-28,31.23993
2020-08-29,20.12882
2020-08-30,22.06119
2020-08-31,35.42673
2020-09-01,29.46859
2020-09-02,34.94363
2020-09-03,32.85024
2020-09-04,26.24798
2020-09-05,15.78099
2020-09-06,23.67149
2020-09-07,27.85829
2020-09-08,25.60386
2020-09-09,23.83252
2020-09-10,29.62962
2020-09-11,17.87439
2020-09-12,15.13687
2020-09-13,15.94202
2020-09-14,25.2818
2020-09-15,21.41706
2020-09-16,23.1884
2020-09-17,21.095
2020-09-18,21.57809
2020-09-19,14.49275
2020-09-20,12.88244
2020-09-21,21.25603
2020-09-22,17.71336
2020-09-23,18.84057
2020-09-24,14.81481
2020-09-25,14.65378
2020-09-26,6.76328
2020-09-27,9.66183
2020-09-28,18.51851
2020-09-29,21.25603
2020-09-30,10.30595
2020-10-01,10.14492
2020-10-02,10.30595
2020-10-03,10.95008
2020-10-04,15.78099
2020-10-05,29.14653
2020-10-06,40.90177
2020-10-07,74.39613
2020-10-08,35.58776
2020-10-09,19.96779
2020-10-10,23.02737
2020-10-11,18.84057
2020-10-12,32.85024
2020-10-13,33.81642
2020-10-14,28.9855
2020-10-15,27.05314
2020-10-16,21.095
2020-10-17,14.17069
2020-10-18,13.84863
2020-10-19,22.38325
2020-10-20,19.96779
2020-10-21,23.99355
2020-10-22,23.1884
2020-10-23,19.16264
2020-10-24,9.98389
2020-10-25,11.27214
2020-10-26,19.16264
2020-10-27,16.58615
2020-10-28,20.12882
2020-10-29,23.02737
2020-10-30,19.96779
2020-10-31,8.05152
2020-11-01,11.27214
2020-11-02,22.38325
2020-11-03,28.18035
2020-11-04,18.35748
2020-11-05,23.67149
2020-11-06,34.7826
2020-11-07,24.63768
2020-11-08,24.31561
2020-11-09,46.05475
2020-11-10,40.90177
2020-11-11,34.29951
2020-11-12,38.16425
2020-11-13,33.49436
2020-11-14,19.16264
2020-11-15,26.08695
2020-11-16,35.58776
2020-11-17,34.29951
2020-11-18,33.49436
2020-11-19,30.59581
2020-11-20,34.13848
2020-11-21,17.06924
2020-11-22,23.99355
2020-11-23,36.07085
2020-11-24,33.49436
2020-11-25,38.16425
2020-11-26,33.65539
2020-11-27,30.27375
2020-11-28,25.44283
2020-11-29,28.01932
2020-11-30,36.39291
2020-12-01,37.68115
2020-12-02,41.86795
2020-12-03,44.28341
2020-12-04,34.46054
2020-12-05,26.24798
2020-12-06,26.73107
2020-12-07,47.98711
2020-12-08,56.3607
2020-12-09,53.14009
2020-12-10,41.38486
2020-12-11,40.09661
