date,성우하이텍주가
2020-03-20,1.12222
2020-03-21,0.25408
2020-03-22,0.09528
2020-03-23,0.85225
2020-03-24,1.00576
2020-03-25,1.20692
2020-03-26,1.11164
2020-03-27,0.99518
2020-03-28,0.10587
2020-03-29,0.0794
2020-03-30,0.79932
2020-03-31,0.8946
2020-04-01,1.04811
2020-04-02,0.96871
2020-04-03,0.8152
2020-04-04,0.14292
2020-04-05,0.09528
2020-04-06,1.24927
2020-04-07,1.04282
2020-04-08,1.05341
2020-04-09,1.19633
2020-04-10,1.12222
2020-04-11,0.17997
2020-04-12,0.11645
2020-04-13,0.98988
2020-04-14,0.85755
2020-04-15,0.19586
2020-04-16,0.80461
2020-04-17,1.00047
2020-04-18,0.15351
2020-04-19,0.09528
2020-04-20,0.8946
2020-04-21,0.85225
2020-04-22,0.71991
2020-04-23,0.82579
2020-04-24,0.83637
2020-04-25,0.15351
2020-04-26,0.08998
2020-04-27,1.01635
2020-04-28,0.974
2020-04-29,0.78344
2020-04-30,0.21174
2020-05-01,0.21703
2020-05-02,0.14821
2020-05-03,0.11645
2020-05-04,0.84167
2020-05-05,0.20115
2020-05-06,0.93695
2020-05-07,0.82579
2020-05-08,0.83108
2020-05-09,0.17468
2020-05-10,0.06352
2020-05-11,0.64051
2020-05-12,0.61404
2020-05-13,0.6511
2020-05-14,0.62992
2020-05-15,0.63522
2020-05-16,0.15351
2020-05-17,0.0741
2020-05-18,0.83108
2020-05-19,1.16457
2020-05-20,0.92107
2020-05-21,0.80461
2020-05-22,0.74109
2020-05-23,0.11116
2020-05-24,0.06881
2020-05-25,0.82049
2020-05-26,0.87343
2020-05-27,0.83637
2020-05-28,0.74638
2020-05-29,0.75697
2020-05-30,0.14292
2020-05-31,0.09528
2020-06-01,0.88931
2020-06-02,0.98459
2020-06-03,1.11164
2020-06-04,1.04811
2020-06-05,1.18574
2020-06-06,0.12175
2020-06-07,0.15351
2020-06-08,1.22809
2020-06-09,1.20692
2020-06-10,1.09046
2020-06-11,0.9793
2020-06-12,0.78873
2020-06-13,0.15351
2020-06-14,0.05293
2020-06-15,0.8152
2020-06-16,0.93695
2020-06-17,0.83108
2020-06-18,0.93695
2020-06-19,0.91048
2020-06-20,0.10057
2020-06-21,0.08469
2020-06-22,0.76756
2020-06-23,0.71991
2020-06-24,0.96342
2020-06-25,0.59287
2020-06-26,0.69874
2020-06-27,0.11116
2020-06-28,0.03176
2020-06-29,0.59287
2020-06-30,0.79402
2020-07-01,0.75697
2020-07-02,0.53993
2020-07-03,0.64051
2020-07-04,0.06881
2020-07-05,0.08469
2020-07-06,0.78873
2020-07-07,0.61404
2020-07-08,0.71462
2020-07-09,0.61404
2020-07-10,0.59816
2020-07-11,0.05293
2020-07-12,0.06881
2020-07-13,0.67227
2020-07-14,0.53993
2020-07-15,0.85755
2020-07-16,0.78873
2020-07-17,0.75697
2020-07-18,0.12704
2020-07-19,0.05822
2020-07-20,1.05341
2020-07-21,0.94754
2020-07-22,0.86284
2020-07-23,0.68815
2020-07-24,0.79932
2020-07-25,0.06881
2020-07-26,0.04234
2020-07-27,0.59816
2020-07-28,0.62463
2020-07-29,0.76226
2020-07-30,0.78873
2020-07-31,0.68286
2020-08-01,0.06881
2020-08-02,0.04234
2020-08-03,0.64581
2020-08-04,0.78344
2020-08-05,0.85225
2020-08-06,1.05341
2020-08-07,1.06929
2020-08-08,0.08469
2020-08-09,0.08998
2020-08-10,1.04282
2020-08-11,0.974
2020-08-12,0.78873
2020-08-13,1.03753
2020-08-14,0.79932
2020-08-15,0.09528
2020-08-16,0.05293
2020-08-17,0.20115
2020-08-18,0.72521
2020-08-19,0.84167
