date,카이카이키키
2020-03-20,27.18078
2020-03-21,28.63463
2020-03-22,26.61188
2020-03-23,28.00252
2020-03-24,29.26675
2020-03-25,26.7383
2020-03-26,28.12895
2020-03-27,25.28445
2020-03-28,33.75474
2020-03-29,26.99115
2020-03-30,23.95701
2020-03-31,25.22123
2020-04-01,25.53729
2020-04-02,25.72692
2020-04-03,23.83059
2020-04-04,25.97977
2020-04-05,27.18078
2020-04-06,24.52591
2020-04-07,26.7383
2020-04-08,22.88242
2020-04-09,20.79646
2020-04-10,24.27307
2020-04-11,22.37673
2020-04-12,23.07206
2020-04-13,23.26169
2020-04-14,20.16434
2020-04-15,21.99747
2020-04-16,26.35903
2020-04-17,26.92793
2020-04-18,25.47408
2020-04-19,29.07711
2020-04-20,26.86472
2020-04-21,29.20353
2020-04-22,42.54108
2020-04-23,42.16182
2020-04-24,37.23135
2020-04-25,36.91529
2020-04-26,28.82427
2020-04-27,30.34134
2020-04-28,41.15044
2020-04-29,25.15802
2020-04-30,24.90518
2020-05-01,23.3249
2020-05-02,26.61188
2020-05-03,29.20353
2020-05-04,28.06573
2020-05-05,25.85335
2020-05-06,28.25537
2020-05-07,30.46776
2020-05-08,32.80657
2020-05-09,31.09987
2020-05-10,31.47914
2020-05-11,29.07711
2020-05-12,68.96333
2020-05-13,100.0
2020-05-14,57.90139
2020-05-15,50.0
2020-05-16,44.50063
2020-05-17,44.9431
2020-05-18,39.823
2020-05-19,44.69026
2020-05-20,41.59292
2020-05-21,41.97218
2020-05-22,35.14538
2020-05-23,32.68015
2020-05-24,36.21997
2020-05-25,33.69152
2020-05-26,34.07079
2020-05-27,29.64601
2020-05-28,26.10619
2020-05-29,28.82427
2020-05-30,32.23767
2020-05-31,29.07711
2020-06-01,30.46776
2020-06-02,31.54235
2020-06-03,44.75347
2020-06-04,28.63463
2020-06-05,31.47914
2020-06-06,31.73198
2020-06-07,31.35271
2020-06-08,32.49051
2020-06-09,31.92161
2020-06-10,29.77243
2020-06-11,31.54235
2020-06-12,23.45132
2020-06-13,64.98103
2020-06-14,41.02402
2020-06-15,31.92161
2020-06-16,30.40455
2020-06-17,29.89886
2020-06-18,26.7383
2020-06-19,27.43362
2020-06-20,28.88748
2020-06-21,30.84702
2020-06-22,26.92793
2020-06-23,24.65233
2020-06-24,21.93426
2020-06-25,23.13527
2020-06-26,23.83059
2020-06-27,23.95701
2020-06-28,31.03666
2020-06-29,30.65739
2020-06-30,31.22629
2020-07-01,28.445
2020-07-02,38.30594
2020-07-03,35.58786
2020-07-04,32.17446
2020-07-05,34.07079
2020-07-06,30.53097
2020-07-07,30.40455
2020-07-08,28.31858
2020-07-09,50.06321
2020-07-10,26.99115
2020-07-11,33.75474
2020-07-12,27.3072
2020-07-13,28.06573
2020-07-14,23.3249
2020-07-15,26.86472
2020-07-16,26.54867
2020-07-17,24.77876
2020-07-18,26.1694
2020-07-19,26.04298
2020-07-20,23.83059
2020-07-21,28.12895
2020-07-22,23.83059
2020-07-23,27.49683
2020-07-24,30.97345
2020-07-25,24.96839
2020-07-26,24.58912
2020-07-27,26.80151
2020-07-28,24.71554
2020-07-29,25.28445
2020-07-30,23.00884
2020-07-31,22.43994
2020-08-01,23.13527
2020-08-02,22.43994
2020-08-03,22.31352
2020-08-04,21.17572
2020-08-05,21.30214
2020-08-06,19.9115
2020-08-07,24.52591
2020-08-08,23.3249
2020-08-09,20.85967
2020-08-10,21.74462
2020-08-11,23.07206
2020-08-12,19.59544
2020-08-13,21.6182
2020-08-14,24.02022
2020-08-15,21.6182
2020-08-16,20.73324
2020-08-17,18.71049
2020-08-18,22.62958
2020-08-19,25.0316
2020-08-20,20.92288
2020-08-21,23.57774
2020-08-22,24.90518
2020-08-23,23.07206
2020-08-24,30.84702
2020-08-25,28.06573
2020-08-26,22.88242
2020-08-27,19.02654
2020-08-28,22.25031
2020-08-29,23.8938
2020-08-30,26.42225
2020-08-31,22.94563
2020-09-01,23.64096
2020-09-02,21.99747
2020-09-03,20.4804
2020-09-04,20.35398
2020-09-05,21.23893
2020-09-06,22.62958
2020-09-07,20.79646
2020-09-08,20.85967
2020-09-09,39.12768
2020-09-10,46.01769
2020-09-11,36.91529
2020-09-12,30.08849
2020-09-13,34.51327
2020-09-14,34.19721
2020-09-15,26.7383
2020-09-16,26.99115
2020-09-17,21.11251
2020-09-18,23.00884
2020-09-19,21.11251
2020-09-20,23.00884
2020-09-21,21.11251
2020-09-22,17.69911
2020-09-23,21.0493
2020-09-24,21.49178
2020-09-25,18.64728
2020-09-26,22.37673
2020-09-27,24.4627
2020-09-28,22.756
2020-09-29,23.57774
2020-09-30,20.03792
2020-10-01,24.77876
2020-10-02,22.756
2020-10-03,19.84829
2020-10-04,24.02022
2020-10-05,21.49178
2020-10-06,21.11251
2020-10-07,19.84829
2020-10-08,33.94437
2020-10-09,30.1517
2020-10-10,26.42225
2020-10-11,28.00252
2020-10-12,27.62326
2020-10-13,23.51453
2020-10-14,31.92161
2020-10-15,21.36536
2020-10-16,21.80783
2020-10-17,22.62958
2020-10-18,35.14538
2020-10-19,29.89886
2020-10-20,20.29077
2020-10-21,20.54361
2020-10-22,18.83691
2020-10-23,19.9115
2020-10-24,18.07838
2020-10-25,24.33628
2020-10-26,25.34766
2020-10-27,21.49178
2020-10-28,18.96333
2020-10-29,18.07838
2020-10-30,18.01517
2020-10-31,17.38305
2020-11-01,21.74462
2020-11-02,19.21618
2020-11-03,17.067
2020-11-04,19.59544
2020-11-05,21.36536
2020-11-06,17.44627
2020-11-07,17.00379
2020-11-08,16.87737
2020-11-09,16.24525
2020-11-10,18.01517
2020-11-11,19.02654
2020-11-12,20.67003
2020-11-13,15.99241
2020-11-14,15.80278
2020-11-15,16.24525
2020-11-16,18.33122
2020-11-17,16.30847
2020-11-18,17.6359
2020-11-19,17.25663
2020-11-20,19.15297
2020-11-21,19.9115
2020-11-22,21.49178
2020-11-23,18.58407
2020-11-24,16.43489
2020-11-25,18.01517
2020-11-26,19.21618
2020-11-27,16.24525
2020-11-28,17.50948
2020-11-29,19.3426
2020-11-30,17.25663
2020-12-01,17.38305
2020-12-02,19.40581
2020-12-03,13.84323
2020-12-04,18.39443
2020-12-05,17.00379
2020-12-06,19.53223
