date,그린램프라이브러리
2020-03-20,29.59317
2020-03-21,26.37795
2020-03-22,27.09973
2020-03-23,29.92125
2020-03-24,27.95275
2020-03-25,28.87139
2020-03-26,28.47769
2020-03-27,35.1706
2020-03-28,30.44619
2020-03-29,26.5748
2020-03-30,36.61417
2020-03-31,35.5643
2020-04-01,41.66666
2020-04-02,39.76377
2020-04-03,31.69291
2020-04-04,31.16797
2020-04-05,31.56167
2020-04-06,38.38582
2020-04-07,33.66141
2020-04-08,28.87139
2020-04-09,29.39632
2020-04-10,34.25196
2020-04-11,25.3937
2020-04-12,30.31496
2020-04-13,33.66141
2020-04-14,29.79002
2020-04-15,26.70603
2020-04-16,28.67454
2020-04-17,29.46194
2020-04-18,28.937
2020-04-19,33.92388
2020-04-20,39.10761
2020-04-21,30.24934
2020-04-22,33.07086
2020-04-23,34.05511
2020-04-24,31.23359
2020-04-25,27.7559
2020-04-26,29.26509
2020-04-27,40.09186
2020-04-28,34.58005
2020-04-29,32.93963
2020-04-30,29.79002
2020-05-01,31.75853
2020-05-02,26.1811
2020-05-03,32.74278
2020-05-04,41.73228
2020-05-05,34.44881
2020-05-06,36.87664
2020-05-07,36.7454
2020-05-08,30.31496
2020-05-09,25.0
2020-05-10,28.60892
2020-05-11,37.07349
2020-05-12,33.07086
2020-05-13,33.26771
2020-05-14,30.11811
2020-05-15,28.47769
2020-05-16,25.85301
2020-05-17,30.64304
2020-05-18,37.33595
2020-05-19,37.07349
2020-05-20,29.00262
2020-05-21,27.7559
2020-05-22,28.67454
2020-05-23,31.82414
2020-05-24,33.46456
2020-05-25,36.54855
2020-05-26,32.34908
2020-05-27,28.67454
2020-05-28,27.88713
2020-05-29,26.24671
2020-05-30,41.92913
2020-05-31,40.28871
2020-06-01,39.17322
2020-06-02,32.34908
2020-06-03,34.64566
2020-06-04,31.36482
2020-06-05,30.90551
2020-06-06,40.74803
2020-06-07,32.41469
2020-06-08,38.71391
2020-06-09,36.15485
2020-06-10,40.61679
2020-06-11,33.13648
2020-06-12,36.61417
2020-06-13,41.27296
2020-06-14,41.60104
2020-06-15,37.07349
2020-06-16,31.88976
2020-06-17,33.5958
2020-06-18,33.72703
2020-06-19,35.1706
2020-06-20,36.28608
2020-06-21,41.53543
2020-06-22,48.03149
2020-06-23,38.58267
2020-06-24,34.18635
2020-06-25,32.08661
2020-06-26,36.08923
2020-06-27,39.43569
2020-06-28,43.17585
2020-06-29,36.94225
2020-06-30,41.20734
2020-07-01,39.43569
2020-07-02,38.12335
2020-07-03,34.44881
2020-07-04,39.04199
2020-07-05,38.38582
2020-07-06,37.1391
2020-07-07,33.20209
2020-07-08,34.51443
2020-07-09,39.63254
2020-07-10,33.79265
2020-07-11,40.22309
2020-07-12,45.86614
2020-07-13,39.76377
2020-07-14,36.67979
2020-07-15,35.62992
2020-07-16,35.62992
2020-07-17,36.48293
2020-07-18,45.40682
2020-07-19,41.40419
2020-07-20,42.979
2020-07-21,34.58005
2020-07-22,35.958
2020-07-23,35.30183
2020-07-24,33.92388
2020-07-25,37.72965
2020-07-26,42.84776
2020-07-27,38.18897
2020-07-28,37.07349
2020-07-29,33.9895
2020-07-30,33.79265
2020-07-31,33.9895
2020-08-01,38.71391
2020-08-02,35.89238
2020-08-03,40.61679
2020-08-04,37.66404
2020-08-05,35.82677
2020-08-06,33.9895
2020-08-07,35.49868
2020-08-08,32.21784
2020-08-09,39.63254
2020-08-10,38.38582
2020-08-11,37.33595
2020-08-12,39.17322
2020-08-13,34.64566
2020-08-14,33.9895
2020-08-15,32.34908
2020-08-16,33.20209
2020-08-17,46.78477
2020-08-18,53.60892
2020-08-19,69.29133
2020-08-20,51.50918
2020-08-21,54.7244
2020-08-22,54.00262
2020-08-23,45.40682
2020-08-24,97.50656
2020-08-25,100.0
2020-08-26,46.39107
2020-08-27,41.86351
2020-08-28,78.41207
2020-08-29,36.67979
2020-08-30,23.29396
2020-08-31,17.979
2020-09-01,11.67979
2020-09-02,10.62992
2020-09-03,9.44881
2020-09-04,16.20734
2020-09-05,9.71128
2020-09-06,12.07349
2020-09-07,12.07349
2020-09-08,11.7454
2020-09-09,11.22047
2020-09-10,10.5643
2020-09-11,10.03937
2020-09-12,9.90813
2020-09-13,33.92388
2020-09-14,73.03149
2020-09-15,38.77952
2020-09-16,34.97375
2020-09-17,37.40157
2020-09-18,37.86089
2020-09-19,27.09973
2020-09-20,34.84251
2020-09-21,37.86089
2020-09-22,31.16797
2020-09-23,28.67454
2020-09-24,28.34645
2020-09-25,32.54593
2020-09-26,34.44881
2020-09-27,31.16797
2020-09-28,37.33595
2020-09-29,31.43044
2020-09-30,33.13648
2020-10-01,35.69553
2020-10-02,32.34908
2020-10-03,30.57742
2020-10-04,31.10236
2020-10-05,36.22047
2020-10-06,31.69291
2020-10-07,30.05249
2020-10-08,30.83989
2020-10-09,33.20209
2020-10-10,31.03674
2020-10-11,33.9895
2020-10-12,30.38057
2020-10-13,27.69028
2020-10-14,25.3937
2020-10-15,25.91863
2020-10-16,25.98425
2020-10-17,32.28346
2020-10-18,32.15223
2020-10-19,28.87139
2020-10-20,28.74015
2020-10-21,28.28083
2020-10-22,22.57217
2020-10-23,21.91601
2020-10-24,28.1496
2020-10-25,28.21522
2020-10-26,29.3307
2020-10-27,25.52493
2020-10-28,24.08136
2020-10-29,24.60629
2020-10-30,22.04724
2020-10-31,27.09973
2020-11-01,28.21522
2020-11-02,30.11811
2020-11-03,25.3937
2020-11-04,25.7874
2020-11-05,22.24409
2020-11-06,24.93438
2020-11-07,27.88713
2020-11-08,29.39632
2020-11-09,28.60892
2020-11-10,26.5748
2020-11-11,24.21259
2020-11-12,25.65616
2020-11-13,27.69028
2020-11-14,29.06824
2020-11-15,31.29921
2020-11-16,27.42782
2020-11-17,31.29921
2020-11-18,31.69291
2020-11-19,26.83727
2020-11-20,27.82152
2020-11-21,31.29921
2020-11-22,31.49606
2020-11-23,33.66141
2020-11-24,39.04199
2020-11-25,39.17322
2020-11-26,31.36482
2020-11-27,28.60892
2020-11-28,27.29658
2020-11-29,30.31496
2020-11-30,35.76115
2020-12-01,36.87664
2020-12-02,34.90813
2020-12-03,32.21784
2020-12-04,38.71391
2020-12-05,34.25196
2020-12-06,29.7244
2020-12-07,39.82939
2020-12-08,31.69291
2020-12-09,29.65879
2020-12-10,25.0
2020-12-11,28.28083
2020-12-12,25.65616
2020-12-13,22.50656
2020-12-14,24.34383
2020-12-15,21.91601
2020-12-16,23.29396
2020-12-17,21.19422
2020-12-18,21.78477
2020-12-19,22.11286
2020-12-20,21.71916
2020-12-21,26.5748
2020-12-22,27.69028
2020-12-23,27.55905
2020-12-24,25.0
2020-12-25,24.14698
2020-12-26,30.83989
2020-12-27,39.23884
2020-12-28,40.81364
2020-12-29,37.86089
2020-12-30,40.22309
2020-12-31,39.76377
2021-01-01,41.14173
2021-01-02,49.93438
