date,KODEX200선물인버스2X
2020-03-20,88.31278
2020-03-21,25.21994
2020-03-22,21.18981
2020-03-23,89.31914
2020-03-24,87.15953
2020-03-25,80.08375
2020-03-26,71.18278
2020-03-27,70.82805
2020-03-28,23.0994
2020-03-29,23.96199
2020-03-30,64.88678
2020-03-31,47.99274
2020-04-01,58.49858
2020-04-02,68.18402
2020-04-03,46.70354
2020-04-04,16.57368
2020-04-05,16.6862
2020-04-06,57.55004
2020-04-07,55.15603
2020-04-08,43.89542
2020-04-09,42.96407
2020-04-10,42.73436
2020-04-11,14.54065
2020-04-12,16.02831
2020-04-13,46.28162
2020-04-14,42.54996
2020-04-15,20.78508
2020-04-16,43.68759
2020-04-17,50.81024
2020-04-18,15.4345
2020-04-19,15.63139
2020-04-20,42.18586
2020-04-21,64.21639
2020-04-22,58.6611
2020-04-23,40.9201
2020-04-24,35.58045
2020-04-25,14.41407
2020-04-26,13.3874
2020-04-27,35.3773
2020-04-28,33.38646
2020-04-29,28.32028
2020-04-30,12.02006
2020-05-01,14.34063
2020-05-02,12.6045
2020-05-03,10.87618
2020-05-04,35.53982
2020-05-05,13.98434
2020-05-06,27.0217
2020-05-07,22.13523
2020-05-08,21.46015
2020-05-09,10.46676
2020-05-10,10.934
2020-05-11,26.63103
2020-05-12,25.9794
2020-05-13,27.59364
2020-05-14,29.13131
2020-05-15,22.87437
2020-05-16,6.75698
2020-05-17,7.86492
2020-05-18,21.30858
2020-05-19,24.94179
2020-05-20,19.73028
2020-05-21,18.21605
2020-05-22,21.92739
2020-05-23,6.28506
2020-05-24,6.59447
2020-05-25,18.27856
2020-05-26,20.82727
2020-05-27,19.31461
2020-05-28,24.81365
2020-05-29,18.77705
2020-05-30,6.81011
2020-05-31,6.4007
2020-06-01,22.59153
2020-06-02,20.36629
2020-06-03,32.4598
2020-06-04,28.63125
2020-06-05,25.48247
2020-06-06,10.73867
2020-06-07,9.28226
2020-06-08,26.72948
2020-06-09,28.49374
2020-06-10,22.82905
2020-06-11,31.81754
2020-06-12,100.0
2020-06-13,9.28851
2020-06-14,9.51822
2020-06-15,65.50872
2020-06-16,54.0309
2020-06-17,36.09613
2020-06-18,26.21536
2020-06-19,23.26816
2020-06-20,8.14307
2020-06-21,7.85398
2020-06-22,22.43839
2020-06-23,22.92594
2020-06-24,22.3165
2020-06-25,30.96119
2020-06-26,20.00218
2020-06-27,10.62147
2020-06-28,9.03692
2020-06-29,30.9737
2020-06-30,22.75717
2020-07-01,21.43046
2020-07-02,19.09271
2020-07-03,18.83956
2020-07-04,5.81001
2020-07-05,6.38976
2020-07-06,26.2263
2020-07-07,26.31537
2020-07-08,20.80383
2020-07-09,17.43471
2020-07-10,18.88331
2020-07-11,5.62561
2020-07-12,5.35996
2020-07-13,19.13021
2020-07-14,20.83821
2020-07-15,20.00375
2020-07-16,19.07864
2020-07-17,16.37366
2020-07-18,4.66613
2020-07-19,4.73645
2020-07-20,16.46586
2020-07-21,20.80071
2020-07-22,17.69568
2020-07-23,17.17844
2020-07-24,18.16136
2020-07-25,5.42403
2020-07-26,4.86771
2020-07-27,16.61587
2020-07-28,22.00709
2020-07-29,19.20522
2020-07-30,19.01301
2020-07-31,17.61911
2020-08-01,5.68968
2020-08-02,4.70207
2020-08-03,14.75317
2020-08-04,15.60795
2020-08-05,18.48639
2020-08-06,20.49442
2020-08-07,19.14428
2020-08-08,5.70062
2020-08-09,5.55998
2020-08-10,21.85707
2020-08-11,30.76742
2020-08-12,30.27831
2020-08-13,23.85104
2020-08-14,23.63539
2020-08-15,6.44601
2020-08-16,7.31955
2020-08-17,9.31976
2020-08-18,40.77008
2020-08-19,23.76041
2020-08-20,60.0675
2020-08-21,38.56046
2020-08-22,7.89617
2020-08-23,9.20881
2020-08-24,27.06233
2020-08-25,21.6633
2020-08-26,22.08991
2020-08-27,25.63717
2020-08-28,20.80696
2020-08-29,5.27557
2020-08-30,5.85376
2020-08-31,24.00575
2020-09-01,19.1349
2020-09-02,17.43315
2020-09-03,19.21303
2020-09-04,34.91788
2020-09-05,9.02286
2020-09-06,6.63197
2020-09-07,18.08947
2020-09-08,20.02562
2020-09-09,23.85885
2020-09-10,17.63474
2020-09-11,17.45815
2020-09-12,4.95054
2020-09-13,4.64269
2020-09-14,17.84726
2020-09-15,17.0628
2020-09-16,16.48305
2020-09-17,20.70851
2020-09-18,15.71734
2020-09-19,5.18494
2020-09-20,4.4708
2020-09-21,21.00229
2020-09-22,34.16311
2020-09-23,25.2887
2020-09-24,35.60545
2020-09-25,18.81299
2020-09-26,6.08347
2020-09-27,5.16931
2020-09-28,16.00487
2020-09-29,12.21852
2020-09-30,4.70363
2020-10-01,4.59581
2020-10-02,9.59792
2020-10-03,6.66635
2020-10-04,6.48977
2020-10-05,15.82829
2020-10-06,12.97173
2020-10-07,16.25021
2020-10-08,13.4624
2020-10-09,3.83323
2020-10-10,3.8426
2020-10-11,4.02387
2020-10-12,12.83734
2020-10-13,14.50471
2020-10-14,13.81401
2020-10-15,17.80038
2020-10-16,17.15968
2020-10-17,4.24421
2020-10-18,3.86135
2020-10-19,12.65138
2020-10-20,15.89548
2020-10-21,10.99338
2020-10-22,13.07955
2020-10-23,10.29643
2020-10-24,3.03626
2020-10-25,4.02231
2020-10-26,14.68598
2020-10-27,15.33761
2020-10-28,15.01883
2020-10-29,20.21783
2020-10-30,19.23804
2020-10-31,6.20067
2020-11-01,6.11316
2020-11-02,15.54701
2020-11-03,14.73911
2020-11-04,16.25334
2020-11-05,21.26795
2020-11-06,17.77694
2020-11-07,4.33172
2020-11-08,5.35683
2020-11-09,21.95708
2020-11-10,18.63641
2020-11-11,18.44733
2020-11-12,14.60159
2020-11-13,15.62514
2020-11-14,4.59894
2020-11-15,4.79271
2020-11-16,22.73373
2020-11-17,17.155
2020-11-18,14.64378
2020-11-19,15.38918
2020-11-20,11.59189
2020-11-21,3.98481
2020-11-22,5.74281
2020-11-23,24.42142
2020-11-24,18.938
2020-11-25,21.77738
2020-11-26,18.61609
2020-11-27,15.40012
