date,개인돈대출
2020-03-20,68.38565
2020-03-21,39.68609
2020-03-22,33.63228
2020-03-23,71.07623
2020-03-24,75.1121
2020-03-25,84.52914
2020-03-26,77.80269
2020-03-27,65.24663
2020-03-28,39.91031
2020-03-29,32.51121
2020-03-30,76.68161
2020-03-31,51.12107
2020-04-01,53.36322
2020-04-02,47.30941
2020-04-03,50.22421
2020-04-04,29.37219
2020-04-05,27.13004
2020-04-06,56.05381
2020-04-07,66.81614
2020-04-08,64.7982
2020-04-09,63.67713
2020-04-10,53.58744
2020-04-11,33.40807
2020-04-12,26.23318
2020-04-13,51.34529
2020-04-14,62.78026
2020-04-15,42.82511
2020-04-16,66.59192
2020-04-17,57.17488
2020-04-18,38.78923
2020-04-19,28.92376
2020-04-20,67.93721
2020-04-21,59.86547
2020-04-22,53.36322
2020-04-23,63.22869
2020-04-24,53.81165
2020-04-25,30.04484
2020-04-26,29.14798
2020-04-27,73.76681
2020-04-28,59.86547
2020-04-29,63.00448
2020-04-30,42.82511
2020-05-01,36.54708
2020-05-02,27.80269
2020-05-03,23.31838
2020-05-04,54.4843
2020-05-05,29.59641
2020-05-06,64.34977
2020-05-07,65.02242
2020-05-08,50.0
2020-05-09,26.45739
2020-05-10,24.66367
2020-05-11,59.64125
2020-05-12,64.7982
2020-05-13,57.17488
2020-05-14,58.74439
2020-05-15,46.63677
2020-05-16,26.45739
2020-05-17,22.64573
2020-05-18,63.67713
2020-05-19,57.17488
2020-05-20,58.07174
2020-05-21,56.72645
2020-05-22,44.84304
2020-05-23,26.90582
2020-05-24,33.63228
2020-05-25,60.76233
2020-05-26,52.24215
2020-05-27,42.15246
2020-05-28,35.87443
2020-05-29,41.03139
2020-05-30,19.28251
2020-05-31,15.47085
2020-06-01,43.94618
2020-06-02,46.63677
2020-06-03,42.60089
2020-06-04,40.58295
2020-06-05,34.75336
2020-06-06,25.56053
2020-06-07,15.24663
2020-06-08,44.39461
2020-06-09,36.54708
2020-06-10,47.0852
2020-06-11,42.37668
2020-06-12,35.20179
2020-06-13,19.50672
2020-06-14,21.97309
2020-06-15,49.55156
2020-06-16,42.37668
2020-06-17,52.69058
2020-06-18,51.5695
2020-06-19,40.35874
2020-06-20,20.6278
2020-06-21,25.56053
2020-06-22,55.15695
2020-06-23,60.98654
2020-06-24,63.90134
2020-06-25,53.36322
2020-06-26,41.92825
2020-06-27,25.78475
2020-06-28,19.05829
