date,미국배당ETF
2020-03-20,16.66666
2020-03-21,13.46153
2020-03-22,26.92307
2020-03-23,12.17948
2020-03-24,19.87179
2020-03-25,16.66666
2020-03-26,17.6282
2020-03-27,24.03846
2020-03-28,16.02564
2020-03-29,12.17948
2020-03-30,12.82051
2020-03-31,11.53846
2020-04-01,11.85897
2020-04-02,16.34615
2020-04-03,13.14102
2020-04-04,15.0641
2020-04-05,8.33333
2020-04-06,14.42307
2020-04-07,14.42307
2020-04-08,16.98717
2020-04-09,14.10256
2020-04-10,10.57692
2020-04-11,7.37179
2020-04-12,10.89743
2020-04-13,8.97435
2020-04-14,14.42307
2020-04-15,12.82051
2020-04-16,14.74358
2020-04-17,16.98717
2020-04-18,11.85897
2020-04-19,12.17948
2020-04-20,10.57692
2020-04-21,15.0641
2020-04-22,12.5
2020-04-23,14.42307
2020-04-24,15.0641
2020-04-25,22.75641
2020-04-26,16.34615
2020-04-27,19.23076
2020-04-28,21.15384
2020-04-29,14.74358
2020-04-30,16.02564
2020-05-01,9.61538
2020-05-02,16.02564
2020-05-03,14.10256
2020-05-04,9.61538
2020-05-05,9.61538
2020-05-06,15.0641
2020-05-07,14.42307
2020-05-08,13.14102
2020-05-09,12.17948
2020-05-10,19.23076
2020-05-11,14.74358
2020-05-12,15.38461
2020-05-13,18.58974
2020-05-14,14.10256
2020-05-15,17.30769
2020-05-16,12.82051
2020-05-17,11.53846
2020-05-18,14.42307
2020-05-19,16.66666
2020-05-20,15.0641
2020-05-21,8.65384
2020-05-22,11.53846
2020-05-23,9.61538
2020-05-24,9.93589
2020-05-25,12.5
2020-05-26,17.30769
2020-05-27,13.78205
2020-05-28,15.38461
2020-05-29,9.61538
2020-05-30,13.14102
2020-05-31,10.57692
2020-06-01,16.66666
2020-06-02,15.70512
2020-06-03,18.58974
2020-06-04,16.98717
2020-06-05,16.66666
2020-06-06,13.14102
2020-06-07,10.89743
2020-06-08,17.6282
2020-06-09,12.5
2020-06-10,18.26923
2020-06-11,10.89743
2020-06-12,13.46153
2020-06-13,13.46153
2020-06-14,12.17948
2020-06-15,8.01282
2020-06-16,15.0641
2020-06-17,12.17948
2020-06-18,15.0641
2020-06-19,10.57692
2020-06-20,9.93589
2020-06-21,9.61538
2020-06-22,13.14102
2020-06-23,15.0641
2020-06-24,9.61538
2020-06-25,8.97435
2020-06-26,8.01282
2020-06-27,4.48717
2020-06-28,8.65384
2020-06-29,6.73076
2020-06-30,7.6923
2020-07-01,10.89743
2020-07-02,5.76923
2020-07-03,11.53846
2020-07-04,8.01282
2020-07-05,16.66666
2020-07-06,10.25641
2020-07-07,11.85897
2020-07-08,11.53846
2020-07-09,12.17948
2020-07-10,9.61538
2020-07-11,10.89743
2020-07-12,6.41025
