date,소상공인정책자금
2020-03-20,0.6513
2020-03-21,0.12951
2020-03-22,0.13199
2020-03-23,0.67361
2020-03-24,0.80127
2020-03-25,1.01631
2020-03-26,1.03861
2020-03-27,1.96383
2020-03-28,0.40094
2020-03-29,0.29683
2020-03-30,2.45835
2020-03-31,1.23568
2020-04-01,1.08633
2020-04-02,1.16751
2020-04-03,0.85023
2020-04-04,0.21503
2020-04-05,0.1983
2020-04-06,0.8589
2020-04-07,0.7709
2020-04-08,0.69034
2020-04-09,0.6606
2020-04-10,0.49762
2020-04-11,0.1227
2020-04-12,0.10906
2020-04-13,0.57818
2020-04-14,0.52798
2020-04-15,0.20574
2020-04-16,0.46539
2020-04-17,0.44742
2020-04-18,0.10039
2020-04-19,0.0787
2020-04-20,0.39598
2020-04-21,0.38049
2020-04-22,0.34703
2020-04-23,0.32906
2020-04-24,0.25717
2020-04-25,0.08737
2020-04-26,0.0787
2020-04-27,0.31047
2020-04-28,0.2863
2020-04-29,0.26213
2020-04-30,0.08551
2020-05-01,0.08118
2020-05-02,0.0347
2020-05-03,0.03904
2020-05-04,0.18653
2020-05-05,0.08799
2020-05-06,0.24106
2020-05-07,0.16484
2020-05-08,0.09357
2020-05-09,0.01797
2020-05-10,0.02726
2020-05-11,0.12146
2020-05-12,0.12084
2020-05-13,0.11402
2020-05-14,0.09419
2020-05-15,0.07746
2020-05-16,0.02354
2020-05-17,0.0223
2020-05-18,0.12579
2020-05-19,0.08613
2020-05-20,0.08613
2020-05-21,0.07498
2020-05-22,0.0663
2020-05-23,0.01549
2020-05-24,0.01425
2020-05-25,0.08551
2020-05-26,0.08737
2020-05-27,0.05949
2020-05-28,0.05825
2020-05-29,0.04523
2020-05-30,0.00991
2020-05-31,0.01425
2020-06-01,0.0787
2020-06-02,0.07126
2020-06-03,0.08365
2020-06-04,0.0787
2020-06-05,0.04957
2020-06-06,0.02974
2020-06-07,0.01859
2020-06-08,0.05205
2020-06-09,0.05763
2020-06-10,0.05205
2020-06-11,0.06506
2020-06-12,0.05515
2020-06-13,0.01673
2020-06-14,0.01673
2020-06-15,0.05391
2020-06-16,0.07002
2020-06-17,0.05701
2020-06-18,0.05515
2020-06-19,0.05205
2020-06-20,0.01425
2020-06-21,0.01797
2020-06-22,0.07498
2020-06-23,0.05143
2020-06-24,0.05019
2020-06-25,0.05205
2020-06-26,0.04895
2020-06-27,0.04213
2020-06-28,0.01921
2020-06-29,0.04275
2020-06-30,0.04399
2020-07-01,0.05081
2020-07-02,0.05143
2020-07-03,0.03842
2020-07-04,0.02664
2020-07-05,0.0316
2020-07-06,0.0787
2020-07-07,0.05763
2020-07-08,0.04399
2020-07-09,0.05081
2020-07-10,0.05143
2020-07-11,0.04399
2020-07-12,0.0378
2020-07-13,0.0725
2020-07-14,0.07436
