date,SQQQ
2020-11-07,6.68626
2020-11-08,2.54714
2020-11-09,7.78839
2020-11-10,11.90301
2020-11-11,8.98848
2020-11-12,6.17193
2020-11-13,4.7514
2020-11-14,3.20842
2020-11-15,2.17976
2020-11-16,3.50232
2020-11-17,5.19226
2020-11-18,4.67793
2020-11-19,7.24957
2020-11-20,4.43301
2020-11-21,3.08596
2020-11-22,2.0818
2020-11-23,2.42468
2020-11-24,4.50649
2020-11-25,7.56796
2020-11-26,6.66176
2020-11-27,6.46583
2020-11-28,6.66176
2020-11-29,2.98799
2020-11-30,5.6576
2020-12-01,8.18025
2020-12-02,9.08645
2020-12-03,6.00048
2020-12-04,6.80871
2020-12-05,5.29022
2020-12-06,3.2574
2020-12-07,4.26157
2020-12-08,7.05363
2020-12-09,6.88219
2020-12-10,9.03747
2020-12-11,5.43717
2020-12-12,4.01665
2020-12-13,2.42468
2020-12-14,2.59613
2020-12-15,4.57996
2020-12-16,3.94317
2020-12-17,3.99216
2020-12-18,4.67793
2020-12-19,3.60029
2020-12-20,2.59613
2020-12-21,6.61278
2020-12-22,6.83321
2020-12-23,4.62894
2020-12-24,3.33088
2020-12-25,2.30222
2020-12-26,2.62062
2020-12-27,2.42468
2020-12-28,3.06147
2020-12-29,4.53098
2020-12-30,4.80039
2020-12-31,2.91452
2021-01-01,3.91868
2021-01-02,1.37154
2021-01-03,2.20426
2021-01-04,3.2574
2021-01-05,6.17193
2021-01-06,6.2454
2021-01-07,5.85353
2021-01-08,8.52314
2021-01-09,6.93117
2021-01-10,4.43301
2021-01-11,8.54763
2021-01-12,9.87019
2021-01-13,6.09845
2021-01-14,4.40852
2021-01-15,5.3637
2021-01-16,7.54347
2021-01-17,2.81655
2021-01-18,5.60862
2021-01-19,4.67793
2021-01-20,5.33921
2021-01-21,8.08229
2021-01-22,7.7394
2021-01-23,4.99632
2021-01-24,3.50232
2021-01-25,5.11878
2021-01-26,8.6456
2021-01-27,10.40901
2021-01-28,16.7034
2021-01-29,11.21724
2021-01-30,15.91966
2021-01-31,11.0213
2021-02-01,7.46999
2021-02-02,6.41685
2021-02-03,7.05363
2021-02-04,5.9515
2021-02-05,7.98432
2021-02-06,5.11878
2021-02-07,3.01249
2021-02-08,4.99632
2021-02-09,7.51898
2021-02-10,8.84153
2021-02-11,11.43766
2021-02-12,7.69042
2021-02-13,8.32721
2021-02-14,5.80455
2021-02-15,3.77173
2021-02-16,5.43717
2021-02-17,8.37619
2021-02-18,15.55228
2021-02-19,13.47048
2021-02-20,5.33921
2021-02-21,3.72275
2021-02-22,13.49497
2021-02-23,45.48126
2021-02-24,27.38182
2021-02-25,15.25838
2021-02-26,45.21185
2021-02-27,21.87117
2021-02-28,10.99681
2021-03-01,12.95615
2021-03-02,10.67842
2021-03-03,10.70291
2021-03-04,28.60641
2021-03-05,50.25716
2021-03-06,25.61841
2021-03-07,7.78839
2021-03-08,19.93632
2021-03-09,24.90815
2021-03-10,21.4793
2021-03-11,12.46632
2021-03-12,14.54812
2021-03-13,7.4455
2021-03-14,5.02081
2021-03-15,5.85353
2021-03-16,8.89052
2021-03-17,12.29488
2021-03-18,11.82953
2021-03-19,13.83786
2021-03-20,5.0453
2021-03-21,2.76757
2021-03-22,3.8697
2021-03-23,6.04947
2021-03-24,5.63311
2021-03-25,9.72324
2021-03-26,5.90252
2021-03-27,3.5758
2021-03-28,1.61645
2021-03-29,5.0453
2021-03-30,4.82488
2021-03-31,4.28606
2021-04-01,5.16776
2021-04-02,4.28606
2021-04-03,2.20426
2021-04-04,1.51849
2021-04-05,3.30639
2021-04-06,6.83321
2021-04-07,4.84937
2021-04-08,4.50649
2021-04-09,4.33504
2021-04-10,3.40435
2021-04-11,1.86137
2021-04-12,3.72275
2021-04-13,3.84521
2021-04-14,5.19226
2021-04-15,5.75557
2021-04-16,4.92285
2021-04-17,3.15944
2021-04-18,1.54298
2021-04-19,2.9635
2021-04-20,4.62894
2021-04-21,5.90252
2021-04-22,3.77173
2021-04-23,6.02498
2021-04-24,2.3757
2021-04-25,1.64095
2021-04-26,4.50649
2021-04-27,4.31055
2021-04-28,4.89835
2021-04-29,5.24124
2021-04-30,5.3637
2021-05-01,3.40435
2021-05-02,2.00832
2021-05-03,2.64511
2021-05-04,5.87803
2021-05-05,8.59662
2021-05-06,12.8092
2021-05-07,7.98432
2021-05-08,4.62894
2021-05-09,1.56747
2021-05-10,4.89835
2021-05-11,20.76904
2021-05-12,12.04996
2021-05-13,21.20989
2021-05-14,7.02914
2021-05-15,4.60445
2021-05-16,2.10629
2021-05-17,4.55547
2021-05-18,5.14327
2021-05-19,6.5393
2021-05-20,6.66176
2021-05-21,6.31888
2021-05-22,3.8697
2021-05-23,1.66544
2021-05-24,3.2819
2021-05-25,5.0453
2021-05-26,4.31055
2021-05-27,5.6576
2021-05-28,3.94317
2021-05-29,2.89003
2021-05-30,1.71442
2021-05-31,1.98383
2021-06-01,2.52265
2021-06-02,2.84104
2021-06-03,6.49032
2021-06-04,3.79622
2021-06-05,3.2574
2021-06-06,1.86137
2021-06-07,3.40435
2021-06-08,4.62894
2021-06-09,5.51065
2021-06-10,5.53514
2021-06-11,3.96767
2021-06-12,2.59613
2021-06-13,1.98383
2021-06-14,3.42885
2021-06-15,6.34337
2021-06-16,5.63311
2021-06-17,5.97599
2021-06-18,8.79255
2021-06-19,3.99216
2021-06-20,3.45334
2021-06-21,4.26157
2021-06-22,4.35953
2021-06-23,5.33921
2021-06-24,5.41268
2021-06-25,6.36786
2021-06-26,2.98799
2021-06-27,2.20426
2021-06-28,3.64927
2021-06-29,5.46167
2021-06-30,6.39235
2021-07-01,4.72691
2021-07-02,4.40852
2021-07-03,4.13911
2021-07-04,2.47367
2021-07-05,2.79206
2021-07-06,4.55547
2021-07-07,7.17609
2021-07-08,18.00146
2021-07-09,8.62111
2021-07-10,4.01665
2021-07-11,2.20426
2021-07-12,3.99216
2021-07-13,5.92701
2021-07-14,6.71075
2021-07-15,6.39235
2021-07-16,6.46583
2021-07-17,4.94734
2021-07-18,3.01249
2021-07-19,11.38868
2021-07-20,8.49865
2021-07-21,4.40852
2021-07-22,4.55547
2021-07-23,4.50649
2021-07-24,4.7514
2021-07-25,2.42468
2021-07-26,4.26157
2021-07-27,5.19226
2021-07-28,5.55963
2021-07-29,4.01665
2021-07-30,5.3637
2021-07-31,2.62062
2021-08-01,1.37154
2021-08-02,2.17976
2021-08-03,3.35537
2021-08-04,2.91452
2021-08-05,2.9635
2021-08-06,4.31055
2021-08-07,2.42468
2021-08-08,1.7879
2021-08-09,2.3757
2021-08-10,3.03698
2021-08-11,4.23708
2021-08-12,6.00048
2021-08-13,4.53098
2021-08-14,3.2819
2021-08-15,2.20426
2021-08-16,4.13911
2021-08-17,7.98432
2021-08-18,6.5638
