date,리워드앱
2020-03-20,4.60081
2020-03-21,4.60081
2020-03-22,2.97699
2020-03-23,6.22462
2020-03-24,4.87144
2020-03-25,4.73612
2020-03-26,4.46549
2020-03-27,7.30717
2020-03-28,5.14208
2020-03-29,4.05953
2020-03-30,7.71312
2020-03-31,6.63058
2020-04-01,6.22462
2020-04-02,4.73612
2020-04-03,4.05953
2020-04-04,3.51826
2020-04-05,5.95399
2020-04-06,6.0893
2020-04-07,4.33017
2020-04-08,3.92422
2020-04-09,5.14208
2020-04-10,5.54803
2020-04-11,1.75913
2020-04-12,4.46549
2020-04-13,4.87144
2020-04-14,4.05953
2020-04-15,3.92422
2020-04-16,5.41271
2020-04-17,5.41271
2020-04-18,3.92422
2020-04-19,4.46549
2020-04-20,4.60081
2020-04-21,7.03653
2020-04-22,6.90121
2020-04-23,5.14208
2020-04-24,3.92422
2020-04-25,5.81867
2020-04-26,4.05953
2020-04-27,5.54803
2020-04-28,6.49526
2020-04-29,6.49526
2020-04-30,3.38294
2020-05-01,3.65358
2020-05-02,2.84167
2020-05-03,5.95399
2020-05-04,2.84167
2020-05-05,4.19485
2020-05-06,7.30717
2020-05-07,2.57104
2020-05-08,4.19485
2020-05-09,3.7889
2020-05-10,4.46549
2020-05-11,4.46549
2020-05-12,4.60081
2020-05-13,4.60081
2020-05-14,3.38294
2020-05-15,4.05953
2020-05-16,2.84167
2020-05-17,1.75913
2020-05-18,5.54803
2020-05-19,3.11231
2020-05-20,4.33017
2020-05-21,5.14208
2020-05-22,3.51826
2020-05-23,1.89445
2020-05-24,3.51826
2020-05-25,6.35994
2020-05-26,3.24763
2020-05-27,3.11231
2020-05-28,3.51826
2020-05-29,3.38294
2020-05-30,3.7889
2020-05-31,1.08254
2020-06-01,5.00676
2020-06-02,5.14208
2020-06-03,3.51826
2020-06-04,4.19485
2020-06-05,3.38294
2020-06-06,2.43572
2020-06-07,4.05953
2020-06-08,2.3004
2020-06-09,4.60081
2020-06-10,3.38294
2020-06-11,5.68335
2020-06-12,3.51826
2020-06-13,4.05953
2020-06-14,2.57104
2020-06-15,4.87144
2020-06-16,2.97699
2020-06-17,5.2774
2020-06-18,4.19485
2020-06-19,5.81867
2020-06-20,3.11231
2020-06-21,4.60081
2020-06-22,4.33017
2020-06-23,5.81867
2020-06-24,5.00676
2020-06-25,3.65358
2020-06-26,2.70635
2020-06-27,2.02976
2020-06-28,2.43572
2020-06-29,3.38294
2020-06-30,4.73612
2020-07-01,3.38294
2020-07-02,2.97699
2020-07-03,3.51826
2020-07-04,2.84167
2020-07-05,4.73612
2020-07-06,6.22462
2020-07-07,4.87144
2020-07-08,3.38294
2020-07-09,5.81867
2020-07-10,7.71312
2020-07-11,2.84167
2020-07-12,3.7889
2020-07-13,2.70635
2020-07-14,3.65358
2020-07-15,4.46549
2020-07-16,4.87144
2020-07-17,4.05953
2020-07-18,2.02976
2020-07-19,2.97699
2020-07-20,4.19485
2020-07-21,3.7889
2020-07-22,4.05953
2020-07-23,4.60081
2020-07-24,4.05953
2020-07-25,2.16508
2020-07-26,4.87144
2020-07-27,4.60081
2020-07-28,4.33017
2020-07-29,5.95399
2020-07-30,5.00676
2020-07-31,3.11231
2020-08-01,2.3004
2020-08-02,2.97699
2020-08-03,1.75913
2020-08-04,3.7889
2020-08-05,3.65358
2020-08-06,3.11231
2020-08-07,5.54803
2020-08-08,1.89445
2020-08-09,1.35317
2020-08-10,4.60081
2020-08-11,4.33017
2020-08-12,4.19485
2020-08-13,4.60081
2020-08-14,2.84167
2020-08-15,2.3004
2020-08-16,2.3004
2020-08-17,2.16508
2020-08-18,2.97699
2020-08-19,3.24763
2020-08-20,3.38294
2020-08-21,4.73612
2020-08-22,2.43572
2020-08-23,2.57104
2020-08-24,3.24763
2020-08-25,4.19485
2020-08-26,2.97699
2020-08-27,3.92422
2020-08-28,3.38294
2020-08-29,2.02976
2020-08-30,2.43572
2020-08-31,5.14208
2020-09-01,4.46549
2020-09-02,4.46549
2020-09-03,4.33017
2020-09-04,5.41271
2020-09-05,4.46549
2020-09-06,4.60081
2020-09-07,3.24763
2020-09-08,3.24763
2020-09-09,4.87144
2020-09-10,3.11231
2020-09-11,4.46549
2020-09-12,2.43572
2020-09-13,2.97699
2020-09-14,4.05953
2020-09-15,5.00676
2020-09-16,3.51826
2020-09-17,5.14208
2020-09-18,3.51826
2020-09-19,3.11231
2020-09-20,2.16508
2020-09-21,3.38294
2020-09-22,3.65358
2020-09-23,2.84167
2020-09-24,3.7889
2020-09-25,3.92422
2020-09-26,3.11231
2020-09-27,4.60081
2020-09-28,5.54803
2020-09-29,3.7889
2020-09-30,1.48849
2020-10-01,2.16508
2020-10-02,3.51826
2020-10-03,2.97699
2020-10-04,5.14208
2020-10-05,3.38294
2020-10-06,7.84844
2020-10-07,4.33017
2020-10-08,3.65358
2020-10-09,1.89445
2020-10-10,2.43572
2020-10-11,2.57104
2020-10-12,4.19485
2020-10-13,5.2774
2020-10-14,4.73612
2020-10-15,4.87144
2020-10-16,3.7889
2020-10-17,2.84167
2020-10-18,3.38294
2020-10-19,3.7889
2020-10-20,5.00676
2020-10-21,6.22462
2020-10-22,5.81867
2020-10-23,3.92422
2020-10-24,3.65358
2020-10-25,3.7889
2020-10-26,4.05953
2020-10-27,3.24763
2020-10-28,6.90121
2020-10-29,5.68335
2020-10-30,5.00676
2020-10-31,3.24763
2020-11-01,4.33017
2020-11-02,4.87144
2020-11-03,3.92422
2020-11-04,3.24763
2020-11-05,2.84167
2020-11-06,4.05953
2020-11-07,2.3004
2020-11-08,3.51826
2020-11-09,4.19485
2020-11-10,4.87144
2020-11-11,5.54803
2020-11-12,3.24763
2020-11-13,2.16508
2020-11-14,1.89445
2020-11-15,4.33017
2020-11-16,3.38294
2020-11-17,3.24763
2020-11-18,5.68335
2020-11-19,2.57104
2020-11-20,5.2774
2020-11-21,2.97699
2020-11-22,1.62381
2020-11-23,3.92422
2020-11-24,3.7889
2020-11-25,4.87144
2020-11-26,3.65358
2020-11-27,4.05953
2020-11-28,1.89445
2020-11-29,3.51826
2020-11-30,3.38294
2020-12-01,4.73612
2020-12-02,5.95399
2020-12-03,4.33017
2020-12-04,2.84167
2020-12-05,3.92422
2020-12-06,3.92422
2020-12-07,5.2774
2020-12-08,3.7889
2020-12-09,2.3004
2020-12-10,4.73612
2020-12-11,4.05953
2020-12-12,2.16508
2020-12-13,4.60081
2020-12-14,4.05953
2020-12-15,4.05953
2020-12-16,4.73612
2020-12-17,3.38294
2020-12-18,3.11231
2020-12-19,2.02976
2020-12-20,4.33017
2020-12-21,6.0893
2020-12-22,4.19485
2020-12-23,3.11231
2020-12-24,3.24763
2020-12-25,2.43572
2020-12-26,4.73612
2020-12-27,3.38294
2020-12-28,3.38294
2020-12-29,4.73612
2020-12-30,4.19485
2020-12-31,6.90121
2021-01-01,4.73612
2021-01-02,2.97699
2021-01-03,2.84167
