date,STEP
2020-03-20,27.61904
2020-03-21,16.71428
2020-03-22,16.42857
2020-03-23,26.28571
2020-03-24,29.38095
2020-03-25,28.14285
2020-03-26,27.57142
2020-03-27,27.09523
2020-03-28,14.57142
2020-03-29,16.09523
2020-03-30,25.61904
2020-03-31,28.66666
2020-04-01,28.38095
2020-04-02,28.33333
2020-04-03,25.19047
2020-04-04,14.28571
2020-04-05,14.28571
2020-04-06,27.80952
2020-04-07,28.23809
2020-04-08,26.95238
2020-04-09,28.61904
2020-04-10,24.28571
2020-04-11,15.14285
2020-04-12,15.85714
2020-04-13,29.90476
2020-04-14,28.14285
2020-04-15,20.42857
2020-04-16,31.61904
2020-04-17,25.04761
2020-04-18,15.5238
2020-04-19,15.95238
2020-04-20,35.7619
2020-04-21,34.7619
2020-04-22,31.14285
2020-04-23,27.38095
2020-04-24,26.42857
2020-04-25,16.09523
2020-04-26,16.80952
2020-04-27,27.71428
2020-04-28,27.66666
2020-04-29,23.57142
2020-04-30,14.19047
2020-05-01,16.57142
2020-05-02,12.28571
2020-05-03,15.04761
2020-05-04,21.28571
2020-05-05,13.33333
2020-05-06,26.95238
2020-05-07,27.90476
2020-05-08,22.80952
2020-05-09,13.61904
2020-05-10,14.42857
2020-05-11,27.85714
2020-05-12,27.0
2020-05-13,27.61904
2020-05-14,24.5238
2020-05-15,23.28571
2020-05-16,14.57142
2020-05-17,14.71428
2020-05-18,26.71428
2020-05-19,26.85714
2020-05-20,26.80952
2020-05-21,25.28571
2020-05-22,24.23809
2020-05-23,14.28571
2020-05-24,15.5238
2020-05-25,26.38095
2020-05-26,25.95238
2020-05-27,23.95238
2020-05-28,24.80952
2020-05-29,23.71428
2020-05-30,14.61904
2020-05-31,15.09523
2020-06-01,31.0
2020-06-02,29.71428
2020-06-03,26.5238
2020-06-04,27.38095
2020-06-05,23.57142
2020-06-06,13.85714
2020-06-07,15.38095
2020-06-08,24.04761
2020-06-09,25.04761
2020-06-10,27.14285
2020-06-11,24.61904
2020-06-12,22.23809
2020-06-13,15.23809
2020-06-14,14.42857
2020-06-15,24.0
2020-06-16,24.5238
2020-06-17,26.04761
2020-06-18,24.42857
2020-06-19,24.14285
2020-06-20,11.42857
2020-06-21,14.28571
2020-06-22,24.09523
2020-06-23,23.85714
2020-06-24,24.09523
2020-06-25,23.38095
2020-06-26,22.47619
2020-06-27,11.0
2020-06-28,13.66666
2020-06-29,25.14285
2020-06-30,22.33333
2020-07-01,24.33333
2020-07-02,22.5238
2020-07-03,19.7619
2020-07-04,13.23809
2020-07-05,15.14285
2020-07-06,23.47619
2020-07-07,23.04761
2020-07-08,24.57142
2020-07-09,24.0
2020-07-10,19.47619
2020-07-11,12.33333
2020-07-12,16.80952
2020-07-13,21.71428
2020-07-14,23.23809
2020-07-15,22.71428
2020-07-16,20.23809
2020-07-17,19.85714
2020-07-18,13.19047
2020-07-19,14.33333
2020-07-20,22.57142
2020-07-21,22.85714
2020-07-22,23.71428
2020-07-23,22.47619
2020-07-24,18.95238
2020-07-25,10.95238
2020-07-26,12.33333
2020-07-27,20.42857
2020-07-28,21.61904
2020-07-29,21.47619
2020-07-30,20.23809
2020-07-31,17.57142
