date,순금
2020-03-20,75.30172
2020-03-21,49.82758
2020-03-22,44.05172
2020-03-23,62.67241
2020-03-24,69.61206
2020-03-25,68.27586
2020-03-26,63.96551
2020-03-27,55.94827
2020-03-28,43.01724
2020-03-29,35.43103
2020-03-30,54.31034
2020-03-31,54.39655
2020-04-01,52.5
2020-04-02,49.43965
2020-04-03,45.81896
2020-04-04,36.81034
2020-04-05,40.12931
2020-04-06,54.35344
2020-04-07,54.00862
2020-04-08,53.96551
2020-04-09,51.37931
2020-04-10,58.75
2020-04-11,43.62068
2020-04-12,52.67241
2020-04-13,64.65517
2020-04-14,66.55172
2020-04-15,51.50862
2020-04-16,67.11206
2020-04-17,60.25862
2020-04-18,43.92241
2020-04-19,44.61206
2020-04-20,58.57758
2020-04-21,60.73275
2020-04-22,63.36206
2020-04-23,63.31896
2020-04-24,64.65517
2020-04-25,45.64655
2020-04-26,47.19827
2020-04-27,69.22413
2020-04-28,57.41379
2020-04-29,53.96551
2020-04-30,45.68965
2020-05-01,46.46551
2020-05-02,44.43965
2020-05-03,44.18103
2020-05-04,55.43103
2020-05-05,47.62931
2020-05-06,61.98275
2020-05-07,52.84482
2020-05-08,52.32758
2020-05-09,42.24137
2020-05-10,33.18965
2020-05-11,49.18103
2020-05-12,48.96551
2020-05-13,42.32758
2020-05-14,45.12931
2020-05-15,45.56034
2020-05-16,39.22413
2020-05-17,35.73275
2020-05-18,61.55172
2020-05-19,56.3362
2020-05-20,50.0
2020-05-21,48.92241
2020-05-22,45.94827
2020-05-23,35.17241
2020-05-24,31.76724
2020-05-25,47.62931
2020-05-26,43.53448
2020-05-27,47.11206
2020-05-28,43.01724
2020-05-29,38.8362
2020-05-30,30.51724
2020-05-31,32.06896
2020-06-01,44.48275
2020-06-02,41.81034
2020-06-03,39.87068
2020-06-04,40.34482
2020-06-05,42.41379
2020-06-06,30.86206
2020-06-07,31.68103
2020-06-08,42.93103
2020-06-09,46.12068
2020-06-10,41.68103
2020-06-11,41.89655
2020-06-12,38.7931
2020-06-13,29.82758
2020-06-14,34.61206
2020-06-15,47.45689
2020-06-16,42.32758
2020-06-17,40.12931
2020-06-18,39.31034
2020-06-19,37.80172
2020-06-20,31.03448
2020-06-21,29.09482
2020-06-22,48.44827
2020-06-23,45.68965
2020-06-24,44.31034
2020-06-25,44.22413
2020-06-26,40.68965
2020-06-27,35.12931
2020-06-28,28.23275
2020-06-29,43.06034
2020-06-30,40.0
2020-07-01,49.87068
2020-07-02,42.45689
2020-07-03,39.09482
2020-07-04,29.31034
2020-07-05,32.67241
2020-07-06,42.5
2020-07-07,43.70689
2020-07-08,47.24137
2020-07-09,50.64655
2020-07-10,44.35344
2020-07-11,36.12068
2020-07-12,35.34482
2020-07-13,52.80172
2020-07-14,57.28448
2020-07-15,56.72413
2020-07-16,48.49137
2020-07-17,47.41379
2020-07-18,39.26724
2020-07-19,35.94827
2020-07-20,50.43103
2020-07-21,49.78448
2020-07-22,61.03448
2020-07-23,70.12931
