date,만도주가
2020-11-08,1.20136
2020-11-09,14.26977
2020-11-10,13.21283
2020-11-11,18.16709
2020-11-12,16.43616
2020-11-13,31.36023
2020-11-14,5.05273
2020-11-15,3.91702
2020-11-16,27.27909
2020-11-17,22.2176
2020-11-18,19.65512
2020-11-19,23.95728
2020-11-20,19.08836
2020-11-21,2.24298
2020-11-22,1.6609
2020-11-23,20.04682
2020-11-24,19.56978
2020-11-25,23.5612
2020-11-26,19.90021
2020-11-27,20.2941
2020-11-28,2.73972
2020-11-29,2.82288
2020-11-30,25.2987
2020-12-01,29.36671
2020-12-02,36.72151
2020-12-03,33.86143
2020-12-04,29.88095
2020-12-05,4.24307
2020-12-06,3.83605
2020-12-07,36.2007
2020-12-08,33.51568
2020-12-09,30.17418
2020-12-10,31.28364
2020-12-11,30.22014
2020-12-12,3.61284
2020-12-13,2.90603
2020-12-14,26.511
2020-12-15,26.78673
2020-12-16,31.47402
2020-12-17,27.24845
2020-12-18,24.67504
2020-12-19,3.13142
2020-12-20,3.01763
2020-12-21,23.861
2020-12-22,32.51564
2020-12-23,51.89723
2020-12-24,40.12648
2020-12-25,4.84485
2020-12-26,3.48811
2020-12-27,3.78134
2020-12-28,36.66462
2020-12-29,28.72116
2020-12-30,29.8153
2020-12-31,5.11182
2021-01-01,3.25397
2021-01-02,2.91916
2021-01-03,3.14893
2021-01-04,39.83325
2021-01-05,49.35445
2021-01-06,43.26666
2021-01-07,50.0547
2021-01-08,95.09387
2021-01-09,15.25012
2021-01-10,14.28508
2021-01-11,96.45061
2021-01-12,69.0621
2021-01-13,64.63302
2021-01-14,63.05746
2021-01-15,55.59543
2021-01-16,6.84493
2021-01-17,5.79018
2021-01-18,57.00468
2021-01-19,65.62431
2021-01-20,64.8234
2021-01-21,72.84782
2021-01-22,70.87399
2021-01-23,8.252
2021-01-24,6.63486
2021-01-25,64.21725
2021-01-26,50.72869
2021-01-27,49.02183
2021-01-28,47.87955
2021-01-29,48.15746
2021-01-30,5.63481
2021-01-31,4.89736
2021-02-01,50.94314
2021-02-02,46.39809
2021-02-03,77.26815
2021-02-04,90.67136
2021-02-05,63.61766
2021-02-06,8.73561
2021-02-07,6.87995
2021-02-08,64.49954
2021-02-09,58.89754
2021-02-10,53.29117
2021-02-11,5.35253
2021-02-12,4.17523
2021-02-13,5.05273
2021-02-14,5.44006
2021-02-15,51.13571
2021-02-16,45.66501
2021-02-17,41.39349
2021-02-18,38.94262
2021-02-19,40.66261
2021-02-20,5.92367
2021-02-21,5.17528
2021-02-22,39.57941
2021-02-23,37.18543
2021-02-24,42.97343
2021-02-25,43.1288
2021-02-26,37.378
2021-02-27,4.58006
2021-02-28,3.66755
2021-03-01,4.91487
2021-03-02,41.38693
2021-03-03,35.30132
2021-03-04,32.06704
2021-03-05,31.82852
2021-03-06,4.72887
2021-03-07,4.05707
2021-03-08,32.37121
2021-03-09,33.48943
2021-03-10,33.16118
2021-03-11,36.87469
2021-03-12,50.75933
2021-03-13,6.19064
2021-03-14,5.17528
2021-03-15,42.5314
2021-03-16,41.20311
2021-03-17,49.13344
2021-03-18,58.7925
2021-03-19,50.22976
2021-03-20,5.77924
2021-03-21,4.58225
2021-03-22,87.5093
2021-03-23,75.51533
2021-03-24,61.62632
2021-03-25,51.22981
2021-03-26,45.09606
2021-03-27,5.38973
2021-03-28,4.58663
2021-03-29,45.60593
2021-03-30,49.06998
2021-03-31,41.63639
2021-04-01,40.24902
2021-04-02,46.63004
2021-04-03,5.5626
2021-04-04,5.10525
2021-04-05,41.42194
2021-04-06,37.73906
2021-04-07,36.06503
2021-04-08,36.89439
2021-04-09,32.47188
2021-04-10,4.86454
2021-04-11,3.31524
2021-04-12,34.01024
2021-04-13,35.91623
2021-04-14,32.71477
2021-04-15,32.66444
