date,주식강의
2020-03-20,42.98642
2020-03-21,37.55656
2020-03-22,32.57918
2020-03-23,36.65158
2020-03-24,35.29411
2020-03-25,51.58371
2020-03-26,52.48868
2020-03-27,43.8914
2020-03-28,50.22624
2020-03-29,37.55656
2020-03-30,45.24886
2020-03-31,38.91402
2020-04-01,40.72398
2020-04-02,48.41628
2020-04-03,32.12669
2020-04-04,41.62895
2020-04-05,39.819
2020-04-06,45.24886
2020-04-07,41.17647
2020-04-08,51.13122
2020-04-09,44.34389
2020-04-10,47.51131
2020-04-11,45.70135
2020-04-12,42.08144
2020-04-13,44.34389
2020-04-14,34.38914
2020-04-15,41.17647
2020-04-16,37.10407
2020-04-17,37.55656
2020-04-18,31.22171
2020-04-19,49.77375
2020-04-20,43.43891
2020-04-21,46.15384
2020-04-22,43.8914
2020-04-23,42.98642
2020-04-24,40.27149
2020-04-25,27.6018
2020-04-26,32.57918
2020-04-27,44.79638
2020-04-28,38.00904
2020-04-29,23.07692
2020-04-30,20.81447
2020-05-01,25.79185
2020-05-02,19.9095
2020-05-03,33.03167
2020-05-04,27.6018
2020-05-05,30.76923
2020-05-06,22.17194
2020-05-07,36.19909
2020-05-08,32.12669
2020-05-09,29.86425
2020-05-10,23.07692
2020-05-11,33.03167
2020-05-12,30.31674
2020-05-13,34.38914
2020-05-14,27.14932
2020-05-15,25.33936
2020-05-16,27.6018
2020-05-17,31.6742
2020-05-18,37.10407
2020-05-19,36.19909
2020-05-20,31.6742
2020-05-21,30.31674
2020-05-22,34.38914
2020-05-23,29.86425
2020-05-24,29.86425
2020-05-25,39.36651
2020-05-26,41.17647
2020-05-27,40.72398
2020-05-28,33.93665
2020-05-29,28.95927
2020-05-30,26.24434
2020-05-31,31.6742
2020-06-01,26.24434
2020-06-02,30.31674
2020-06-03,46.15384
2020-06-04,41.62895
2020-06-05,30.76923
2020-06-06,34.84162
2020-06-07,46.15384
2020-06-08,30.76923
2020-06-09,33.93665
2020-06-10,36.19909
2020-06-11,40.72398
2020-06-12,36.19909
2020-06-13,30.76923
2020-06-14,31.22171
2020-06-15,27.14932
2020-06-16,33.03167
2020-06-17,39.36651
2020-06-18,38.91402
2020-06-19,31.22171
2020-06-20,24.88687
2020-06-21,38.46153
2020-06-22,39.36651
2020-06-23,29.41176
2020-06-24,34.38914
2020-06-25,28.50678
2020-06-26,29.41176
2020-06-27,20.36199
2020-06-28,34.38914
2020-06-29,27.14932
2020-06-30,23.9819
2020-07-01,30.31674
2020-07-02,27.14932
2020-07-03,27.14932
2020-07-04,22.62443
2020-07-05,36.65158
2020-07-06,33.93665
2020-07-07,39.36651
2020-07-08,50.67873
2020-07-09,40.72398
2020-07-10,33.48416
2020-07-11,23.9819
2020-07-12,40.27149
2020-07-13,43.8914
2020-07-14,42.53393
2020-07-15,33.48416
2020-07-16,31.22171
2020-07-17,36.19909
2020-07-18,26.24434
2020-07-19,34.38914
2020-07-20,39.819
2020-07-21,49.77375
2020-07-22,60.18099
2020-07-23,51.58371
2020-07-24,41.62895
2020-07-25,37.10407
2020-07-26,51.13122
2020-07-27,50.67873
2020-07-28,57.01357
2020-07-29,42.98642
2020-07-30,51.13122
2020-07-31,38.46153
2020-08-01,38.91402
2020-08-02,40.27149
2020-08-03,51.13122
2020-08-04,51.58371
2020-08-05,51.58371
2020-08-06,58.37104
2020-08-07,43.8914
2020-08-08,42.08144
2020-08-09,57.01357
2020-08-10,53.39366
2020-08-11,57.01357
2020-08-12,59.7285
2020-08-13,47.9638
2020-08-14,47.9638
2020-08-15,42.53393
2020-08-16,35.7466
2020-08-17,41.17647
2020-08-18,39.819
2020-08-19,38.91402
2020-08-20,27.6018
2020-08-21,39.36651
2020-08-22,34.84162
2020-08-23,35.7466
2020-08-24,36.19909
2020-08-25,44.79638
2020-08-26,46.60633
2020-08-27,58.37104
2020-08-28,52.48868
2020-08-29,46.60633
2020-08-30,57.01357
2020-08-31,69.68325
2020-09-01,66.06334
2020-09-02,55.20361
2020-09-03,59.27601
2020-09-04,62.89592
2020-09-05,60.18099
2020-09-06,55.20361
2020-09-07,77.37556
2020-09-08,68.32579
2020-09-09,58.37104
2020-09-10,60.63348
2020-09-11,52.94117
2020-09-12,53.84615
2020-09-13,66.06334
2020-09-14,71.04072
2020-09-15,67.8733
2020-09-16,67.8733
2020-09-17,70.13574
2020-09-18,56.56108
2020-09-19,41.62895
2020-09-20,44.79638
2020-09-21,54.75113
2020-09-22,57.01357
2020-09-23,40.72398
2020-09-24,36.19909
2020-09-25,35.29411
2020-09-26,39.36651
2020-09-27,38.46153
2020-09-28,38.00904
2020-09-29,29.86425
2020-09-30,42.53393
2020-10-01,30.31674
2020-10-02,31.6742
2020-10-03,35.29411
2020-10-04,42.53393
2020-10-05,37.55656
2020-10-06,44.79638
2020-10-07,45.70135
2020-10-08,28.95927
2020-10-09,49.32126
2020-10-10,24.43438
2020-10-11,39.36651
2020-10-12,38.46153
2020-10-13,46.60633
2020-10-14,43.8914
2020-10-15,52.94117
2020-10-16,43.8914
2020-10-17,34.38914
2020-10-18,23.52941
2020-10-19,42.08144
2020-10-20,32.57918
2020-10-21,34.84162
2020-10-22,35.7466
2020-10-23,28.95927
2020-10-24,33.03167
2020-10-25,32.57918
2020-10-26,36.65158
2020-10-27,39.819
2020-10-28,34.38914
2020-10-29,33.48416
2020-10-30,29.86425
2020-10-31,26.24434
2020-11-01,42.98642
2020-11-02,43.43891
2020-11-03,34.84162
2020-11-04,28.95927
2020-11-05,28.50678
2020-11-06,32.12669
2020-11-07,34.38914
2020-11-08,30.31674
2020-11-09,42.98642
2020-11-10,40.27149
2020-11-11,42.08144
2020-11-12,44.34389
2020-11-13,51.58371
2020-11-14,24.43438
2020-11-15,39.36651
2020-11-16,45.70135
2020-11-17,37.10407
2020-11-18,52.03619
2020-11-19,43.43891
2020-11-20,49.32126
2020-11-21,42.08144
2020-11-22,51.13122
2020-11-23,49.32126
2020-11-24,56.56108
2020-11-25,58.37104
2020-11-26,52.94117
2020-11-27,52.03619
2020-11-28,55.20361
2020-11-29,52.03619
2020-11-30,54.29864
2020-12-01,58.82352
2020-12-02,61.99095
2020-12-03,53.84615
2020-12-04,53.39366
2020-12-05,45.24886
2020-12-06,51.58371
2020-12-07,57.01357
2020-12-08,72.85067
2020-12-09,51.13122
