date,학점은행
2020-03-20,21.07537
2020-03-21,11.76188
2020-03-22,12.28996
2020-03-23,31.253
2020-03-24,22.27556
2020-03-25,20.78732
2020-03-26,21.79548
2020-03-27,17.42678
2020-03-28,10.22563
2020-03-29,10.08161
2020-03-30,21.50744
2020-03-31,22.75564
2020-04-01,53.91262
2020-04-02,40.90254
2020-04-03,30.0048
2020-04-04,17.81084
2020-04-05,17.28276
2020-04-06,44.79116
2020-04-07,36.10177
2020-04-08,32.40518
2020-04-09,31.301
2020-04-10,24.72395
2020-04-11,15.0264
2020-04-12,17.5228
2020-04-13,36.86989
2020-04-14,29.57273
2020-04-15,17.23475
2020-04-16,30.96495
2020-04-17,31.68506
2020-04-18,14.93038
2020-04-19,17.33077
2020-04-20,37.10993
2020-04-21,34.80556
2020-04-22,34.22947
2020-04-23,32.35717
2020-04-24,29.52472
2020-04-25,16.32261
2020-04-26,17.71483
2020-04-27,38.31012
2020-04-28,39.22227
2020-04-29,33.41334
2020-04-30,13.87421
2020-05-01,12.67402
2020-05-02,8.44935
2020-05-03,11.80988
2020-05-04,21.2674
2020-05-05,14.25828
2020-05-06,22.32357
2020-05-07,20.35525
2020-05-08,18.38694
2020-05-09,9.02544
2020-05-10,12.00192
2020-05-11,25.87614
2020-05-12,20.25924
2020-05-13,20.73931
2020-05-14,22.41958
2020-05-15,17.37878
2020-05-16,10.22563
2020-05-17,11.42582
2020-05-18,22.22755
2020-05-19,21.55544
2020-05-20,18.29092
2020-05-21,19.34709
2020-05-22,17.37878
2020-05-23,11.13778
2020-05-24,13.92222
2020-05-25,21.69947
2020-05-26,19.20307
2020-05-27,18.86701
2020-05-28,17.76284
2020-05-29,15.50648
2020-05-30,9.55352
2020-05-31,11.32981
2020-06-01,23.57177
2020-06-02,22.41958
2020-06-03,22.85165
2020-06-04,22.13154
2020-06-05,18.96303
2020-06-06,11.71387
2020-06-07,13.05808
2020-06-08,25.34805
2020-06-09,22.85165
2020-06-10,21.8915
2020-06-11,21.50744
2020-06-12,21.93951
2020-06-13,15.60249
2020-06-14,16.46663
2020-06-15,58.52136
2020-06-16,45.0312
2020-06-17,42.29476
2020-06-18,37.44599
2020-06-19,29.76476
2020-06-20,17.37878
2020-06-21,17.04272
