date,국민카드캐시백
2020-03-20,2.34032
2020-03-21,0.48756
2020-03-22,1.75524
2020-03-23,1.21891
2020-03-24,2.19405
2020-03-25,2.19405
2020-03-26,1.85275
2020-03-27,1.95026
2020-03-28,0.87762
2020-03-29,1.60897
2020-03-30,1.26767
2020-03-31,2.14529
2020-04-01,2.87664
2020-04-02,2.77913
2020-04-03,2.04778
2020-04-04,1.02389
2020-04-05,0.53632
2020-04-06,1.90151
2020-04-07,1.85275
2020-04-08,2.14529
2020-04-09,1.21891
2020-04-10,2.53534
2020-04-11,1.56021
2020-04-12,1.1214
2020-04-13,2.63286
2020-04-14,2.34032
2020-04-15,1.21891
2020-04-16,1.4627
2020-04-17,2.53534
2020-04-18,0.87762
2020-04-19,1.1214
2020-04-20,2.68161
2020-04-21,1.90151
2020-04-22,2.43783
2020-04-23,2.2428
2020-04-24,2.48659
2020-04-25,0.82886
2020-04-26,0.68259
2020-04-27,2.09653
2020-04-28,3.02291
2020-04-29,2.53534
2020-04-30,1.41394
2020-05-01,1.56021
2020-05-02,0.97513
2020-05-03,1.31643
2020-05-04,2.09653
2020-05-05,1.95026
2020-05-06,2.87664
2020-05-07,2.63286
2020-05-08,1.75524
2020-05-09,1.36518
2020-05-10,0.7801
2020-05-11,3.99804
2020-05-12,2.68161
2020-05-13,3.90053
2020-05-14,2.38907
2020-05-15,2.48659
2020-05-16,0.7801
2020-05-17,1.60897
2020-05-18,2.19405
2020-05-19,1.80399
2020-05-20,1.90151
2020-05-21,1.90151
2020-05-22,2.29156
2020-05-23,1.1214
2020-05-24,1.51145
2020-05-25,1.65772
2020-05-26,2.82788
2020-05-27,1.56021
2020-05-28,2.29156
2020-05-29,2.73037
2020-05-30,0.87762
2020-05-31,0.7801
2020-06-01,1.80399
2020-06-02,2.34032
2020-06-03,1.70648
2020-06-04,1.41394
2020-06-05,1.17016
2020-06-06,0.92637
2020-06-07,1.02389
2020-06-08,2.09653
2020-06-09,1.80399
2020-06-10,1.99902
2020-06-11,1.85275
2020-06-12,1.70648
2020-06-13,0.53632
2020-06-14,0.68259
2020-06-15,2.19405
2020-06-16,1.85275
2020-06-17,1.90151
2020-06-18,1.1214
2020-06-19,1.41394
2020-06-20,0.68259
2020-06-21,0.48756
2020-06-22,1.31643
2020-06-23,1.70648
2020-06-24,1.07264
2020-06-25,1.31643
2020-06-26,0.87762
