date,저축성보험
2020-03-20,23.95023
2020-03-21,11.97511
2020-03-22,16.79626
2020-03-23,27.21617
2020-03-24,32.34836
2020-03-25,25.972
2020-03-26,30.63763
2020-03-27,25.66096
2020-03-28,13.06376
2020-03-29,16.17418
2020-03-30,25.972
2020-03-31,27.68273
2020-04-01,19.12908
2020-04-02,21.77293
2020-04-03,13.84136
2020-04-04,12.28615
2020-04-05,9.02021
2020-04-06,15.24105
2020-04-07,18.19595
2020-04-08,20.0622
2020-04-09,24.26127
2020-04-10,22.2395
2020-04-11,9.95334
2020-04-12,11.35303
2020-04-13,22.55054
2020-04-14,23.17262
2020-04-15,12.90824
2020-04-16,20.83981
2020-04-17,21.77293
2020-04-18,11.50855
2020-04-19,16.3297
2020-04-20,20.99533
2020-04-21,21.77293
2020-04-22,20.99533
2020-04-23,20.99533
2020-04-24,20.0622
2020-04-25,14.61897
2020-04-26,13.99688
2020-04-27,21.30637
2020-04-28,21.92846
2020-04-29,15.55209
2020-04-30,10.88646
2020-05-01,10.88646
2020-05-02,11.50855
2020-05-03,10.88646
2020-05-04,16.79626
2020-05-05,12.5972
2020-05-06,16.48522
2020-05-07,20.0622
2020-05-08,17.72939
2020-05-09,13.06376
2020-05-10,13.06376
2020-05-11,17.72939
2020-05-12,20.83981
2020-05-13,15.55209
2020-05-14,19.75116
2020-05-15,20.0622
2020-05-16,9.79782
2020-05-17,9.79782
2020-05-18,18.19595
2020-05-19,22.55054
2020-05-20,18.19595
2020-05-21,17.88491
2020-05-22,16.95178
2020-05-23,9.95334
2020-05-24,21.92846
2020-05-25,30.32659
2020-05-26,21.15085
2020-05-27,18.97356
2020-05-28,17.26283
2020-05-29,17.41835
2020-05-30,10.57542
2020-05-31,8.24261
2020-06-01,20.52877
2020-06-02,19.2846
2020-06-03,17.57387
2020-06-04,15.70762
2020-06-05,15.39657
2020-06-06,9.48678
2020-06-07,8.70917
2020-06-08,14.30793
2020-06-09,17.57387
2020-06-10,17.26283
2020-06-11,16.95178
2020-06-12,15.86314
2020-06-13,8.39813
2020-06-14,10.57542
2020-06-15,18.19595
2020-06-16,17.72939
2020-06-17,20.99533
2020-06-18,16.48522
2020-06-19,15.55209
2020-06-20,9.79782
2020-06-21,10.88646
2020-06-22,14.30793
2020-06-23,21.46189
2020-06-24,23.32814
2020-06-25,24.57231
2020-06-26,16.3297
2020-06-27,10.26438
2020-06-28,13.53032
2020-06-29,23.32814
2020-06-30,19.44012
2020-07-01,17.41835
2020-07-02,17.57387
2020-07-03,16.17418
2020-07-04,11.50855
2020-07-05,8.24261
2020-07-06,22.70606
2020-07-07,19.59564
2020-07-08,17.88491
2020-07-09,19.90668
2020-07-10,17.26283
2020-07-11,12.90824
2020-07-12,11.19751
2020-07-13,14.46345
2020-07-14,19.44012
2020-07-15,18.97356
2020-07-16,14.93001
2020-07-17,14.77449
2020-07-18,6.37636
2020-07-19,8.70917
2020-07-20,16.17418
2020-07-21,17.41835
2020-07-22,13.99688
2020-07-23,18.35147
2020-07-24,13.53032
2020-07-25,12.44167
2020-07-26,12.28615
2020-07-27,26.74961
2020-07-28,27.52721
2020-07-29,21.92846
2020-07-30,17.57387
2020-07-31,14.30793
2020-08-01,10.10886
2020-08-02,4.66562
2020-08-03,14.30793
2020-08-04,19.12908
2020-08-05,19.12908
2020-08-06,16.79626
2020-08-07,18.19595
2020-08-08,10.73094
2020-08-09,11.50855
2020-08-10,12.90824
2020-08-11,16.3297
2020-08-12,19.2846
2020-08-13,18.19595
2020-08-14,15.08553
2020-08-15,13.06376
2020-08-16,9.6423
2020-08-17,8.55365
2020-08-18,16.01866
2020-08-19,17.72939
2020-08-20,14.61897
2020-08-21,15.08553
2020-08-22,7.465
2020-08-23,9.02021
2020-08-24,18.19595
2020-08-25,23.48367
2020-08-26,22.55054
2020-08-27,21.77293
2020-08-28,14.93001
2020-08-29,14.30793
2020-08-30,12.75272
2020-08-31,15.39657
2020-09-01,17.72939
2020-09-02,17.41835
2020-09-03,15.55209
2020-09-04,18.66251
2020-09-05,9.02021
2020-09-06,12.28615
2020-09-07,15.08553
2020-09-08,21.61741
2020-09-09,20.37325
2020-09-10,15.55209
2020-09-11,17.26283
2020-09-12,10.73094
2020-09-13,13.84136
2020-09-14,16.01866
2020-09-15,18.19595
2020-09-16,17.57387
2020-09-17,19.59564
2020-09-18,13.99688
2020-09-19,11.50855
2020-09-20,13.84136
2020-09-21,16.01866
2020-09-22,16.64074
2020-09-23,18.19595
2020-09-24,22.39502
2020-09-25,16.64074
2020-09-26,9.6423
2020-09-27,7.93157
2020-09-28,21.46189
2020-09-29,15.39657
2020-09-30,12.13063
2020-10-01,6.37636
2020-10-02,7.77604
2020-10-03,7.465
2020-10-04,10.73094
2020-10-05,15.70762
2020-10-06,19.2846
2020-10-07,16.79626
2020-10-08,20.99533
2020-10-09,9.48678
2020-10-10,9.79782
2020-10-11,8.86469
2020-10-12,10.88646
2020-10-13,19.2846
2020-10-14,16.3297
2020-10-15,15.86314
2020-10-16,25.50544
2020-10-17,9.79782
2020-10-18,12.75272
2020-10-19,19.59564
2020-10-20,22.70606
2020-10-21,25.34992
2020-10-22,20.0622
2020-10-23,18.66251
2020-10-24,11.19751
2020-10-25,10.10886
2020-10-26,18.19595
2020-10-27,18.19595
2020-10-28,21.30637
2020-10-29,25.972
2020-10-30,19.75116
2020-10-31,9.6423
2020-11-01,10.4199
2020-11-02,16.3297
2020-11-03,13.3748
2020-11-04,15.39657
2020-11-05,12.13063
2020-11-06,17.41835
2020-11-07,6.22083
2020-11-08,5.59875
2020-11-09,11.35303
2020-11-10,15.86314
2020-11-11,16.48522
2020-11-12,14.93001
2020-11-13,16.48522
2020-11-14,9.95334
2020-11-15,7.15396
2020-11-16,18.50699
2020-11-17,19.75116
2020-11-18,20.0622
2020-11-19,21.15085
2020-11-20,13.99688
2020-11-21,9.17573
2020-11-22,13.3748
2020-11-23,16.79626
2020-11-24,17.57387
2020-11-25,17.57387
2020-11-26,13.21928
2020-11-27,18.81804
2020-11-28,11.66407
2020-11-29,15.55209
2020-11-30,25.81648
2020-12-01,14.77449
2020-12-02,16.79626
2020-12-03,14.30793
2020-12-04,15.39657
2020-12-05,10.4199
2020-12-06,11.04199
2020-12-07,15.86314
2020-12-08,18.35147
2020-12-09,18.35147
2020-12-10,18.66251
2020-12-11,18.19595
2020-12-12,13.06376
2020-12-13,12.44167
2020-12-14,18.19595
2020-12-15,18.97356
2020-12-16,48.83359
2020-12-17,26.12752
2020-12-18,18.66251
2020-12-19,12.90824
2020-12-20,13.21928
2020-12-21,16.48522
2020-12-22,18.81804
2020-12-23,15.86314
2020-12-24,14.61897
2020-12-25,8.08709
2020-12-26,12.13063
2020-12-27,9.79782
2020-12-28,18.81804
2020-12-29,19.2846
2020-12-30,19.12908
2020-12-31,15.70762
2021-01-01,11.50855
2021-01-02,11.50855
2021-01-03,12.13063
2021-01-04,17.88491
2021-01-05,18.66251
2021-01-06,19.90668
2021-01-07,19.75116
2021-01-08,19.2846
2021-01-09,16.79626
2021-01-10,13.84136
2021-01-11,21.30637
2021-01-12,22.39502
2021-01-13,22.70606
2021-01-14,24.57231
2021-01-15,20.68429
2021-01-16,14.93001
2021-01-17,17.57387
2021-01-18,22.55054
2021-01-19,28.46034
2021-01-20,25.66096
2021-01-21,23.48367
2021-01-22,28.61586
2021-01-23,15.24105
2021-01-24,18.19595
2021-01-25,22.08398
2021-01-26,26.12752
2021-01-27,28.9269
2021-01-28,21.30637
2021-01-29,21.30637
