date,경험생명표
2020-03-20,3.68466
2020-03-21,1.11396
2020-03-22,0.59982
2020-03-23,2.14224
2020-03-24,2.91345
2020-03-25,3.08483
2020-03-26,3.77035
2020-03-27,3.59897
2020-03-28,1.02827
2020-03-29,0.51413
2020-03-30,3.08483
2020-03-31,4.28449
2020-04-01,3.25621
2020-04-02,2.39931
2020-04-03,2.05655
2020-04-04,1.02827
2020-04-06,4.37017
2020-04-07,3.59897
2020-04-08,2.31362
2020-04-09,3.42759
2020-04-10,3.25621
2020-04-11,0.59982
2020-04-12,1.79948
2020-04-13,3.3419
2020-04-14,2.14224
2020-04-16,1.79948
2020-04-17,2.485
2020-04-18,1.28534
2020-04-19,0.51413
2020-04-20,2.14224
2020-04-21,2.99914
2020-04-22,3.42759
2020-04-23,3.08483
2020-04-24,2.05655
2020-04-25,0.51413
2020-04-26,1.11396
2020-04-27,3.17052
2020-04-28,2.65638
2020-04-29,2.74207
2020-04-30,0.85689
2020-05-01,0.59982
2020-05-02,0.51413
2020-05-03,0.42844
2020-05-04,2.31362
2020-05-05,1.45672
2020-05-06,2.39931
2020-05-07,3.3419
2020-05-08,0.51413
2020-05-09,0.85689
2020-05-11,2.91345
2020-05-12,2.65638
2020-05-13,3.3419
2020-05-14,2.74207
2020-05-15,1.88517
2020-05-16,1.11396
2020-05-17,1.11396
2020-05-18,2.485
2020-05-19,1.45672
2020-05-20,2.82776
2020-05-21,3.51328
2020-05-22,3.25621
2020-05-23,1.28534
2020-05-24,1.54241
2020-05-25,2.22793
2020-05-26,2.65638
2020-05-27,2.74207
2020-05-28,1.37103
2020-05-29,1.6281
2020-05-30,0.94258
2020-05-31,1.02827
2020-06-01,1.6281
2020-06-02,4.11311
2020-06-03,2.14224
2020-06-04,3.77035
2020-06-05,2.39931
2020-06-06,0.59982
2020-06-07,1.45672
2020-06-08,2.91345
2020-06-09,4.28449
2020-06-10,3.3419
2020-06-11,3.59897
2020-06-12,2.05655
2020-06-13,0.51413
2020-06-14,1.6281
2020-06-15,2.22793
2020-06-16,4.02742
2020-06-17,4.1988
2020-06-18,1.97086
2020-06-19,4.28449
2020-06-20,1.11396
2020-06-21,0.59982
2020-06-22,2.99914
2020-06-23,3.42759
2020-06-24,4.62724
2020-06-25,3.25621
2020-06-26,1.97086
2020-06-27,3.42759
2020-06-28,1.88517
2020-06-29,2.91345
2020-06-30,2.57069
2020-07-01,1.45672
2020-07-02,1.6281
2020-07-03,3.42759
2020-07-04,0.51413
2020-07-05,1.02827
2020-07-06,2.57069
2020-07-07,2.91345
2020-07-08,2.57069
2020-07-09,2.91345
2020-07-10,2.82776
2020-07-12,0.42844
2020-07-13,2.05655
2020-07-14,3.42759
2020-07-15,2.39931
2020-07-16,2.39931
2020-07-17,4.45586
2020-07-18,0.51413
2020-07-19,1.02827
2020-07-20,2.31362
2020-07-21,2.14224
2020-07-22,2.99914
2020-07-23,3.68466
2020-07-24,1.54241
2020-07-25,1.11396
2020-07-26,1.19965
2020-07-27,2.31362
2020-07-28,2.65638
2020-07-29,2.31362
2020-07-30,2.14224
2020-07-31,2.65638
2020-08-01,0.7712
2020-08-02,0.59982
2020-08-03,1.54241
2020-08-04,1.97086
2020-08-05,1.79948
2020-08-06,2.22793
2020-08-07,1.6281
2020-08-08,0.68551
2020-08-10,2.31362
2020-08-11,2.91345
2020-08-12,2.91345
