date,파킹통장금리
2020-03-23,0.24585
2020-03-25,0.12292
2020-03-26,0.24585
2020-03-27,0.28682
2020-03-28,0.1639
2020-03-30,0.28682
2020-03-31,0.1639
2020-04-01,0.30731
2020-04-02,0.14341
2020-04-03,1.22925
2020-04-04,0.9834
2020-04-05,0.28682
2020-04-06,0.69657
2020-04-07,0.38926
2020-04-08,0.28682
2020-04-09,0.4917
2020-04-10,0.28682
2020-04-11,0.34828
2020-04-12,0.3278
2020-04-13,0.40975
2020-04-14,0.24585
2020-04-15,0.18438
2020-04-16,0.38926
2020-04-17,0.14341
2020-04-19,0.24585
2020-04-20,0.10243
2020-04-21,0.22536
2020-04-22,0.14341
2020-04-23,0.14341
2020-04-24,0.57365
2020-04-25,0.18438
2020-04-26,0.24585
2020-04-27,0.40975
2020-04-28,0.4917
2020-04-29,0.43023
2020-04-30,0.28682
2020-05-01,0.18438
2020-05-02,0.20487
2020-05-03,0.20487
2020-05-04,0.67609
2020-05-05,0.73755
2020-05-06,0.53267
2020-05-07,0.3278
2020-05-08,0.34828
2020-05-09,0.18438
2020-05-11,0.9834
2020-05-12,1.20876
2020-05-13,1.10633
2020-05-14,1.49559
2020-05-15,1.27023
2020-05-16,0.38926
2020-05-17,0.45072
2020-05-18,1.41364
2020-05-19,0.73755
2020-05-20,0.6556
2020-05-21,0.77852
2020-05-22,0.94242
2020-05-23,0.53267
2020-05-24,0.61462
2020-05-25,0.92194
2020-05-26,0.96291
2020-05-27,0.75804
2020-05-28,0.51219
2020-05-29,0.55316
2020-05-30,0.30731
2020-05-31,0.38926
2020-06-01,0.9834
2020-06-02,0.94242
2020-06-03,0.79901
2020-06-04,0.8195
2020-06-05,0.6556
2020-06-06,0.43023
2020-06-07,0.28682
2020-06-08,0.9834
2020-06-09,0.73755
2020-06-10,0.75804
2020-06-11,0.59414
2020-06-12,0.61462
2020-06-13,0.4917
2020-06-14,0.3278
2020-06-15,0.69657
2020-06-16,0.69657
2020-06-17,0.51219
2020-06-18,0.61462
2020-06-19,0.59414
2020-06-20,0.26633
