date,IRP퇴직연금
2020-03-20,15.26283
2020-03-21,8.0725
2020-03-22,7.77039
2020-03-23,14.62235
2020-03-24,15.58912
2020-03-25,16.68882
2020-03-26,15.98791
2020-03-27,14.51359
2020-03-28,7.7583
2020-03-29,7.50453
2020-03-30,15.74622
2020-03-31,16.61631
2020-04-01,14.53776
2020-04-02,13.74018
2020-04-03,12.55589
2020-04-04,6.76737
2020-04-05,8.31419
2020-04-06,13.74018
2020-04-07,14.10271
2020-04-08,13.65558
2020-04-09,12.73716
2020-04-10,12.44712
2020-04-11,7.6858
2020-04-12,7.25075
2020-04-13,14.40483
2020-04-14,13.16012
2020-04-15,7.96374
2020-04-16,13.93353
2020-04-17,12.88217
2020-04-18,6.85196
2020-04-19,7.14199
2020-04-20,13.92145
2020-04-21,14.15105
2020-04-22,13.78851
2020-04-23,13.76435
2020-04-24,13.37764
2020-04-25,6.61027
2020-04-26,7.04531
2020-04-27,15.15407
2020-04-28,13.96978
2020-04-29,100.0
2020-04-30,8.94259
2020-05-01,7.16616
2020-05-02,5.9577
2020-05-03,8.01208
2020-05-04,14.71903
2020-05-05,8.03625
2020-05-06,14.18731
2020-05-07,12.58006
2020-05-08,12.59214
2020-05-09,6.63444
2020-05-10,7.25075
2020-05-11,13.90936
2020-05-12,13.69184
2020-05-13,13.11178
2020-05-14,12.27794
2020-05-15,12.89425
2020-05-16,6.46525
2020-05-17,7.04531
2020-05-18,13.45015
2020-05-19,15.48036
2020-05-20,15.93957
2020-05-21,15.67371
2020-05-22,11.73413
2020-05-23,7.04531
2020-05-24,7.08157
2020-05-25,12.858
2020-05-26,15.8429
2020-05-27,13.96978
2020-05-28,12.83383
2020-05-29,11.80664
2020-05-30,6.1148
2020-05-31,5.72809
2020-06-01,12.43504
2020-06-02,12.74924
2020-06-03,12.95468
2020-06-04,12.10876
2020-06-05,11.72205
2020-06-06,5.60725
2020-06-07,5.72809
2020-06-08,11.86706
2020-06-09,12.13293
2020-06-10,14.17522
2020-06-11,12.50755
2020-06-12,11.72205
2020-06-13,5.8006
2020-06-14,6.09063
2020-06-15,11.95166
2020-06-16,11.85498
2020-06-17,13.22054
2020-06-18,11.90332
2020-06-19,11.87915
2020-06-20,6.61027
2020-06-21,5.49848
2020-06-22,11.86706
2020-06-23,11.95166
2020-06-24,12.18126
2020-06-25,16.858
2020-06-26,12.43504
2020-06-27,5.31722
2020-06-28,5.24471
2020-06-29,12.02416
2020-06-30,12.95468
2020-07-01,11.56495
2020-07-02,11.81873
2020-07-03,10.94864
2020-07-04,5.66767
2020-07-05,5.36555
2020-07-06,13.25679
2020-07-07,13.16012
2020-07-08,12.73716
2020-07-09,12.77341
2020-07-10,11.2145
2020-07-11,5.88519
2020-07-12,6.57401
2020-07-13,12.79758
2020-07-14,13.05135
2020-07-15,13.16012
2020-07-16,11.09365
2020-07-17,11.34743
2020-07-18,6.15105
2020-07-19,6.57401
2020-07-20,11.80664
2020-07-21,13.30513
2020-07-22,13.28096
2020-07-23,13.30513
2020-07-24,12.49546
2020-07-25,6.41691
2020-07-26,8.03625
2020-07-27,13.88519
2020-07-28,13.43806
2020-07-29,13.18429
2020-07-30,12.29003
2020-07-31,13.05135
2020-08-01,7.22658
2020-08-02,6.8157
2020-08-03,12.84592
2020-08-04,14.06646
2020-08-05,14.429
2020-08-06,12.51963
2020-08-07,12.62839
2020-08-08,7.78247
2020-08-09,7.04531
2020-08-10,15.78247
2020-08-11,15.03323
2020-08-12,12.90634
2020-08-13,12.77341
