date,재택알바
2020-03-20,81.90517
2020-03-21,68.33405
2020-03-22,74.72814
2020-03-23,100.0
2020-03-24,89.2127
2020-03-25,84.73249
2020-03-26,82.81861
2020-03-27,73.16224
2020-03-28,52.06611
2020-03-29,54.84993
2020-03-30,83.07959
2020-03-31,89.2127
2020-04-01,82.81861
2020-04-02,81.99217
2020-04-03,71.68334
2020-04-04,58.72118
2020-04-05,67.5946
2020-04-06,95.04132
2020-04-07,78.16441
2020-04-08,82.60113
2020-04-09,69.76946
2020-04-10,67.24662
2020-04-11,46.41148
2020-04-12,54.24097
2020-04-13,69.98695
2020-04-14,66.1157
2020-04-15,50.19573
2020-04-16,64.98477
2020-04-17,55.76337
2020-04-18,40.93083
2020-04-19,47.71639
2020-04-20,68.59504
2020-04-21,66.98564
2020-04-22,60.59156
2020-04-23,58.63418
2020-04-24,52.54458
2020-04-25,38.06002
2020-04-26,39.58242
2020-04-27,61.4615
2020-04-28,51.93562
2020-04-29,45.93301
2020-04-30,33.36233
2020-05-01,35.62418
2020-05-02,28.66463
2020-05-03,30.92648
2020-05-04,40.66985
2020-05-05,37.75554
2020-05-06,51.32666
2020-05-07,41.4963
2020-05-08,40.88734
2020-05-09,32.57938
2020-05-10,35.53719
2020-05-11,51.71813
2020-05-12,48.71683
2020-05-13,49.02131
2020-05-14,49.41278
2020-05-15,41.01783
2020-05-16,29.96955
2020-05-17,34.14528
2020-05-18,51.10917
2020-05-19,44.06263
2020-05-20,41.10482
2020-05-21,39.53892
2020-05-22,37.40756
2020-05-23,25.66333
2020-05-24,31.10047
2020-05-25,44.88908
2020-05-26,47.28142
2020-05-27,46.19399
2020-05-28,42.88821
2020-05-29,34.23227
2020-05-30,24.88038
2020-05-31,27.40321
2020-06-01,47.36842
2020-06-02,42.45324
2020-06-03,42.27925
2020-06-04,36.8856
2020-06-05,29.31709
2020-06-06,24.14093
2020-06-07,28.49064
2020-06-08,38.408
2020-06-09,41.23531
2020-06-10,42.62722
2020-06-11,42.84471
2020-06-12,34.84123
2020-06-13,25.70682
2020-06-14,29.66507
2020-06-15,46.28099
2020-06-16,46.75946
2020-06-17,41.62679
2020-06-18,43.58416
2020-06-19,37.19008
2020-06-20,24.05393
2020-06-21,28.70813
2020-06-22,44.45411
2020-06-23,48.41235
2020-06-24,42.27925
2020-06-25,44.45411
2020-06-26,37.19008
2020-06-27,24.5759
2020-06-28,32.1879
2020-06-29,47.19443
2020-06-30,44.67159
2020-07-01,47.75989
2020-07-02,41.4528
2020-07-03,39.75641
2020-07-04,25.75032
2020-07-05,30.7525
2020-07-06,51.10917
2020-07-07,46.0635
2020-07-08,46.107
2020-07-09,43.75815
2020-07-10,38.79947
2020-07-11,25.18486
2020-07-12,31.62244
2020-07-13,51.32666
2020-07-14,51.28316
2020-07-15,48.23836
2020-07-16,42.32274
2020-07-17,38.23401
2020-07-18,25.18486
2020-07-19,31.49195
2020-07-20,46.71596
2020-07-21,52.37059
2020-07-22,48.06437
2020-07-23,45.54153
2020-07-24,38.27751
2020-07-25,26.0113
2020-07-26,28.22966
2020-07-27,55.63288
2020-07-28,45.84602
2020-07-29,43.49717
2020-07-30,37.79904
2020-07-31,34.53675
2020-08-01,24.92387
2020-08-02,27.6207
2020-08-03,44.97607
2020-08-04,36.45063
2020-08-05,39.32144
2020-08-06,37.01609
2020-08-07,33.62331
2020-08-08,23.31448
2020-08-09,28.18616
2020-08-10,42.40974
2020-08-11,41.97477
2020-08-12,42.23575
2020-08-13,38.321
2020-08-14,28.75163
