date,카드사
2020-11-08,4.09906
2020-11-09,12.46797
2020-11-10,14.17591
2020-11-11,12.04099
2020-11-12,11.01622
2020-11-13,9.82066
2020-11-14,4.69684
2020-11-15,4.35525
2020-11-16,9.39368
2020-11-17,14.26131
2020-11-18,12.46797
2020-11-19,12.80956
2020-11-20,9.73526
2020-11-21,4.61144
2020-11-22,4.61144
2020-11-23,14.17591
2020-11-24,12.38257
2020-11-25,11.18701
2020-11-26,11.44321
2020-11-27,12.12638
2020-11-28,5.38001
2020-11-29,3.33048
2020-11-30,9.73526
2020-12-01,9.22288
2020-12-02,11.87019
2020-12-03,14.6883
2020-12-04,12.12638
2020-12-05,4.44064
2020-12-06,4.78223
2020-12-07,13.40734
2020-12-08,11.18701
2020-12-09,11.95559
2020-12-10,12.89496
2020-12-11,11.35781
2020-12-12,4.35525
2020-12-13,3.84286
2020-12-14,9.64987
2020-12-15,10.58923
2020-12-16,10.93082
2020-12-17,10.24765
2020-12-18,9.64987
2020-12-19,3.75747
2020-12-20,4.52604
2020-12-21,12.46797
2020-12-22,11.95559
2020-12-23,10.93082
2020-12-24,10.24765
2020-12-25,3.67207
2020-12-26,4.69684
2020-12-27,6.31938
2020-12-28,14.34671
2020-12-29,19.12894
2020-12-30,13.49274
2020-12-31,11.95559
2021-01-01,5.55081
2021-01-02,4.26985
2021-01-03,5.89239
2021-01-04,14.00512
2021-01-05,16.56703
2021-01-06,13.91972
2021-01-07,15.37147
2021-01-08,11.35781
2021-01-09,5.55081
2021-01-10,8.02732
2021-01-11,17.16481
2021-01-12,14.6029
2021-01-13,14.94449
2021-01-14,15.11528
2021-01-15,15.88385
2021-01-16,6.91716
2021-01-17,6.23398
2021-01-18,13.32194
2021-01-19,17.76259
2021-01-20,12.98035
2021-01-21,14.94449
2021-01-22,12.21178
2021-01-23,6.14859
2021-01-24,5.89239
2021-01-25,13.23654
2021-01-26,12.72416
2021-01-27,12.46797
2021-01-28,11.35781
2021-01-29,11.95559
2021-01-30,5.20922
2021-01-31,5.6362
2021-02-01,13.91972
2021-02-02,13.57813
2021-02-03,13.15115
2021-02-04,10.76003
2021-02-05,12.38257
2021-02-06,3.50128
2021-02-07,4.78223
2021-02-08,10.58923
2021-02-09,10.84543
2021-02-10,8.28351
2021-02-11,4.26985
2021-02-12,3.07429
2021-02-13,2.98889
2021-02-14,3.92826
2021-02-15,11.5286
2021-02-16,12.46797
2021-02-17,13.74893
2021-02-18,10.07685
2021-02-19,9.47907
2021-02-20,6.06319
2021-02-21,5.7216
2021-02-22,12.21178
2021-02-23,11.78479
2021-02-24,8.19812
2021-02-25,11.01622
2021-02-26,8.36891
2021-02-27,4.86763
2021-02-28,3.67207
2021-03-01,6.23398
2021-03-02,10.33304
2021-03-03,10.07685
2021-03-04,8.5397
2021-03-05,8.7105
2021-03-06,3.67207
2021-03-07,4.61144
2021-03-08,12.12638
2021-03-09,11.614
2021-03-10,10.58923
2021-03-11,11.87019
2021-03-12,9.56447
2021-03-13,3.58667
2021-03-14,4.26985
2021-03-15,10.50384
2021-03-16,12.21178
2021-03-17,10.16225
2021-03-18,11.01622
2021-03-19,8.6251
2021-03-20,3.84286
2021-03-21,4.35525
2021-03-22,10.50384
2021-03-23,11.614
2021-03-24,12.98035
2021-03-25,10.76003
2021-03-26,10.76003
2021-03-27,5.55081
2021-03-28,4.86763
2021-03-29,13.57813
2021-03-30,12.29718
2021-03-31,11.87019
2021-04-01,10.67463
2021-04-02,8.11272
2021-04-03,4.26985
2021-04-04,4.69684
2021-04-05,14.94449
2021-04-06,12.29718
2021-04-07,9.30828
2021-04-08,7.85653
2021-04-09,9.39368
2021-04-10,3.24508
2021-04-11,4.86763
2021-04-12,11.35781
2021-04-13,9.13748
2021-04-14,9.99146
2021-04-15,11.10162
2021-04-16,7.17335
2021-04-17,4.78223
2021-04-18,5.97779
2021-04-19,12.21178
2021-04-20,15.02988
2021-04-21,12.72416
2021-04-22,13.40734
2021-04-23,11.35781
2021-04-24,3.92826
2021-04-25,4.35525
2021-04-26,12.04099
2021-04-27,11.95559
2021-04-28,10.84543
2021-04-29,12.89496
2021-04-30,8.7959
2021-05-01,4.09906
2021-05-02,4.86763
2021-05-03,11.27241
2021-05-04,12.04099
2021-05-05,4.69684
2021-05-06,12.72416
2021-05-07,8.19812
2021-05-08,3.84286
2021-05-09,4.61144
2021-05-10,14.09052
2021-05-11,16.31084
2021-05-12,13.49274
2021-05-13,15.62766
2021-05-14,13.23654
2021-05-15,4.61144
2021-05-16,5.6362
2021-05-17,14.5175
2021-05-18,12.55337
2021-05-19,4.01366
2021-05-20,12.98035
2021-05-21,12.21178
2021-05-22,3.41588
2021-05-23,4.86763
2021-05-24,12.29718
2021-05-25,13.49274
2021-05-26,11.5286
2021-05-27,11.01622
2021-05-28,9.99146
2021-05-29,4.35525
2021-05-30,4.86763
2021-05-31,11.95559
2021-06-01,11.35781
2021-06-02,11.10162
2021-06-03,10.50384
2021-06-04,9.64987
2021-06-05,3.67207
2021-06-06,5.807
2021-06-07,11.44321
2021-06-08,11.95559
2021-06-09,9.56447
2021-06-10,11.78479
2021-06-11,9.99146
2021-06-12,3.84286
2021-06-13,3.15969
2021-06-14,9.22288
2021-06-15,11.78479
2021-06-16,11.95559
2021-06-17,10.41844
2021-06-18,9.30828
2021-06-19,4.01366
2021-06-20,5.03842
2021-06-21,10.50384
2021-06-22,10.07685
2021-06-23,10.93082
2021-06-24,10.07685
2021-06-25,8.88129
2021-06-26,3.33048
2021-06-27,4.09906
2021-06-28,12.04099
2021-06-29,12.63877
2021-06-30,11.87019
2021-07-01,12.21178
2021-07-02,13.06575
2021-07-03,4.86763
2021-07-04,4.18445
2021-07-05,11.44321
2021-07-06,10.84543
2021-07-07,11.10162
2021-07-08,10.41844
2021-07-09,9.82066
2021-07-10,2.98889
2021-07-11,3.84286
2021-07-12,12.80956
2021-07-13,10.16225
2021-07-14,11.27241
2021-07-15,11.35781
2021-07-16,8.7105
2021-07-17,5.03842
2021-07-18,5.03842
2021-07-19,9.90606
2021-07-20,9.64987
2021-07-21,12.46797
2021-07-22,10.58923
2021-07-23,8.36891
2021-07-24,3.41588
2021-07-25,4.86763
2021-07-26,10.76003
2021-07-27,8.6251
2021-07-28,9.99146
2021-07-29,9.05209
2021-07-30,8.96669
2021-07-31,3.24508
2021-08-01,5.46541
2021-08-02,11.27241
2021-08-03,10.33304
2021-08-04,9.39368
2021-08-05,9.47907
2021-08-06,8.02732
2021-08-07,2.9035
2021-08-08,3.07429
2021-08-09,9.56447
2021-08-10,10.84543
2021-08-11,11.27241
2021-08-12,12.21178
2021-08-13,9.13748
2021-08-14,4.18445
2021-08-15,3.50128
2021-08-16,5.6362
2021-08-17,11.01622
2021-08-18,9.73526
2021-08-19,10.93082
2021-08-20,8.02732
2021-08-21,3.58667
2021-08-22,4.26985
2021-08-23,7.42954
2021-08-24,9.39368
2021-08-25,12.21178
