date,TMF주가
2022-02-22,0.21123
2022-03-22,0.63371
2022-03-23,0.38022
2022-03-25,0.21123
2022-04-12,0.21123
2022-04-19,0.29573
2022-07-08,0.25348
2022-07-22,0.29573
2022-08-16,0.38022
2022-08-17,0.25348
2022-08-19,0.25348
2022-08-22,0.29573
2022-08-23,0.21123
2022-08-24,0.38022
2022-08-25,0.33798
2022-08-26,0.38022
2022-08-27,0.33798
2022-08-31,0.21123
2022-09-01,0.29573
2022-09-02,0.29573
2022-09-03,0.21123
2022-09-06,0.29573
2022-09-07,0.67596
2022-09-09,0.25348
2022-09-13,0.29573
2022-09-14,0.25348
2022-09-15,0.25348
2022-09-16,0.21123
2022-09-17,0.21123
2022-09-20,0.33798
2022-09-22,0.67596
2022-09-23,0.88719
2022-09-24,0.46472
2022-09-27,0.25348
2022-09-28,1.47866
2022-09-29,1.22517
2022-09-30,0.84495
2022-10-01,0.38022
2022-10-03,0.38022
2022-10-04,0.63371
2022-10-05,0.46472
2022-10-06,0.25348
2022-10-07,0.46472
2022-10-08,0.84495
2022-10-11,1.01394
2022-10-12,0.63371
2022-10-13,0.76045
2022-10-14,0.84495
2022-10-15,0.67596
2022-10-17,0.59146
2022-10-18,0.92944
2022-10-19,0.46472
2022-10-20,1.56316
2022-10-21,1.09843
2022-10-22,1.14068
2022-10-23,0.25348
2022-10-24,1.05618
2022-10-25,1.6899
2022-10-26,2.23912
2022-10-27,2.11237
2022-10-28,0.8027
2022-10-29,0.67596
2022-10-30,0.21123
2022-10-31,0.84495
2022-11-01,1.14068
2022-11-02,1.6899
2022-11-03,1.98563
2022-11-04,0.8027
2022-11-05,1.39416
2022-11-06,0.54921
2022-11-07,1.14068
2022-11-08,1.52091
2022-11-09,1.64765
2022-11-10,2.28136
2022-11-11,3.92902
2022-11-12,1.52091
2022-11-13,0.54921
2022-11-14,1.30967
2022-11-15,2.23912
2022-11-16,7.35107
2022-11-17,9.4212
2022-11-18,7.52006
2022-11-19,2.36586
2022-11-20,0.92944
2022-11-21,2.32361
2022-11-22,4.39374
2022-11-23,3.76003
2022-11-24,3.71778
2022-11-25,3.92902
2022-11-26,1.77439
2022-11-27,1.39416
2022-11-28,2.78833
2022-11-29,5.40768
2022-11-30,3.50654
2022-12-01,5.32319
2022-12-02,7.60456
2022-12-03,3.80228
2022-12-04,1.18293
2022-12-05,3.25306
2022-12-06,6.46387
2022-12-07,6.46387
2022-12-08,10.68863
2022-12-09,8.74524
2022-12-10,5.99915
2022-12-11,2.07013
2022-12-12,3.63329
2022-12-13,7.39332
2022-12-14,11.40684
2022-12-15,8.23827
2022-12-16,7.94254
2022-12-17,3.54879
2022-12-18,1.22517
2022-12-19,2.83058
2022-12-20,9.04098
2022-12-21,7.09759
2022-12-22,7.47782
2022-12-23,8.19602
2022-12-24,5.1542
2022-12-25,1.35192
2022-12-26,1.22517
2022-12-27,5.57667
2022-12-28,9.80143
