date,3D프린터기
2020-03-20,9.009
2020-03-21,21.62162
2020-03-22,20.72072
2020-03-23,24.32432
2020-03-24,18.91891
2020-03-25,22.52252
2020-03-26,18.01801
2020-03-27,20.72072
2020-03-28,31.53153
2020-03-29,21.62162
2020-03-30,24.32432
2020-03-31,10.81081
2020-04-01,12.61261
2020-04-02,20.72072
2020-04-03,16.21621
2020-04-04,23.42342
2020-04-05,18.01801
2020-04-06,6.3063
2020-04-07,15.31531
2020-04-08,14.41441
2020-04-09,15.31531
2020-04-10,16.21621
2020-04-11,24.32432
2020-04-12,14.41441
2020-04-13,9.9099
2020-04-14,16.21621
2020-04-15,10.81081
2020-04-16,18.91891
2020-04-17,16.21621
2020-04-18,18.01801
2020-04-19,16.21621
2020-04-20,21.62162
2020-04-21,34.23423
2020-04-22,21.62162
2020-04-23,27.02702
2020-04-24,15.31531
2020-04-25,9.009
2020-04-26,15.31531
2020-04-27,16.21621
2020-04-28,22.52252
2020-04-29,25.22522
2020-04-30,9.009
2020-05-01,10.81081
2020-05-02,8.1081
2020-05-03,12.61261
2020-05-04,20.72072
2020-05-05,14.41441
2020-05-06,17.11711
2020-05-07,23.42342
2020-05-08,15.31531
2020-05-09,14.41441
2020-05-10,14.41441
2020-05-11,20.72072
2020-05-12,36.03603
2020-05-13,27.92792
2020-05-14,20.72072
2020-05-15,29.72972
2020-05-16,17.11711
2020-05-17,12.61261
2020-05-18,21.62162
2020-05-19,20.72072
2020-05-20,16.21621
2020-05-21,23.42342
2020-05-22,11.71171
2020-05-23,7.2072
2020-05-24,9.9099
2020-05-25,11.71171
2020-05-26,21.62162
2020-05-27,20.72072
2020-05-28,14.41441
2020-05-29,23.42342
2020-05-30,20.72072
2020-05-31,17.11711
2020-06-01,19.81981
2020-06-02,18.01801
2020-06-03,18.01801
2020-06-04,20.72072
2020-06-05,9.9099
2020-06-06,8.1081
2020-06-07,8.1081
2020-06-08,21.62162
2020-06-09,18.91891
2020-06-10,16.21621
2020-06-11,13.51351
2020-06-12,9.9099
2020-06-13,14.41441
2020-06-14,11.71171
2020-06-15,17.11711
2020-06-16,17.11711
2020-06-17,16.21621
2020-06-18,25.22522
2020-06-19,6.3063
2020-06-20,5.4054
2020-06-21,5.4054
2020-06-22,14.41441
2020-06-23,16.21621
2020-06-24,19.81981
2020-06-25,15.31531
2020-06-26,12.61261
2020-06-27,5.4054
2020-06-28,6.3063
