date,홍콩달러
2020-03-20,50.78659
2020-03-21,19.98974
2020-03-22,17.15116
2020-03-23,43.05745
2020-03-24,36.4569
2020-03-25,33.01983
2020-03-26,34.37072
2020-03-27,29.29206
2020-03-28,16.10807
2020-03-29,14.51778
2020-03-30,29.15526
2020-03-31,26.33378
2020-04-01,27.41108
2020-04-02,27.54787
2020-04-03,24.658
2020-04-04,14.14158
2020-04-05,13.61149
2020-04-06,24.5725
2020-04-07,28.55677
2020-04-08,24.2989
2020-04-09,23.8201
2020-04-10,19.87004
2020-04-11,15.03077
2020-04-12,14.43228
2020-04-13,19.68194
2020-04-14,23.9398
2020-04-15,16.45006
2020-04-16,24.2818
2020-04-17,23.34131
2020-04-18,13.44049
2020-04-19,14.20998
2020-04-20,22.93091
2020-04-21,26.23119
2020-04-22,24.8803
2020-04-23,22.93091
2020-04-24,21.93912
2020-04-25,13.83378
2020-04-26,12.5
2020-04-27,25.11969
2020-04-28,21.76812
2020-04-29,20.55403
2020-04-30,14.58618
2020-05-01,13.08139
2020-05-02,10.53351
2020-05-03,13.50889
2020-05-04,19.35704
2020-05-05,16.39876
2020-05-06,22.09302
2020-05-07,18.50205
2020-05-08,16.75786
2020-05-09,11.08071
2020-05-10,11.6279
2020-05-11,19.80164
2020-05-12,20.28043
2020-05-13,18.80984
2020-05-14,18.63885
2020-05-15,17.93775
2020-05-16,10.89261
2020-05-17,11.2859
2020-05-18,18.86114
2020-05-19,21.63132
2020-05-20,19.51094
2020-05-21,19.97264
2020-05-22,22.43502
2020-05-23,14.62038
2020-05-24,14.84268
2020-05-25,29.18946
2020-05-26,27.51367
2020-05-27,24.7606
2020-05-28,38.95348
2020-05-29,42.23666
2020-05-30,47.28112
2020-05-31,25.73529
2020-06-01,56.10465
2020-06-02,36.4227
2020-06-03,33.48153
2020-06-04,30.19835
2020-06-05,26.24829
2020-06-06,14.84268
2020-06-07,15.06497
2020-06-08,28.28317
2020-06-09,30.16415
2020-06-10,29.51436
2020-06-11,28.60807
2020-06-12,26.59028
2020-06-13,13.45759
2020-06-14,15.74897
2020-06-15,27.75307
2020-06-16,21.99042
2020-06-17,23.03351
2020-06-18,25.22229
2020-06-19,21.63132
2020-06-20,12.53419
2020-06-21,13.03009
2020-06-22,23.20451
2020-06-23,23.52941
2020-06-24,23.66621
2020-06-25,20.74213
2020-06-26,20.79343
2020-06-27,12.58549
2020-06-28,13.03009
2020-06-29,20.65663
2020-06-30,35.27701
2020-07-01,27.94117
2020-07-02,30.09575
2020-07-03,25.27359
2020-07-04,13.50889
2020-07-05,13.40629
2020-07-06,29.53146
2020-07-07,26.94938
2020-07-08,28.43707
2020-07-09,36.3885
2020-07-10,25.78659
2020-07-11,13.61149
2020-07-12,13.86798
2020-07-13,29.03556
2020-07-14,29.17236
2020-07-15,34.25102
2020-07-16,30.66005
2020-07-17,25.41039
2020-07-18,13.59439
2020-07-19,12.3803
2020-07-20,24.7093
2020-07-21,26.93228
2020-07-22,22.79411
2020-07-23,25.15389
2020-07-24,20.63953
2020-07-25,13.86798
2020-07-26,12.56839
2020-07-27,23.10191
2020-07-28,22.69151
2020-07-29,23.42681
2020-07-30,21.54582
2020-07-31,21.46032
2020-08-01,11.5766
