date,외환은행환율조회
2020-03-20,100.0
2020-03-21,15.07569
2020-03-22,10.34262
2020-03-23,88.87649
2020-03-24,72.79681
2020-03-25,65.97609
2020-03-26,62.74103
2020-03-27,59.36254
2020-03-28,11.53784
2020-03-29,8.38247
2020-03-30,60.06374
2020-03-31,53.08366
2020-04-01,51.93625
2020-04-02,53.21115
2020-04-03,47.53784
2020-04-04,9.35458
2020-04-05,5.88047
2020-04-06,44.06374
2020-04-07,45.89641
2020-04-08,43.02788
2020-04-09,41.59362
2020-04-10,38.34262
2020-04-11,7.13944
2020-04-12,4.97211
2020-04-13,41.21115
2020-04-14,37.78486
2020-04-15,9.97609
2020-04-16,43.37848
2020-04-17,34.85258
2020-04-18,7.39442
2020-04-19,4.68525
2020-04-20,38.5976
2020-04-21,51.34661
2020-04-22,42.18326
2020-04-23,38.82071
2020-04-24,35.25099
2020-04-25,8.35059
2020-04-26,4.90836
2020-04-27,40.97211
2020-04-28,36.63745
2020-04-29,35.37848
2020-04-30,8.82868
2020-05-01,9.51394
2020-05-02,5.40239
2020-05-03,5.2749
2020-05-04,33.48207
2020-05-05,8.38247
2020-05-06,34.91633
2020-05-07,30.34262
2020-05-08,28.89243
2020-05-09,5.59362
2020-05-10,3.42629
2020-05-11,32.14342
2020-05-12,29.2749
2020-05-13,27.26693
2020-05-14,29.17928
2020-05-15,26.26294
2020-05-16,5.86454
2020-05-17,4.33466
2020-05-18,30.11952
2020-05-19,29.13147
2020-05-20,30.91633
2020-05-21,29.17928
2020-05-22,29.08366
2020-05-23,6.23107
2020-05-24,4.98804
2020-05-25,35.93625
2020-05-26,31.49003
2020-05-27,30.13545
2020-05-28,34.16733
2020-05-29,31.8725
2020-05-30,6.40637
2020-05-31,4.06374
2020-06-01,34.7729
2020-06-02,32.50996
2020-06-03,34.34262
2020-06-04,34.64541
2020-06-05,31.72908
2020-06-06,5.81673
2020-06-07,4.25498
2020-06-08,34.83665
2020-06-09,34.99601
2020-06-10,35.23505
2020-06-11,36.55776
2020-06-12,34.21513
2020-06-13,5.6733
2020-06-14,4.2231
2020-06-15,37.41832
2020-06-16,36.52589
2020-06-17,35.34661
2020-06-18,32.68525
2020-06-19,28.15936
2020-06-20,5.06772
2020-06-21,3.1235
2020-06-22,31.90438
2020-06-23,29.86454
2020-06-24,29.8486
2020-06-25,28.63745
2020-06-26,26.90039
2020-06-27,5.41832
2020-06-28,4.09561
2020-06-29,31.76095
2020-06-30,34.21513
2020-07-01,29.72111
2020-07-02,27.34661
2020-07-03,27.44223
2020-07-04,4.63745
2020-07-05,3.33067
2020-07-06,25.59362
2020-07-07,26.11952
2020-07-08,26.93227
2020-07-09,25.24302
2020-07-10,26.90039
2020-07-11,3.96812
2020-07-12,3.23505
2020-07-13,25.25896
2020-07-14,25.65737
2020-07-15,27.76095
2020-07-16,26.72509
2020-07-17,24.36653
2020-07-18,4.55776
2020-07-19,3.85657
2020-07-20,26.61354
2020-07-21,25.16334
2020-07-22,27.44223
2020-07-23,27.92031
2020-07-24,27.98406
2020-07-25,5.38645
2020-07-26,3.39442
2020-07-27,29.78486
2020-07-28,30.39043
2020-07-29,28.68525
2020-07-30,29.73705
2020-07-31,28.55776
2020-08-01,5.94422
2020-08-02,3.8247
2020-08-03,26.96414
2020-08-04,24.71713
2020-08-05,24.98804
2020-08-06,26.23107
2020-08-07,24.47808
2020-08-08,5.48207
2020-08-09,4.38247
2020-08-10,28.20717
2020-08-11,24.0
2020-08-12,23.04382
2020-08-13,22.61354
2020-08-14,22.00796
2020-08-15,4.07968
2020-08-16,3.23505
2020-08-17,8.9243
2020-08-18,24.98804
2020-08-19,24.52589
2020-08-20,27.39442
2020-08-21,25.19521
2020-08-22,4.86055
2020-08-23,3.36254
2020-08-24,25.60956
2020-08-25,23.80876
2020-08-26,22.99601
2020-08-27,21.76892
2020-08-28,22.78884
2020-08-29,4.89243
2020-08-30,2.86852
2020-08-31,24.33466
2020-09-01,25.99203
2020-09-02,22.48605
2020-09-03,23.1235
2020-09-04,23.09163
2020-09-05,4.82868
2020-09-06,3.02788
2020-09-07,21.59362
2020-09-08,22.03984
2020-09-09,25.17928
2020-09-10,24.27091
2020-09-11,21.25896
2020-09-12,3.71314
2020-09-13,2.35856
2020-09-14,22.1992
2020-09-15,22.69322
2020-09-16,21.80079
2020-09-17,24.58964
2020-09-18,26.80478
2020-09-19,5.40239
2020-09-20,3.63346
2020-09-21,28.76494
2020-09-22,27.80876
2020-09-23,26.47011
2020-09-24,29.29083
2020-09-25,27.49003
2020-09-26,4.84462
2020-09-27,4.35059
2020-09-28,28.0478
2020-09-29,21.03585
2020-09-30,5.3227
2020-10-01,4.43027
2020-10-02,3.76095
2020-10-03,2.82071
2020-10-04,2.91633
2020-10-05,25.35458
2020-10-06,25.48207
2020-10-07,22.53386
2020-10-08,23.49003
2020-10-09,6.9482
2020-10-10,4.14342
2020-10-11,3.4741
2020-10-12,27.56972
2020-10-13,26.03984
2020-10-14,26.23107
2020-10-15,24.38247
2020-10-16,23.39442
2020-10-17,4.17529
2020-10-18,3.23505
2020-10-19,25.68924
2020-10-20,25.86454
2020-10-21,25.91235
2020-10-22,26.27888
2020-10-23,23.42629
2020-10-24,5.43426
2020-10-25,3.34661
2020-10-26,28.9243
2020-10-27,27.28286
2020-10-28,28.82868
2020-10-29,29.54581
2020-10-30,32.11155
2020-10-31,5.76892
2020-11-01,4.36653
2020-11-02,30.53386
2020-11-03,26.15139
2020-11-04,31.1235
2020-11-05,32.82868
2020-11-06,29.45019
2020-11-07,5.33864
2020-11-08,4.17529
2020-11-09,32.09561
2020-11-10,33.21115
2020-11-11,29.22709
2020-11-12,27.39442
2020-11-13,26.42231
2020-11-14,5.54581
2020-11-15,4.38247
2020-11-16,31.66533
2020-11-17,28.749
2020-11-18,28.71713
2020-11-19,32.35059
2020-11-20,26.34262
2020-11-21,5.99203
2020-11-22,4.09561
2020-11-23,28.19123
2020-11-24,26.58167
2020-11-25,26.53386
2020-11-26,28.30278
2020-11-27,25.06772
2020-11-28,5.73705
2020-11-29,4.01593
2020-11-30,29.0996
2020-12-01,27.50597
2020-12-02,26.45418
2020-12-03,30.34262
2020-12-04,33.60956
2020-12-05,6.23107
2020-12-06,4.43027
2020-12-07,31.77689
2020-12-08,31.23505
