date,ELF
2020-03-20,84.51443
2020-03-21,55.90551
2020-03-22,54.85564
2020-03-23,85.03937
2020-03-24,86.48293
2020-03-25,74.67191
2020-03-26,70.60367
2020-03-27,62.33595
2020-03-28,37.9265
2020-03-29,38.71391
2020-03-30,68.11023
2020-03-31,66.01049
2020-04-01,61.54855
2020-04-02,69.9475
2020-04-03,49.08136
2020-04-04,32.15223
2020-04-05,35.69553
2020-04-06,62.86089
2020-04-07,63.91076
2020-04-08,55.77427
2020-04-09,52.3622
2020-04-10,57.61154
2020-04-11,39.37007
2020-04-12,36.3517
2020-04-13,63.51706
2020-04-14,55.64304
2020-04-15,37.00787
2020-04-16,48.29396
2020-04-17,53.01837
2020-04-18,34.64566
2020-04-19,35.5643
2020-04-20,50.0
2020-04-21,57.74278
2020-04-22,58.39895
2020-04-23,50.91863
2020-04-24,46.85039
2020-04-25,32.67716
2020-04-26,31.88976
2020-04-27,53.01837
2020-04-28,58.66141
2020-04-29,47.76902
2020-04-30,33.07086
2020-05-01,31.10236
2020-05-02,25.06561
2020-05-03,24.01574
2020-05-04,41.99475
2020-05-05,32.67716
2020-05-06,46.45669
2020-05-07,43.04461
2020-05-08,40.94488
2020-05-09,31.23359
2020-05-10,31.75853
2020-05-11,54.46194
2020-05-12,45.80052
2020-05-13,50.3937
2020-05-14,50.91863
2020-05-15,46.71916
2020-05-16,36.48293
2020-05-17,31.10236
2020-05-18,50.0
2020-05-19,53.5433
2020-05-20,44.88188
2020-05-21,43.04461
2020-05-22,39.63254
2020-05-23,30.97112
2020-05-24,33.85826
2020-05-25,52.7559
2020-05-26,54.85564
2020-05-27,39.89501
2020-05-28,45.01312
2020-05-29,46.06299
2020-05-30,27.55905
2020-05-31,27.29658
2020-06-01,41.07611
2020-06-02,50.52493
2020-06-03,48.16272
2020-06-04,45.01312
2020-06-05,42.25721
2020-06-06,32.80839
2020-06-07,29.52755
2020-06-08,50.3937
2020-06-09,49.08136
2020-06-10,53.28083
2020-06-11,51.31233
2020-06-12,45.53805
2020-06-13,32.93963
2020-06-14,30.44619
2020-06-15,42.38845
2020-06-16,40.55118
