date,스마트스토어창업
2020-03-20,4.09663
2020-03-21,3.36134
2020-03-22,4.09663
2020-03-23,5.88235
2020-03-24,4.62184
2020-03-25,6.19747
2020-03-26,4.5168
2020-03-27,3.99159
2020-03-28,3.88655
2020-03-29,3.67647
2020-03-30,6.5126
2020-03-31,6.61764
2020-04-01,5.88235
2020-04-02,6.5126
2020-04-03,5.04201
2020-04-04,4.62184
2020-04-05,5.2521
2020-04-06,6.5126
2020-04-07,7.35294
2020-04-08,7.45798
2020-04-09,3.99159
2020-04-10,4.83193
2020-04-11,3.57142
2020-04-12,7.03781
2020-04-13,9.24369
2020-04-14,7.14285
2020-04-15,5.04201
2020-04-16,8.08823
2020-04-17,4.62184
2020-04-18,4.93697
2020-04-19,4.83193
2020-04-20,7.14285
2020-04-21,7.98319
2020-04-22,6.40756
2020-04-23,5.88235
2020-04-24,6.5126
2020-04-25,2.41596
2020-04-26,5.35714
2020-04-27,7.7731
2020-04-28,6.82773
2020-04-29,5.35714
2020-04-30,4.62184
2020-05-01,4.83193
2020-05-02,4.62184
2020-05-03,3.46638
2020-05-04,6.30252
2020-05-05,4.62184
2020-05-06,7.45798
2020-05-07,5.2521
2020-05-08,4.5168
2020-05-09,3.2563
2020-05-10,3.04621
2020-05-11,5.56722
2020-05-12,5.67226
2020-05-13,4.30672
2020-05-14,4.09663
2020-05-15,5.46218
2020-05-16,2.20588
2020-05-17,2.62605
2020-05-18,6.40756
2020-05-19,4.72689
2020-05-20,4.72689
2020-05-21,6.61764
2020-05-22,3.99159
2020-05-23,2.73109
2020-05-24,3.15126
2020-05-25,5.46218
2020-05-26,4.93697
2020-05-27,5.67226
2020-05-28,4.09663
2020-05-29,4.62184
2020-05-30,2.94117
2020-05-31,3.2563
2020-06-01,3.99159
2020-06-02,4.09663
2020-06-03,5.77731
2020-06-04,7.98319
2020-06-05,5.35714
2020-06-06,3.04621
2020-06-07,4.30672
2020-06-08,5.88235
2020-06-09,6.40756
2020-06-10,4.62184
2020-06-11,5.46218
2020-06-12,4.72689
2020-06-13,1.57563
2020-06-14,4.20168
2020-06-15,8.92857
2020-06-16,4.5168
2020-06-17,6.19747
2020-06-18,6.72268
2020-06-19,2.62605
2020-06-20,2.31092
2020-06-21,2.83613
2020-06-22,5.77731
2020-06-23,5.67226
2020-06-24,5.35714
2020-06-25,4.5168
2020-06-26,3.78151
2020-06-27,4.20168
2020-06-28,3.88655
2020-06-29,5.04201
2020-06-30,6.09243
2020-07-01,5.2521
2020-07-02,6.82773
2020-07-03,4.83193
2020-07-04,2.83613
2020-07-05,3.15126
2020-07-06,5.2521
2020-07-07,6.93277
2020-07-08,5.77731
2020-07-09,3.88655
2020-07-10,5.67226
2020-07-11,4.93697
