date,한정승인
2020-03-20,16.14946
2020-03-21,7.9164
2020-03-22,8.61304
2020-03-23,18.74604
2020-03-24,20.8993
2020-03-25,18.42938
2020-03-26,19.886
2020-03-27,16.21279
2020-03-28,8.67637
2020-03-29,8.10639
2020-03-30,19.63267
2020-03-31,19.56934
2020-04-01,19.31602
2020-04-02,16.65611
2020-04-03,19.18936
2020-04-04,8.35972
2020-04-05,6.7131
2020-04-06,23.7492
2020-04-07,18.30272
2020-04-08,18.30272
2020-04-09,20.45598
2020-04-10,18.17606
2020-04-11,6.39645
2020-04-12,7.09309
2020-04-13,18.74604
2020-04-14,16.78277
2020-04-15,8.23305
2020-04-16,16.21279
2020-04-17,16.27612
2020-04-18,8.16972
2020-04-19,6.77644
2020-04-20,20.83597
2020-04-21,17.66941
2020-04-22,20.77264
2020-04-23,22.03926
2020-04-24,15.57948
2020-04-25,6.83977
2020-04-26,9.11969
2020-04-27,21.02596
2020-04-28,17.47941
2020-04-29,17.54274
2020-04-30,9.37302
2020-05-01,10.00633
2020-05-02,6.33312
2020-05-03,7.85307
2020-05-04,15.57948
2020-05-05,7.7264
2020-05-06,21.02596
2020-05-07,20.20265
2020-05-08,17.16276
2020-05-09,9.05636
2020-05-10,9.18302
2020-05-11,22.22925
2020-05-12,20.07599
2020-05-13,19.75934
2020-05-14,19.69601
2020-05-15,16.78277
2020-05-16,8.9297
2020-05-17,7.09309
2020-05-18,21.02596
2020-05-19,19.63267
2020-05-20,18.04939
2020-05-21,17.73274
2020-05-22,14.50284
2020-05-23,7.47308
2020-05-24,7.53641
2020-05-25,16.59278
2020-05-26,20.26599
2020-05-27,18.04939
2020-05-28,16.78277
2020-05-29,12.9829
2020-05-30,6.64977
2020-05-31,7.02976
2020-06-01,26.66244
2020-06-02,18.74604
2020-06-03,18.36605
2020-06-04,15.45281
2020-06-05,14.24952
2020-06-06,8.04306
2020-06-07,9.49968
2020-06-08,18.23939
2020-06-09,21.53261
2020-06-10,15.13616
2020-06-11,15.07283
2020-06-12,14.88283
2020-06-13,8.04306
2020-06-14,8.10639
2020-06-15,16.78277
2020-06-16,19.56934
2020-06-17,16.52944
2020-06-18,16.21279
2020-06-19,15.13616
2020-06-20,8.16972
2020-06-21,7.78974
2020-06-22,19.37935
2020-06-23,30.20899
2020-06-24,19.50601
2020-06-25,18.11272
2020-06-26,17.54274
2020-06-27,8.61304
2020-06-28,8.86637
2020-06-29,18.55604
2020-06-30,17.66941
2020-07-01,16.90943
2020-07-02,17.98606
2020-07-03,14.94616
2020-07-04,8.10639
2020-07-05,7.53641
2020-07-06,16.08613
2020-07-07,18.74604
2020-07-08,15.89613
2020-07-09,16.27612
2020-07-10,18.23939
2020-07-11,9.30968
2020-07-12,7.53641
2020-07-13,20.07599
2020-07-14,17.54274
2020-07-15,17.79607
2020-07-16,16.78277
2020-07-17,22.48258
2020-07-18,10.25965
2020-07-19,7.59974
2020-07-20,22.9259
2020-07-21,18.49271
2020-07-22,19.56934
2020-07-23,14.05953
2020-07-24,16.52944
2020-07-25,7.97973
2020-07-26,7.9164
2020-07-27,15.89613
2020-07-28,19.12602
2020-07-29,18.93603
2020-07-30,17.47941
2020-07-31,15.95946
2020-08-01,8.61304
2020-08-02,5.31982
2020-08-03,18.04939
2020-08-04,18.68271
2020-08-05,15.13616
2020-08-06,16.90943
2020-08-07,13.29955
2020-08-08,10.38632
2020-08-09,7.59974
2020-08-10,16.33945
2020-08-11,16.40278
2020-08-12,16.71944
2020-08-13,16.08613
2020-08-14,14.88283
2020-08-15,8.04306
2020-08-16,8.54971
2020-08-17,8.80303
2020-08-18,16.52944
2020-08-19,15.64281
2020-08-20,14.88283
2020-08-21,15.51614
2020-08-22,6.7131
2020-08-23,7.40975
2020-08-24,19.94933
2020-08-25,16.46611
2020-08-26,16.21279
2020-08-27,15.70614
2020-08-28,13.61621
2020-08-29,8.10639
2020-08-30,6.45978
2020-08-31,18.8727
2020-09-01,17.92273
2020-09-02,17.60607
2020-09-03,15.51614
2020-09-04,16.02279
2020-09-05,8.35972
2020-09-06,6.9031
2020-09-07,19.82267
2020-09-08,18.55604
2020-09-09,17.28942
2020-09-10,17.60607
2020-09-11,16.78277
2020-09-12,5.95313
2020-09-13,4.62317
2020-09-14,15.8328
2020-09-15,17.47941
2020-09-16,23.30588
2020-09-17,20.07599
2020-09-18,16.21279
2020-09-19,7.34642
2020-09-20,7.15642
2020-09-21,20.51931
2020-09-22,18.42938
2020-09-23,13.48955
2020-09-24,20.83597
2020-09-25,12.85623
2020-09-26,6.45978
2020-09-27,8.9297
2020-09-28,16.90943
2020-09-29,15.00949
2020-09-30,7.40975
2020-10-01,7.85307
2020-10-02,5.50981
2020-10-03,6.77644
2020-10-04,9.943
2020-10-05,18.61937
2020-10-06,17.79607
2020-10-07,17.35275
2020-10-08,16.14946
2020-10-09,9.753
2020-10-10,8.61304
2020-10-11,8.42305
2020-10-12,54.7815
2020-10-13,79.79734
2020-10-14,26.34578
2020-10-15,22.86257
2020-10-16,24.57251
2020-10-17,14.43951
2020-10-18,14.37618
2020-10-19,53.89487
2020-10-20,33.94553
2020-10-21,41.35528
2020-10-22,35.7188
2020-10-23,23.68587
2020-10-24,10.25965
2020-10-25,9.68967
2020-10-26,21.46928
2020-10-27,19.44268
2020-10-28,21.65927
2020-10-29,18.17606
2020-10-30,39.962
2020-10-31,11.01963
2020-11-01,8.42305
2020-11-02,22.48258
2020-11-03,18.74604
2020-11-04,17.22609
2020-11-05,20.8993
2020-11-06,13.04623
2020-11-07,8.16972
2020-11-08,8.16972
2020-11-09,20.45598
2020-11-10,14.50284
2020-11-11,20.58264
2020-11-12,21.59594
