date,자동차보험견적비교사이트
2020-03-20,17.72486
2020-03-21,9.5238
2020-03-22,7.9365
2020-03-23,23.54497
2020-03-24,24.60317
2020-03-25,18.25396
2020-03-26,16.40211
2020-03-27,15.60846
2020-03-28,8.20105
2020-03-29,9.5238
2020-03-30,19.04761
2020-03-31,19.31216
2020-04-01,24.33862
2020-04-02,23.01587
2020-04-03,24.33862
2020-04-04,9.5238
2020-04-05,8.73015
2020-04-06,21.95767
2020-04-07,22.48677
2020-04-08,17.19576
2020-04-09,21.42857
2020-04-10,17.98941
2020-04-11,11.90476
2020-04-12,11.90476
2020-04-13,24.86772
2020-04-14,22.22222
2020-04-15,13.22751
2020-04-16,15.34391
2020-04-17,24.33862
2020-04-18,10.05291
2020-04-19,11.11111
2020-04-20,23.01587
2020-04-21,23.80952
2020-04-22,21.16402
2020-04-23,26.98412
2020-04-24,16.93121
2020-04-25,13.22751
2020-04-26,8.4656
2020-04-27,24.07407
2020-04-28,26.98412
2020-04-29,19.84126
2020-04-30,12.43386
2020-05-01,14.81481
2020-05-02,8.73015
2020-05-03,12.96296
2020-05-04,23.28042
2020-05-05,14.28571
2020-05-06,31.48148
2020-05-07,27.24867
2020-05-08,13.22751
2020-05-09,11.11111
2020-05-10,11.64021
2020-05-11,22.75132
2020-05-12,23.28042
2020-05-13,26.45502
2020-05-14,26.19047
2020-05-15,22.75132
2020-05-16,8.9947
2020-05-17,14.02116
2020-05-18,26.98412
2020-05-19,24.60317
2020-05-20,20.89947
2020-05-21,18.51851
2020-05-22,19.57671
2020-05-23,7.14285
2020-05-24,9.5238
2020-05-25,17.46031
2020-05-26,17.72486
2020-05-27,15.87301
2020-05-28,17.98941
2020-05-29,13.49206
2020-05-30,9.5238
2020-05-31,8.73015
2020-06-01,23.01587
2020-06-02,16.13756
2020-06-03,17.46031
2020-06-04,19.04761
2020-06-05,16.66666
2020-06-06,8.4656
2020-06-07,6.61375
2020-06-08,17.72486
2020-06-09,22.22222
2020-06-10,17.19576
2020-06-11,24.60317
2020-06-12,16.13756
2020-06-13,11.64021
2020-06-14,6.61375
2020-06-15,28.30687
2020-06-16,21.16402
2020-06-17,17.72486
2020-06-18,12.16931
2020-06-19,20.10582
2020-06-20,8.9947
2020-06-21,8.20105
2020-06-22,28.83597
2020-06-23,20.37037
2020-06-24,19.84126
2020-06-25,20.37037
2020-06-26,15.34391
2020-06-27,6.3492
2020-06-28,8.4656
2020-06-29,21.16402
2020-06-30,17.98941
2020-07-01,10.84656
2020-07-02,14.02116
2020-07-03,15.34391
2020-07-04,8.9947
2020-07-05,6.08465
2020-07-06,22.22222
2020-07-07,20.37037
2020-07-08,24.07407
2020-07-09,17.98941
2020-07-10,16.40211
2020-07-11,10.84656
2020-07-12,8.4656
2020-07-13,23.01587
2020-07-14,19.57671
2020-07-15,25.39682
2020-07-16,14.55026
2020-07-17,17.72486
2020-07-18,7.67195
2020-07-19,9.25925
2020-07-20,26.71957
2020-07-21,19.84126
2020-07-22,17.72486
2020-07-23,18.25396
2020-07-24,22.22222
2020-07-25,6.8783
2020-07-26,7.67195
2020-07-27,20.89947
2020-07-28,20.63492
2020-07-29,18.78306
2020-07-30,17.46031
2020-07-31,13.49206
2020-08-01,9.5238
2020-08-02,6.61375
