date,60대실비보험
2020-03-20,30.11363
2020-03-21,19.88636
2020-03-22,21.02272
2020-03-23,36.93181
2020-03-24,34.0909
2020-03-25,46.02272
2020-03-26,36.93181
2020-03-27,52.8409
2020-03-28,18.18181
2020-03-29,17.61363
2020-03-30,32.95454
2020-03-31,40.90909
2020-04-01,19.88636
2020-04-02,32.38636
2020-04-03,29.54545
2020-04-04,18.75
2020-04-05,22.72727
2020-04-06,26.70454
2020-04-07,39.77272
2020-04-08,46.02272
2020-04-09,28.40909
2020-04-10,41.47727
2020-04-11,21.5909
2020-04-12,11.36363
2020-04-13,41.47727
2020-04-14,24.43181
2020-04-15,19.88636
2020-04-16,34.65909
2020-04-17,35.22727
2020-04-18,31.25
2020-04-19,11.36363
2020-04-20,40.90909
2020-04-21,36.93181
2020-04-22,42.04545
2020-04-23,33.52272
2020-04-24,23.29545
2020-04-25,27.8409
2020-04-26,23.29545
2020-04-27,27.8409
2020-04-28,39.20454
2020-04-29,32.95454
2020-04-30,24.43181
2020-05-01,26.13636
2020-05-02,18.75
2020-05-03,23.29545
2020-05-04,35.22727
2020-05-05,24.43181
2020-05-06,39.77272
2020-05-07,40.3409
2020-05-08,42.04545
2020-05-09,35.22727
2020-05-10,21.02272
2020-05-11,30.68181
2020-05-12,43.75
2020-05-13,34.0909
2020-05-14,40.90909
2020-05-15,43.18181
2020-05-16,25.0
2020-05-17,15.90909
2020-05-18,36.93181
2020-05-19,48.86363
2020-05-20,39.77272
2020-05-21,52.8409
2020-05-22,35.22727
2020-05-23,21.02272
2020-05-24,25.0
2020-05-25,40.90909
2020-05-26,42.61363
2020-05-27,44.31818
2020-05-28,38.06818
2020-05-29,26.13636
2020-05-30,31.25
2020-05-31,21.5909
2020-06-01,46.02272
2020-06-02,39.77272
2020-06-03,46.02272
2020-06-04,35.79545
2020-06-05,31.25
2020-06-06,21.02272
2020-06-07,20.45454
2020-06-08,27.8409
2020-06-09,41.47727
2020-06-10,44.88636
2020-06-11,36.36363
2020-06-12,28.97727
2020-06-13,22.72727
2020-06-14,26.13636
2020-06-15,48.86363
2020-06-16,38.06818
2020-06-17,29.54545
2020-06-18,34.0909
2020-06-19,32.38636
2020-06-20,30.11363
2020-06-21,14.77272
