date,암호화폐거래소
2020-03-20,7.97653
2020-03-21,3.81231
2020-03-22,3.69501
2020-03-23,4.57478
2020-03-24,5.68914
2020-03-25,12.08211
2020-03-26,8.6217
2020-03-27,8.38709
2020-03-28,7.15542
2020-03-29,7.21407
2020-03-30,7.62463
2020-03-31,7.39002
2020-04-01,5.21994
2020-04-02,6.74486
2020-04-03,5.8651
2020-04-04,3.81231
2020-04-05,3.92961
2020-04-06,7.85923
2020-04-07,7.50733
2020-04-08,5.92375
2020-04-09,5.10263
2020-04-10,5.21994
2020-04-11,3.69501
2020-04-12,4.04692
2020-04-13,7.21407
2020-04-14,6.217
2020-04-15,4.34017
2020-04-16,3.40175
2020-04-17,4.10557
2020-04-18,4.63343
2020-04-19,4.04692
2020-04-20,5.33724
2020-04-21,5.27859
2020-04-22,4.16422
2020-04-23,3.75366
2020-04-24,5.9824
2020-04-25,4.69208
2020-04-26,3.40175
2020-04-27,6.92082
2020-04-28,5.63049
2020-04-29,5.51319
2020-04-30,4.75073
2020-05-01,4.39882
2020-05-02,3.46041
2020-05-03,4.16422
2020-05-04,4.45747
2020-05-05,3.92961
2020-05-06,4.22287
2020-05-07,4.63343
2020-05-08,4.28152
2020-05-09,3.63636
2020-05-10,2.63929
2020-05-11,3.69501
2020-05-12,5.57184
2020-05-13,4.39882
2020-05-14,4.80938
2020-05-15,4.51612
2020-05-16,2.05278
2020-05-17,2.69794
2020-05-18,4.80938
2020-05-19,5.80645
2020-05-20,6.15835
2020-05-21,4.98533
2020-05-22,3.75366
2020-05-23,2.63929
2020-05-24,2.75659
2020-05-25,3.87096
2020-05-26,4.22287
2020-05-27,3.87096
2020-05-28,3.1085
2020-05-29,4.45747
2020-05-30,3.40175
2020-05-31,2.93255
2020-06-01,5.57184
2020-06-02,6.97947
2020-06-03,7.62463
2020-06-04,6.04105
2020-06-05,6.51026
2020-06-06,3.75366
2020-06-07,5.33724
2020-06-08,7.97653
2020-06-09,5.39589
2020-06-10,4.86803
2020-06-11,5.8651
2020-06-12,6.74486
2020-06-13,3.81231
2020-06-14,3.28445
2020-06-15,7.91788
2020-06-16,10.20527
2020-06-17,6.97947
2020-06-18,6.15835
2020-06-19,3.81231
