date,유로스톡스50
2020-03-20,24.03911
2020-03-21,8.81173
2020-03-22,3.17848
2020-03-23,18.30806
2020-03-24,20.12713
2020-03-25,21.97555
2020-03-26,17.63325
2020-03-27,16.22493
2020-03-28,6.08312
2020-03-29,1.73105
2020-03-30,12.19559
2020-03-31,15.7066
2020-04-01,14.61124
2020-04-02,13.00733
2020-04-03,12.0
2020-04-04,4.37163
2020-04-05,1.24205
2020-04-06,9.65281
2020-04-07,14.55256
2020-04-08,12.35207
2020-04-09,13.38875
2020-04-10,9.52567
2020-04-11,3.78484
2020-04-12,1.71149
2020-04-13,6.95354
2020-04-14,10.86552
2020-04-15,8.76283
2020-04-16,9.99511
2020-04-17,10.74816
2020-04-18,4.35207
2020-04-19,1.61369
2020-04-20,8.55745
2020-04-21,10.20048
2020-04-22,9.74083
2020-04-23,11.04156
2020-04-24,8.88019
2020-04-25,3.74572
2020-04-26,1.25183
2020-04-27,8.13691
2020-04-28,9.68215
2020-04-29,9.81907
2020-04-30,8.38141
2020-05-01,5.77995
2020-05-02,2.52322
2020-05-03,0.99755
2020-05-04,6.16136
2020-05-05,7.13936
2020-05-06,9.81907
2020-05-07,8.91931
2020-05-08,8.0
2020-05-09,3.55012
2020-05-10,1.22249
2020-05-11,7.03178
2020-05-12,8.04889
2020-05-13,8.32273
2020-05-14,7.28606
2020-05-15,6.90464
2020-05-16,2.68948
2020-05-17,1.07579
2020-05-18,6.16136
2020-05-19,9.21271
2020-05-20,8.75305
2020-05-21,8.18581
2020-05-22,7.39364
2020-05-23,2.06356
2020-05-24,1.23227
2020-05-25,6.88508
2020-05-26,8.89975
2020-05-27,9.18337
2020-05-28,9.02689
2020-05-29,8.68459
2020-05-30,2.96332
2020-05-31,1.18337
2020-06-01,7.97066
2020-06-02,10.8753
2020-06-03,11.6088
2020-06-04,10.65036
2020-06-05,8.48899
2020-06-06,3.96088
2020-06-07,1.60391
2020-06-08,8.87041
2020-06-09,10.61124
2020-06-10,10.71882
2020-06-11,8.33251
2020-06-12,7.92176
2020-06-13,3.05134
2020-06-14,1.19315
2020-06-15,6.37652
2020-06-16,9.09535
2020-06-17,9.01711
2020-06-18,7.5599
2020-06-19,6.47432
2020-06-20,2.65036
2020-06-21,1.06601
2020-06-22,6.47432
2020-06-23,8.15647
2020-06-24,7.99022
2020-06-25,6.90464
2020-06-26,6.26894
2020-06-27,2.16136
2020-06-28,0.86063
2020-06-29,4.99755
2020-06-30,7.06112
2020-07-01,6.12224
2020-07-02,7.29584
2020-07-03,6.91442
2020-07-04,2.25916
2020-07-05,0.65525
2020-07-06,6.10268
2020-07-07,6.78728
2020-07-08,7.4132
2020-07-09,7.40342
2020-07-10,5.63325
2020-07-11,2.27872
2020-07-12,0.65525
2020-07-13,5.88753
2020-07-14,6.45476
2020-07-15,7.13936
2020-07-16,6.9242
