date,카카오배당금
2020-03-20,6.14546
2020-03-21,5.34811
2020-03-22,4.74523
2020-03-23,6.82613
2020-03-24,5.67872
2020-03-25,5.63982
2020-03-26,6.08712
2020-03-27,5.50369
2020-03-28,3.40334
2020-03-29,3.98677
2020-03-30,4.43407
2020-03-31,4.68689
2020-04-01,3.40334
2020-04-02,4.27849
2020-04-03,4.41462
2020-04-04,2.50875
2020-04-05,3.07273
2020-04-06,3.69506
2020-04-07,4.41462
2020-04-08,3.81174
2020-04-09,4.45352
2020-04-10,4.47296
2020-04-11,2.52819
2020-04-12,2.95604
2020-04-13,4.76468
2020-04-14,3.83119
2020-04-15,2.60598
2020-04-16,4.80357
2020-04-17,6.2816
2020-04-18,3.50058
2020-04-19,3.24776
2020-04-20,5.89264
2020-04-21,5.387
2020-04-22,8.96538
2020-04-23,8.05134
2020-04-24,5.32866
2020-04-25,2.66433
2020-04-26,2.4504
2020-04-27,5.11474
2020-04-28,4.1618
2020-04-29,3.79229
2020-04-30,2.0809
2020-05-01,2.02255
2020-05-02,1.24465
2020-05-03,2.13924
2020-05-04,3.50058
2020-05-05,2.8588
2020-05-06,7.02061
2020-05-07,8.71256
2020-05-08,4.88136
2020-05-09,3.28665
2020-05-10,2.25593
2020-05-11,4.53131
2020-05-12,5.89264
2020-05-13,5.63982
2020-05-14,8.18747
2020-05-15,6.53442
2020-05-16,3.65616
2020-05-17,3.16997
2020-05-18,4.86192
2020-05-19,7.70128
2020-05-20,11.82419
2020-05-21,11.97977
2020-05-22,12.21314
2020-05-23,6.37884
2020-05-24,4.86192
2020-05-25,18.00855
2020-05-26,13.7884
2020-05-27,11.24076
2020-05-28,8.96538
2020-05-29,6.32049
2020-05-30,3.42279
2020-05-31,2.99494
2020-06-01,5.4259
2020-06-02,5.48424
2020-06-03,7.15674
2020-06-04,4.92026
2020-06-05,5.07584
2020-06-06,2.80046
2020-06-07,3.26721
2020-06-08,4.88136
2020-06-09,4.2007
2020-06-10,5.58148
2020-06-11,4.37572
2020-06-12,4.10346
2020-06-13,2.66433
2020-06-14,2.0809
2020-06-15,3.67561
2020-06-16,3.44224
2020-06-17,3.345
2020-06-18,3.38389
2020-06-19,2.64488
2020-06-20,1.51691
2020-06-21,1.73084
2020-06-22,4.06456
2020-06-23,4.04511
2020-06-24,3.90898
2020-06-25,3.65616
2020-06-26,4.33683
2020-06-27,1.76973
2020-06-28,1.84753
2020-06-29,2.74212
2020-06-30,2.68378
2020-07-01,2.17814
2020-07-02,3.7534
2020-07-03,4.68689
2020-07-04,2.23648
2020-07-05,2.11979
2020-07-06,5.48424
2020-07-07,5.387
2020-07-08,7.9152
2020-07-09,10.01555
