date,성년후견인
2020-03-20,1.63703
2020-03-21,0.92413
2020-03-22,0.87132
2020-03-23,1.70744
2020-03-24,1.71624
2020-03-25,1.79545
2020-03-26,1.68984
2020-03-27,1.46101
2020-03-28,0.84492
2020-03-29,0.66009
2020-03-30,1.57542
2020-03-31,1.4434
2020-04-01,1.61943
2020-04-02,1.68104
2020-04-03,1.72504
2020-04-04,0.7041
2020-04-05,0.6953
2020-04-06,1.84826
2020-04-07,1.80425
2020-04-08,1.47861
2020-04-09,2.20911
2020-04-10,1.77785
2020-04-11,2.02429
2020-04-12,1.4258
2020-04-13,2.49955
2020-04-14,1.94508
2020-04-15,1.25858
2020-04-16,2.37634
2020-04-17,2.17391
2020-04-18,1.04735
2020-04-19,1.04735
2020-04-20,2.27952
2020-04-21,2.50836
2020-04-22,2.27072
2020-04-23,1.89227
2020-04-24,2.87801
2020-04-25,1.09135
2020-04-26,1.16176
2020-04-27,2.7988
2020-04-28,2.30593
2020-04-29,1.97148
2020-04-30,1.35539
2020-05-01,1.54902
2020-05-02,1.14416
2020-05-03,1.16176
2020-05-04,2.06829
2020-05-05,1.4258
2020-05-06,2.53476
2020-05-07,2.37634
2020-05-08,2.02429
2020-05-09,1.27618
2020-05-10,1.16176
2020-05-11,2.52596
2020-05-12,2.67558
2020-05-13,2.47315
2020-05-14,2.47315
2020-05-15,2.33233
2020-05-16,1.33779
2020-05-17,0.97694
2020-05-18,2.40274
2020-05-19,2.32353
2020-05-20,2.33233
2020-05-21,2.19151
2020-05-22,2.06829
2020-05-23,1.03854
2020-05-24,0.78331
2020-05-25,1.66343
2020-05-26,1.59302
2020-05-27,1.3994
2020-05-28,2.18271
2020-05-29,1.76905
2020-05-30,1.06495
2020-05-31,1.14416
2020-06-01,2.0859
2020-06-02,2.07709
2020-06-03,1.90107
2020-06-04,2.02429
2020-06-05,1.76025
2020-06-06,1.25858
2020-06-07,1.12656
2020-06-08,2.36754
2020-06-09,1.97148
2020-06-10,1.76025
2020-06-11,2.41154
2020-06-12,1.73384
2020-06-13,0.80971
2020-06-14,0.98574
2020-06-15,2.26192
2020-06-16,2.30593
2020-06-17,2.19151
2020-06-18,2.02429
2020-06-19,1.90107
2020-06-20,1.12656
2020-06-21,1.25858
2020-06-22,2.64918
2020-06-23,2.47315
2020-06-24,2.64918
2020-06-25,2.67558
2020-06-26,2.32353
2020-06-27,0.97694
2020-06-28,1.00334
2020-06-29,2.1299
2020-06-30,1.86586
2020-07-01,2.07709
2020-07-02,2.01549
2020-07-03,1.80425
2020-07-04,1.03854
2020-07-05,1.01214
2020-07-06,2.22672
2020-07-07,2.34113
2020-07-08,2.18271
2020-07-09,2.28832
2020-07-10,1.92747
2020-07-11,1.16176
2020-07-12,1.3994
2020-07-13,2.34993
2020-07-14,3.02763
2020-07-15,2.42034
2020-07-16,2.61397
2020-07-17,2.92202
2020-07-18,1.417
2020-07-19,1.24977
2020-07-20,2.42914
2020-07-21,3.07164
2020-07-22,4.39183
2020-07-23,6.38091
2020-07-24,3.13325
2020-07-25,1.35539
2020-07-26,1.26738
2020-07-27,4.28621
2020-07-28,2.89561
2020-07-29,2.67558
2020-07-30,3.4941
2020-07-31,25.30364
2020-08-01,3.92536
2020-08-02,1.49621
2020-08-03,2.8252
2020-08-04,2.87801
2020-08-05,2.88681
2020-08-06,2.42034
2020-08-07,2.25312
2020-08-08,1.32019
2020-08-09,1.59302
2020-08-10,3.16845
2020-08-11,2.61397
2020-08-12,2.67558
2020-08-13,2.79
2020-08-14,2.60517
2020-08-15,1.14416
2020-08-16,1.90107
2020-08-17,1.79545
2020-08-18,2.53476
2020-08-19,2.70198
2020-08-20,2.58757
2020-08-21,2.48195
2020-08-22,1.53142
2020-08-23,1.47861
2020-08-24,2.52596
2020-08-25,4.84949
2020-08-26,3.41489
2020-08-27,3.17725
2020-08-28,2.71959
2020-08-29,1.36419
2020-08-30,1.52261
2020-08-31,2.66678
2020-09-01,2.57877
2020-09-02,2.58757
2020-09-03,2.99243
2020-09-04,2.63157
2020-09-05,1.54902
2020-09-06,1.49621
2020-09-07,2.34113
2020-09-08,2.62277
2020-09-09,2.56997
2020-09-10,2.62277
2020-09-11,2.68438
2020-09-12,1.68984
2020-09-13,1.26738
2020-09-14,3.01883
2020-09-15,2.8252
2020-09-16,2.37634
2020-09-17,3.10684
2020-09-18,2.85161
2020-09-19,1.3994
2020-09-20,1.25858
2020-09-21,2.63157
2020-09-22,3.30047
2020-09-23,3.10684
2020-09-24,2.66678
2020-09-25,2.28832
2020-09-26,1.36419
2020-09-27,1.61063
2020-09-28,2.64038
2020-09-29,2.04189
2020-09-30,0.84492
2020-10-01,1.20577
2020-10-02,1.25858
