date,신탁
2020-03-20,44.52365
2020-03-21,27.67336
2020-03-22,32.14517
2020-03-23,56.38366
2020-03-24,51.84705
2020-03-25,43.03305
2020-03-26,46.40311
2020-03-27,40.44069
2020-03-28,26.83084
2020-03-29,26.96046
2020-03-30,41.60725
2020-03-31,42.709
2020-04-01,42.44977
2020-04-02,41.15359
2020-04-03,40.31108
2020-04-04,23.78483
2020-04-05,24.17368
2020-04-06,40.82955
2020-04-07,47.69928
2020-04-08,45.17174
2020-04-09,42.96824
2020-04-10,40.37589
2020-04-11,23.91445
2020-04-12,28.12702
2020-04-13,48.80103
2020-04-14,44.65327
2020-04-15,28.96953
2020-04-16,42.83862
2020-04-17,48.80103
2020-04-18,28.96953
2020-04-19,26.83084
2020-04-20,44.06999
2020-04-21,48.02333
2020-04-22,46.72715
2020-04-23,48.86584
2020-04-24,43.48671
2020-04-25,27.80298
2020-04-26,26.57161
2020-04-27,42.25534
2020-04-28,47.63447
2020-04-29,51.39338
2020-04-30,29.29358
2020-05-01,29.29358
2020-05-02,23.91445
2020-05-03,27.15489
2020-05-04,37.71872
2020-05-05,32.53402
2020-05-06,41.28321
2020-05-07,42.83862
2020-05-08,36.87621
2020-05-09,23.46079
2020-05-10,24.62734
2020-05-11,42.96824
2020-05-12,41.73687
2020-05-13,44.65327
2020-05-14,45.23655
2020-05-15,38.04277
2020-05-16,27.15489
2020-05-17,26.96046
2020-05-18,46.14387
2020-05-19,45.49578
2020-05-20,42.38496
2020-05-21,43.03305
2020-05-22,40.5055
2020-05-23,25.98833
2020-05-24,27.15489
2020-05-25,41.54244
2020-05-26,45.30136
2020-05-27,44.19961
2020-05-28,45.6254
2020-05-29,37.07064
2020-05-30,23.20155
2020-05-31,26.89565
2020-06-01,40.95917
2020-06-02,41.28321
2020-06-03,45.81983
2020-06-04,44.78289
2020-06-05,41.99611
2020-06-06,27.2197
2020-06-07,31.69151
2020-06-08,44.65327
2020-06-09,45.10693
2020-06-10,46.3383
2020-06-11,45.10693
2020-06-12,40.82955
2020-06-13,26.63642
2020-06-14,27.09008
2020-06-15,44.00518
2020-06-16,43.16267
2020-06-17,42.25534
2020-06-18,46.07906
2020-06-19,46.92158
2020-06-20,29.22877
2020-06-21,31.95074
2020-06-22,47.8289
2020-06-23,47.31043
2020-06-24,45.56059
2020-06-25,41.99611
2020-06-26,39.14452
2020-06-27,22.42384
2020-06-28,25.21062
2020-06-29,40.69993
2020-06-30,39.40375
2020-07-01,37.26506
2020-07-02,37.00583
2020-07-03,36.8114
2020-07-04,20.99805
2020-07-05,25.59948
2020-07-06,41.34802
2020-07-07,39.98703
2020-07-08,40.89436
2020-07-09,40.11665
2020-07-10,38.10758
2020-07-11,26.70123
2020-07-12,27.67336
2020-07-13,43.94037
2020-07-14,50.81011
2020-07-15,45.56059
2020-07-16,44.19961
2020-07-17,40.95917
2020-07-18,27.09008
2020-07-19,24.82177
2020-07-20,43.4219
2020-07-21,42.19053
2020-07-22,42.90343
2020-07-23,44.26441
2020-07-24,37.45949
2020-07-25,23.26636
2020-07-26,23.84964
2020-07-27,41.28321
2020-07-28,44.71808
2020-07-29,45.94944
2020-07-30,42.38496
2020-07-31,39.07971
2020-08-01,23.97926
2020-08-02,21.3869
2020-08-03,37.5243
2020-08-04,43.22747
2020-08-05,44.06999
2020-08-06,40.69993
2020-08-07,39.40375
2020-08-08,20.22034
2020-08-09,24.75696
2020-08-10,41.28321
2020-08-11,39.59818
2020-08-12,42.77381
2020-08-13,40.44069
2020-08-14,35.45042
2020-08-15,22.29423
2020-08-16,18.66493
2020-08-17,25.08101
2020-08-18,36.29293
2020-08-19,36.16331
