date,실손의료비보험
2020-03-20,9.80392
2020-03-21,8.40336
2020-03-22,8.96358
2020-03-23,17.64705
2020-03-24,20.16806
2020-03-25,14.0056
2020-03-26,12.60504
2020-03-27,12.04481
2020-03-28,6.16246
2020-03-29,7.0028
2020-03-30,14.0056
2020-03-31,15.12605
2020-04-01,9.5238
2020-04-02,12.04481
2020-04-03,9.5238
2020-04-04,3.36134
2020-04-05,3.36134
2020-04-06,12.04481
2020-04-07,14.28571
2020-04-08,8.68347
2020-04-09,11.20448
2020-04-10,11.48459
2020-04-11,5.88235
2020-04-12,10.36414
2020-04-13,13.72549
2020-04-14,14.84593
2020-04-15,5.60224
2020-04-16,10.92436
2020-04-17,9.80392
2020-04-18,3.92156
2020-04-19,3.64145
2020-04-20,12.88515
2020-04-21,19.60784
2020-04-22,9.5238
2020-04-23,9.24369
2020-04-24,13.72549
2020-04-25,7.28291
2020-04-26,8.12324
2020-04-27,13.72549
2020-04-28,15.68627
2020-04-29,11.48459
2020-04-30,5.60224
2020-05-01,4.48179
2020-05-02,5.88235
2020-05-03,4.20168
2020-05-04,13.72549
2020-05-05,5.32212
2020-05-06,11.20448
2020-05-07,10.36414
2020-05-08,15.68627
2020-05-09,8.68347
2020-05-10,8.12324
2020-05-11,13.44537
2020-05-12,10.92436
2020-05-13,10.36414
2020-05-14,17.92717
2020-05-15,12.32492
2020-05-16,7.0028
2020-05-17,8.40336
2020-05-18,11.20448
2020-05-19,15.96638
2020-05-20,15.40616
2020-05-21,14.28571
2020-05-22,10.36414
2020-05-23,3.64145
2020-05-24,2.80112
2020-05-25,9.80392
2020-05-26,14.28571
2020-05-27,13.72549
2020-05-28,13.72549
2020-05-29,8.40336
2020-05-30,6.16246
2020-05-31,2.80112
2020-06-01,13.44537
2020-06-02,11.7647
2020-06-03,8.96358
2020-06-04,12.04481
2020-06-05,10.36414
2020-06-06,5.60224
2020-06-07,8.96358
2020-06-08,10.64425
2020-06-09,9.80392
2020-06-10,7.28291
2020-06-11,9.5238
2020-06-12,13.44537
2020-06-13,8.40336
2020-06-14,5.32212
2020-06-15,8.12324
2020-06-16,15.96638
2020-06-17,10.08403
2020-06-18,15.12605
2020-06-19,10.92436
2020-06-20,6.44257
2020-06-21,3.92156
2020-06-22,12.60504
2020-06-23,7.0028
2020-06-24,11.48459
2020-06-25,9.24369
2020-06-26,10.92436
2020-06-27,5.88235
2020-06-28,3.92156
2020-06-29,12.32492
2020-06-30,16.52661
2020-07-01,17.92717
2020-07-02,13.16526
2020-07-03,13.72549
2020-07-04,5.88235
2020-07-05,2.521
2020-07-06,14.28571
2020-07-07,17.92717
2020-07-08,17.36694
2020-07-09,12.60504
2020-07-10,8.96358
2020-07-11,2.24089
2020-07-12,3.36134
2020-07-13,15.12605
2020-07-14,12.60504
2020-07-15,9.5238
2020-07-16,12.32492
2020-07-17,10.36414
2020-07-18,6.16246
2020-07-19,4.48179
2020-07-20,14.0056
2020-07-21,12.60504
2020-07-22,12.32492
2020-07-23,12.60504
2020-07-24,14.84593
2020-07-25,6.44257
2020-07-26,5.88235
2020-07-27,13.44537
2020-07-28,11.48459
2020-07-29,12.32492
2020-07-30,9.5238
2020-07-31,12.60504
2020-08-01,7.28291
2020-08-02,5.60224
2020-08-03,13.72549
2020-08-04,16.52661
2020-08-05,15.12605
2020-08-06,19.60784
2020-08-07,9.5238
2020-08-08,6.44257
2020-08-09,3.08123
2020-08-10,10.36414
2020-08-11,10.64425
2020-08-12,9.80392
2020-08-13,12.60504
2020-08-14,17.08683
2020-08-15,4.7619
2020-08-16,4.48179
2020-08-17,7.28291
2020-08-18,11.20448
2020-08-19,10.08403
2020-08-20,12.60504
2020-08-21,13.16526
2020-08-22,10.08403
2020-08-23,5.60224
2020-08-24,15.68627
2020-08-25,21.0084
2020-08-26,15.12605
2020-08-27,15.96638
2020-08-28,9.5238
2020-08-29,5.32212
2020-08-30,4.7619
2020-08-31,9.80392
2020-09-01,10.92436
2020-09-02,16.24649
2020-09-03,11.7647
2020-09-04,8.40336
2020-09-05,7.28291
