date,연금보험
2020-03-20,19.99687
2020-03-21,15.71963
2020-03-22,13.95566
2020-03-23,24.28972
2020-03-24,23.86824
2020-03-25,25.81954
2020-03-26,26.28785
2020-03-27,26.14736
2020-03-28,16.43771
2020-03-29,16.59381
2020-03-30,30.92413
2020-03-31,30.09678
2020-04-01,27.5679
2020-04-02,22.49453
2020-04-03,20.05931
2020-04-04,15.5167
2020-04-05,14.75179
2020-04-06,20.43396
2020-04-07,22.2916
2020-04-08,22.33843
2020-04-09,21.05838
2020-04-10,18.65438
2020-04-11,13.37808
2020-04-12,12.48829
2020-04-13,18.20168
2020-04-14,22.01061
2020-04-15,15.70402
2020-04-16,19.18513
2020-04-17,18.84171
2020-04-18,12.41024
2020-04-19,12.80049
2020-04-20,21.05838
2020-04-21,21.57352
2020-04-22,22.66625
2020-04-23,21.46425
2020-04-24,19.32563
2020-04-25,13.01904
2020-04-26,15.71963
2020-04-27,23.6497
2020-04-28,20.40274
2020-04-29,23.8058
2020-04-30,15.03278
2020-05-01,13.59662
2020-05-02,11.73899
2020-05-03,12.16047
2020-05-04,23.10334
2020-05-05,16.81236
2020-05-06,23.52482
2020-05-07,25.35123
2020-05-08,20.73056
2020-05-09,12.09803
2020-05-10,13.87761
2020-05-11,23.82141
2020-05-12,22.77552
2020-05-13,27.14642
2020-05-14,32.14174
2020-05-15,19.68467
2020-05-16,13.1127
2020-05-17,13.81517
2020-05-18,21.01155
2020-05-19,23.96191
2020-05-20,23.29066
2020-05-21,22.82235
2020-05-22,19.46612
2020-05-23,12.44146
2020-05-24,16.4221
2020-05-25,22.26038
2020-05-26,23.10334
2020-05-27,24.18045
2020-05-28,26.53762
2020-05-29,20.99594
2020-05-30,11.94192
2020-05-31,13.5654
2020-06-01,21.72962
2020-06-02,20.94911
2020-06-03,20.77739
2020-06-04,26.72494
2020-06-05,22.11988
2020-06-06,14.79862
2020-06-07,12.98782
2020-06-08,18.26412
2020-06-09,18.13924
2020-06-10,20.55885
2020-06-11,19.95004
2020-06-12,16.17233
2020-06-13,10.47455
2020-06-14,10.24039
2020-06-15,16.32844
2020-06-16,16.95285
2020-06-17,17.0309
2020-06-18,17.70215
2020-06-19,15.90696
2020-06-20,10.02185
2020-06-21,11.20824
2020-06-22,18.26412
2020-06-23,18.71682
2020-06-24,20.21542
2020-06-25,22.41648
2020-06-26,21.29253
2020-06-27,13.84639
2020-06-28,13.14392
2020-06-29,19.63783
2020-06-30,22.9004
2020-07-01,21.43303
2020-07-02,19.49734
2020-07-03,24.49266
2020-07-04,11.17702
2020-07-05,12.72244
2020-07-06,20.35591
2020-07-07,20.41835
