date,CRE
2020-03-20,5.34409
2020-03-21,3.6084
2020-03-22,3.13641
2020-03-23,5.35931
2020-03-24,5.61814
2020-03-25,4.97868
2020-03-26,4.8112
2020-03-27,4.76552
2020-03-28,2.51218
2020-03-29,2.08587
2020-03-30,4.7503
2020-03-31,5.26796
2020-04-01,5.29841
2020-04-02,5.22228
2020-04-03,5.20706
2020-04-04,3.16686
2020-04-05,3.06029
2020-04-06,6.18148
2020-04-07,6.014
2020-04-08,5.80085
2020-04-09,6.31851
2020-04-10,5.46589
2020-04-11,3.83678
2020-04-12,3.6693
2020-04-13,5.67904
2020-04-14,5.46589
2020-04-15,3.88246
2020-04-16,5.08526
2020-04-17,5.87697
2020-04-18,3.68453
2020-04-19,2.96894
2020-04-20,5.45066
2020-04-21,5.60292
2020-04-22,5.81607
2020-04-23,5.92265
2020-04-24,5.61814
2020-04-25,3.59317
2020-04-26,3.10596
2020-04-27,5.78562
2020-04-28,6.68392
2020-04-29,5.10048
2020-04-30,3.4257
2020-05-01,3.41047
2020-05-02,3.19732
2020-05-03,2.86236
2020-05-04,4.59805
2020-05-05,2.99939
2020-05-06,4.41534
2020-05-07,4.9939
2020-05-08,4.44579
2020-05-09,3.51705
2020-05-10,3.09074
2020-05-11,5.55724
2020-05-12,5.66382
2020-05-13,6.18148
2020-05-14,5.7095
2020-05-15,5.51157
2020-05-16,2.98416
2020-05-17,2.3447
2020-05-18,4.30876
2020-05-19,5.63337
2020-05-20,5.31364
2020-05-21,5.29841
2020-05-22,6.33373
2020-05-23,3.59317
2020-05-24,2.37515
2020-05-25,4.94823
2020-05-26,5.73995
2020-05-27,5.52679
2020-05-28,4.85688
2020-05-29,4.91778
2020-05-30,3.33434
2020-05-31,3.12119
2020-06-01,4.64372
2020-06-02,6.16626
2020-06-03,6.8514
2020-06-04,6.48599
2020-06-05,5.10048
2020-06-06,3.13641
2020-06-07,3.09074
2020-06-08,5.16138
2020-06-09,6.37941
2020-06-10,6.44031
2020-06-11,6.65347
2020-06-12,6.36419
2020-06-13,3.91291
2020-06-14,3.95858
2020-06-15,5.73995
2020-06-16,6.51644
2020-06-17,6.80572
2020-06-18,6.34896
2020-06-19,6.47076
2020-06-20,3.69975
2020-06-21,2.95371
2020-06-22,6.24238
2020-06-23,6.50121
