date,카드캐시백
2020-03-20,0.15145
2020-03-21,0.06626
2020-03-22,0.21772
2020-03-23,0.12305
2020-03-24,0.23665
2020-03-25,0.18932
2020-03-26,0.21772
2020-03-27,0.14199
2020-03-28,0.18932
2020-03-29,0.08519
2020-03-30,0.14199
2020-03-31,0.24611
2020-04-01,0.17039
2020-04-02,0.19878
2020-04-03,0.08519
2020-04-04,0.04733
2020-04-05,0.08519
2020-04-06,0.21772
2020-04-07,0.26505
2020-04-08,0.15145
2020-04-09,0.19878
2020-04-10,0.16092
2020-04-11,0.18932
2020-04-12,0.06626
2020-04-13,0.27451
2020-04-14,0.21772
2020-04-15,0.15145
2020-04-16,0.21772
2020-04-17,0.17985
2020-04-18,0.10412
2020-04-19,0.20825
2020-04-20,0.28398
2020-04-21,0.16092
2020-04-22,0.24611
2020-04-23,0.14199
2020-04-24,0.17039
2020-04-25,0.09466
2020-04-26,0.09466
2020-04-27,0.23665
2020-04-28,0.16092
2020-04-29,0.22718
2020-04-30,0.15145
2020-05-01,0.08519
2020-05-02,0.07572
2020-05-03,0.18932
2020-05-04,0.26505
2020-05-05,0.20825
2020-05-06,0.22718
2020-05-07,0.13252
2020-05-08,0.15145
2020-05-09,0.07572
2020-05-10,0.12305
2020-05-11,0.26505
2020-05-12,0.26505
2020-05-13,0.14199
2020-05-14,0.24611
2020-05-15,0.20825
2020-05-16,0.14199
2020-05-17,0.08519
2020-05-18,0.12305
2020-05-19,0.13252
2020-05-20,0.17985
2020-05-21,0.10412
2020-05-22,0.14199
2020-05-23,0.06626
2020-05-24,0.04733
2020-05-25,0.10412
2020-05-26,0.21772
2020-05-27,0.07572
2020-05-28,0.13252
2020-05-29,0.10412
2020-05-30,0.05679
2020-05-31,0.10412
2020-06-01,0.26505
2020-06-02,0.20825
2020-06-03,0.22718
2020-06-04,0.07572
2020-06-05,0.15145
2020-06-07,0.07572
2020-06-08,0.16092
2020-06-09,0.15145
2020-06-10,0.15145
2020-06-11,0.07572
2020-06-12,0.05679
2020-06-13,0.06626
2020-06-14,0.10412
2020-06-15,0.10412
2020-06-16,0.11359
2020-06-17,0.16092
2020-06-18,0.15145
2020-06-19,0.07572
2020-06-20,0.07572
2020-06-21,0.05679
2020-06-22,0.10412
2020-06-23,0.13252
2020-06-24,0.14199
2020-06-25,0.04733
2020-06-26,0.14199
2020-06-27,0.13252
2020-06-28,0.10412
2020-06-29,0.17985
2020-06-30,0.18932
2020-07-01,0.23665
2020-07-02,0.17039
2020-07-03,0.10412
2020-07-04,0.09466
2020-07-05,0.07572
2020-07-06,0.23665
2020-07-07,0.07572
2020-07-08,0.08519
2020-07-09,0.08519
2020-07-10,0.15145
2020-07-11,0.09466
2020-07-12,0.13252
2020-07-13,0.13252
2020-07-14,0.21772
2020-07-15,0.15145
2020-07-16,0.17039
2020-07-17,0.10412
2020-07-18,0.09466
2020-07-19,0.06626
2020-07-20,0.19878
2020-07-21,0.14199
2020-07-22,0.12305
2020-07-23,0.15145
2020-07-24,0.14199
2020-07-25,0.13252
2020-07-26,0.07572
2020-07-27,0.22718
2020-07-28,0.26505
2020-07-29,0.12305
2020-07-30,0.08519
2020-07-31,0.05679
2020-08-01,0.09466
2020-08-02,0.07572
2020-08-03,0.07572
2020-08-04,0.08519
2020-08-05,0.04733
2020-08-06,0.12305
2020-08-07,0.13252
2020-08-08,0.04733
2020-08-09,0.04733
2020-08-10,0.06626
2020-08-11,0.22718
2020-08-12,0.06626
