date,법인
2020-11-08,18.26036
2020-11-09,28.85944
2020-11-10,31.56682
2020-11-11,30.64516
2020-11-12,26.90092
2020-11-13,27.13133
2020-11-14,15.43778
2020-11-15,16.82027
2020-11-16,29.8387
2020-11-17,29.20506
2020-11-18,28.68663
2020-11-19,28.85944
2020-11-20,28.11059
2020-11-21,15.6682
2020-11-22,18.37557
2020-11-23,28.28341
2020-11-24,28.85944
2020-11-25,29.60829
2020-11-26,31.10599
2020-11-27,27.24654
2020-11-28,16.18663
2020-11-29,16.99308
2020-11-30,28.57142
2020-12-01,30.58755
2020-12-02,29.14746
2020-12-03,29.55069
2020-12-04,26.38248
2020-12-05,19.29723
2020-12-06,17.62672
2020-12-07,27.53456
2020-12-08,30.01152
2020-12-09,35.19585
2020-12-10,28.2258
2020-12-11,28.39861
2020-12-12,17.97235
2020-12-13,17.51152
2020-12-14,27.64976
2020-12-15,28.34101
2020-12-16,25.92165
2020-12-17,29.26267
2020-12-18,24.02073
2020-12-19,14.34331
2020-12-20,15.61059
2020-12-21,27.01612
2020-12-22,27.24654
2020-12-23,26.38248
2020-12-24,22.46543
2020-12-25,12.32718
2020-12-26,14.1705
2020-12-27,15.55299
2020-12-28,26.84331
2020-12-29,30.58755
2020-12-30,28.57142
2020-12-31,22.63824
2021-01-01,15.7258
2021-01-02,16.87788
2021-01-03,16.47465
2021-01-04,28.39861
2021-01-05,32.77649
2021-01-06,29.95391
2021-01-07,31.50921
2021-01-08,30.41474
2021-01-09,17.16589
2021-01-10,17.74193
2021-01-11,33.52534
2021-01-12,33.35253
2021-01-13,32.60368
2021-01-14,32.31566
2021-01-15,30.35714
2021-01-16,17.91474
2021-01-17,17.79953
2021-01-18,31.22119
2021-01-19,33.52534
2021-01-20,30.52995
2021-01-21,30.99078
2021-01-22,30.35714
2021-01-23,18.14516
2021-01-24,17.79953
2021-01-25,30.18433
2021-01-26,31.16359
2021-01-27,30.76036
2021-01-28,32.8341
2021-01-29,30.18433
2021-01-30,17.05069
2021-01-31,18.14516
2021-02-01,25.74884
2021-02-02,31.45161
2021-02-03,28.97465
2021-02-04,31.22119
2021-02-05,29.08986
2021-02-06,17.79953
2021-02-07,17.97235
2021-02-08,29.14746
2021-02-09,28.28341
2021-02-10,24.65437
2021-02-11,17.45391
2021-02-12,11.52073
2021-02-13,13.01843
2021-02-14,17.74193
2021-02-15,29.20506
2021-02-16,28.28341
2021-02-17,32.66129
2021-02-18,30.18433
2021-02-19,28.34101
2021-02-20,16.99308
2021-02-21,15.20737
2021-02-22,25.40322
2021-02-23,28.51382
2021-02-24,27.59216
2021-02-25,28.74423
2021-02-26,24.71198
2021-02-27,14.40092
2021-02-28,14.34331
2021-03-01,16.99308
2021-03-02,28.39861
2021-03-03,30.64516
2021-03-04,29.66589
2021-03-05,28.97465
2021-03-06,16.93548
2021-03-07,17.56912
2021-03-08,31.73963
2021-03-09,31.91244
2021-03-10,31.91244
2021-03-11,34.447
2021-03-12,28.2258
2021-03-13,18.49078
2021-03-14,15.32258
2021-03-15,34.15898
2021-03-16,34.3894
2021-03-17,32.02764
2021-03-18,36.75115
2021-03-19,28.62903
2021-03-20,18.26036
2021-03-21,18.49078
2021-03-22,26.44009
2021-03-23,33.00691
2021-03-24,33.41013
2021-03-25,29.89631
2021-03-26,26.90092
2021-03-27,17.39631
2021-03-28,17.2235
2021-03-29,29.32027
2021-03-30,32.48847
2021-03-31,31.68202
2021-04-01,30.47235
2021-04-02,31.394
2021-04-03,20.21889
2021-04-04,20.04608
2021-04-05,31.2788
2021-04-06,33.06451
2021-04-07,32.08525
2021-04-08,31.394
2021-04-09,28.28341
2021-04-10,20.96774
2021-04-11,19.29723
2021-04-12,30.87557
2021-04-13,30.41474
2021-04-14,30.64516
2021-04-15,31.56682
2021-04-16,29.8387
2021-04-17,22.98387
2021-04-18,23.61751
2021-04-19,39.22811
2021-04-20,34.90783
2021-04-21,34.10138
2021-04-22,33.41013
2021-04-23,28.91705
2021-04-24,18.54838
2021-04-25,20.79493
2021-04-26,30.58755
2021-04-27,31.97004
2021-04-28,29.20506
2021-04-29,29.60829
2021-04-30,25.1152
2021-05-01,17.68433
2021-05-02,15.26497
2021-05-03,23.90552
2021-05-04,24.65437
2021-05-05,16.53225
2021-05-06,25.46082
2021-05-07,25.46082
2021-05-08,14.05529
2021-05-09,15.78341
2021-05-10,27.01612
2021-05-11,28.39861
2021-05-12,29.95391
2021-05-13,28.91705
2021-05-14,23.4447
2021-05-15,15.32258
2021-05-16,15.78341
2021-05-17,24.30875
2021-05-18,27.18894
2021-05-19,18.08755
2021-05-20,25.92165
2021-05-21,26.44009
2021-05-22,15.38018
2021-05-23,17.2235
2021-05-24,26.95852
2021-05-25,30.18433
2021-05-26,28.1682
2021-05-27,28.80184
2021-05-28,24.82718
2021-05-29,16.53225
2021-05-30,16.53225
2021-05-31,28.51382
2021-06-01,27.47695
2021-06-02,28.34101
2021-06-03,26.6129
2021-06-04,24.65437
2021-06-05,15.89861
2021-06-06,18.894
2021-06-07,32.08525
2021-06-08,31.50921
2021-06-09,30.29953
2021-06-10,31.45161
2021-06-11,21.60138
2021-06-12,16.99308
2021-06-13,15.78341
2021-06-14,28.39861
2021-06-15,28.68663
2021-06-16,28.34101
2021-06-17,26.90092
2021-06-18,23.79032
2021-06-19,15.89861
2021-06-20,17.2811
2021-06-21,31.97004
2021-06-22,33.58294
2021-06-23,31.10599
2021-06-24,28.28341
2021-06-25,25.69124
2021-06-26,16.70506
2021-06-27,15.20737
2021-06-28,25.80645
2021-06-29,24.13594
2021-06-30,24.25115
2021-07-01,27.13133
2021-07-02,26.95852
2021-07-03,15.43778
2021-07-04,14.1705
2021-07-05,25.69124
2021-07-06,26.90092
2021-07-07,27.18894
2021-07-08,27.53456
2021-07-09,22.40783
2021-07-10,14.1705
2021-07-11,16.82027
2021-07-12,26.15207
2021-07-13,28.57142
2021-07-14,25.69124
2021-07-15,28.39861
2021-07-16,26.09447
2021-07-17,16.07142
2021-07-18,13.99769
