date,저점매수
2020-03-20,28.19148
2020-03-21,10.63829
2020-03-22,11.17021
2020-03-23,20.74468
2020-03-24,13.82978
2020-03-25,14.89361
2020-03-26,13.29787
2020-03-27,10.63829
2020-03-28,4.25531
2020-03-29,3.19148
2020-03-30,10.63829
2020-03-31,9.04255
2020-04-01,13.82978
2020-04-02,7.4468
2020-04-03,14.3617
2020-04-04,9.57446
2020-04-05,5.85106
2020-04-06,6.91489
2020-04-07,12.76595
2020-04-08,12.23404
2020-04-09,15.42553
2020-04-10,7.4468
2020-04-11,7.97872
2020-04-13,2.65957
2020-04-14,6.38297
2020-04-16,2.65957
2020-04-17,8.51063
2020-04-19,2.65957
2020-04-20,3.7234
2020-04-21,8.51063
2020-04-22,2.65957
2020-04-23,3.19148
2020-04-24,3.7234
2020-04-25,4.25531
2020-04-26,3.7234
2020-04-29,2.65957
2020-05-01,2.65957
2020-05-02,2.65957
2020-05-04,3.7234
2020-05-07,2.65957
2020-05-10,3.19148
2020-05-26,3.19148
2020-05-28,2.65957
2020-05-30,3.19148
2020-06-01,5.31914
2020-06-03,3.19148
2020-06-06,3.7234
2020-06-08,6.38297
2020-06-11,3.19148
2020-06-12,2.65957
2020-06-14,2.65957
2020-06-16,2.65957
2020-06-19,4.25531
2020-06-22,4.78723
2020-06-23,3.19148
2020-06-24,4.25531
2020-07-06,4.25531
2020-07-07,2.65957
2020-07-28,3.7234
2020-08-07,4.25531
2020-08-10,2.65957
2020-08-11,3.7234
2020-08-12,3.19148
2020-08-13,3.19148
2020-08-15,2.65957
2020-08-18,2.65957
2020-08-20,5.31914
2020-08-21,2.65957
2020-08-24,3.19148
2020-08-26,7.4468
2020-08-28,3.19148
2020-08-29,2.65957
2020-08-31,3.19148
2020-09-01,3.19148
2020-09-02,3.7234
2020-09-04,4.25531
2020-09-05,3.19148
2020-09-07,3.19148
2020-09-08,6.91489
2020-09-09,12.23404
2020-09-10,3.7234
2020-09-11,7.4468
2020-09-14,3.19148
2020-09-15,2.65957
2020-09-16,7.4468
2020-09-17,6.38297
2020-09-18,5.31914
2020-09-20,2.65957
2020-09-21,2.65957
2020-09-22,6.38297
