date,비트코인선물
2020-03-20,4.5792
2020-03-21,7.79702
2020-03-22,3.46534
2020-03-23,6.31188
2020-03-24,7.17821
2020-03-25,5.32178
2020-03-26,3.96039
2020-03-27,4.20792
2020-03-28,6.68316
2020-03-29,4.82673
2020-03-30,4.08415
2020-03-31,3.71287
2020-04-01,4.20792
2020-04-02,2.35148
2020-04-03,2.97029
2020-04-04,2.599
2020-04-05,2.10396
2020-04-06,3.83663
2020-04-07,5.44554
2020-04-08,2.599
2020-04-09,2.84653
2020-04-10,4.20792
2020-04-11,3.96039
2020-04-12,3.21782
2020-04-13,3.5891
2020-04-14,3.34158
2020-04-15,1.73267
2020-04-16,2.72277
2020-04-17,3.71287
2020-04-18,2.22772
2020-04-19,2.10396
2020-04-20,3.46534
2020-04-21,4.70297
2020-04-22,4.33168
2020-04-23,4.70297
2020-04-24,5.69306
2020-04-25,4.08415
2020-04-26,4.33168
2020-04-27,3.83663
2020-04-28,2.47524
2020-04-29,2.72277
2020-04-30,5.07425
2020-05-01,2.599
2020-05-02,5.07425
2020-05-03,3.96039
2020-05-04,4.20792
2020-05-05,3.5891
2020-05-06,3.09405
2020-05-07,1.98019
2020-05-08,2.97029
2020-05-09,4.5792
2020-05-10,6.06435
2020-05-11,4.82673
2020-05-12,1.98019
2020-05-13,1.48514
2020-05-14,3.34158
2020-05-15,2.72277
2020-05-16,2.97029
2020-05-17,2.35148
2020-05-18,2.599
2020-05-19,3.34158
2020-05-20,4.20792
2020-05-21,3.5891
2020-05-22,1.98019
2020-05-23,0.61881
2020-05-24,1.48514
2020-05-25,3.46534
2020-05-26,3.5891
2020-05-27,3.34158
2020-05-28,4.95049
2020-05-29,5.32178
2020-05-30,2.97029
2020-05-31,3.09405
2020-06-01,1.98019
2020-06-02,2.22772
2020-06-03,4.70297
2020-06-04,3.71287
2020-06-05,2.22772
2020-06-06,2.22772
2020-06-07,0.99009
2020-06-08,0.99009
2020-06-09,2.97029
2020-06-10,3.5891
2020-06-11,3.71287
2020-06-12,2.97029
2020-06-13,2.47524
2020-06-14,2.72277
2020-06-15,2.84653
2020-06-16,3.21782
2020-06-17,1.48514
2020-06-18,1.36138
2020-06-19,2.97029
2020-06-20,2.10396
2020-06-21,1.48514
2020-06-22,2.97029
2020-06-23,2.84653
2020-06-24,4.45544
2020-06-25,4.95049
2020-06-26,7.5495
2020-06-27,3.46534
2020-06-28,2.72277
2020-06-29,2.72277
2020-06-30,1.73267
2020-07-01,1.85643
2020-07-02,4.08415
2020-07-03,2.10396
2020-07-04,1.11386
2020-07-05,1.85643
2020-07-06,2.47524
2020-07-07,2.22772
2020-07-09,2.47524
2020-07-10,1.85643
2020-07-11,1.85643
2020-07-12,1.73267
2020-07-13,1.98019
2020-07-14,2.72277
2020-07-15,1.48514
2020-07-16,3.71287
2020-07-17,1.11386
2020-07-18,1.73267
2020-07-19,2.47524
2020-07-20,2.47524
2020-07-21,2.599
2020-07-23,2.72277
2020-07-24,2.72277
2020-07-25,1.85643
2020-07-26,2.599
2020-07-27,3.21782
2020-07-28,5.07425
2020-07-29,3.21782
2020-07-30,5.69306
2020-07-31,3.83663
2020-08-01,3.83663
2020-08-02,7.42574
2020-08-03,6.31188
2020-08-04,5.44554
2020-08-05,3.71287
2020-08-06,2.72277
2020-08-07,4.70297
2020-08-08,2.97029
2020-08-09,4.45544
2020-08-10,4.08415
2020-08-11,4.95049
2020-08-12,3.5891
2020-08-13,2.84653
2020-08-14,4.5792
2020-08-15,2.97029
2020-08-16,2.599
2020-08-17,2.10396
2020-08-18,4.82673
2020-08-19,3.21782
2020-08-20,3.96039
2020-08-21,2.10396
2020-08-22,4.70297
2020-08-23,4.70297
2020-08-24,3.09405
2020-08-25,6.31188
2020-08-26,7.30198
2020-08-27,10.76732
2020-08-28,12.00495
2020-08-29,4.70297
2020-08-30,3.71287
2020-08-31,3.5891
2020-09-01,2.84653
2020-09-02,3.83663
2020-09-03,3.96039
2020-09-04,5.5693
2020-09-05,6.18811
2020-09-06,5.81683
2020-09-07,9.40594
2020-09-08,11.01485
2020-09-09,14.10891
2020-09-10,22.52475
2020-09-11,20.0495
2020-09-12,13.49009
2020-09-13,11.38613
2020-09-14,10.02475
2020-09-15,9.40594
2020-09-16,9.28217
2020-09-17,7.5495
2020-09-18,4.33168
2020-09-19,5.69306
2020-09-20,5.44554
2020-09-21,5.81683
2020-09-22,7.17821
2020-09-23,6.5594
2020-09-24,10.27227
2020-09-25,6.18811
2020-09-26,5.94059
2020-09-27,2.72277
2020-09-28,2.22772
2020-09-29,3.21782
2020-09-30,0.74257
2020-10-01,1.73267
2020-10-02,2.22772
2020-10-03,2.47524
2020-10-04,3.09405
2020-10-05,2.47524
2020-10-06,1.73267
2020-10-07,3.21782
2020-10-08,2.10396
2020-10-09,1.36138
2020-10-10,2.72277
2020-10-11,1.98019
2020-10-12,3.96039
2020-10-13,2.47524
2020-10-14,3.71287
2020-10-15,4.45544
2020-10-16,3.46534
2020-10-17,2.47524
2020-10-18,0.99009
2020-10-19,1.73267
2020-10-20,3.71287
2020-10-21,3.34158
2020-10-22,5.07425
2020-10-23,3.34158
2020-10-24,1.73267
2020-10-25,3.21782
2020-10-26,6.68316
2020-10-27,9.77722
2020-10-28,10.27227
2020-10-29,4.20792
2020-10-30,5.69306
2020-10-31,2.84653
2020-11-01,2.35148
2020-11-02,4.33168
2020-11-03,2.84653
2020-11-04,2.10396
2020-11-05,3.83663
2020-11-06,8.04455
2020-11-07,5.94059
2020-11-08,3.5891
2020-11-09,4.20792
2020-11-10,2.72277
2020-11-11,4.33168
2020-11-12,5.5693
2020-11-13,3.83663
2020-11-14,3.5891
2020-11-15,2.72277
2020-11-16,3.21782
2020-11-17,3.71287
2020-11-18,10.89108
2020-11-19,6.5594
2020-11-20,6.06435
2020-11-21,8.29207
2020-11-22,9.77722
2020-11-23,7.42574
2020-11-24,15.84158
2020-11-25,9.65346
2020-11-26,21.53465
2020-11-27,28.21782
2020-11-28,18.19306
2020-11-29,11.26237
2020-11-30,12.87128
2020-12-01,20.17326
2020-12-02,11.38613
2020-12-03,13.86138
2020-12-04,9.03465
2020-12-05,7.17821
2020-12-06,5.94059
2020-12-07,6.93069
2020-12-08,8.41584
2020-12-09,13.36633
2020-12-10,11.75742
2020-12-11,9.90099
2020-12-12,6.06435
2020-12-13,5.32178
2020-12-14,8.5396
2020-12-15,4.95049
2020-12-16,7.5495
2020-12-17,18.56435
2020-12-18,12.99504
2020-12-19,10.14851
2020-12-20,10.76732
2020-12-21,13.86138
2020-12-22,18.68811
2020-12-23,22.27722
2020-12-24,30.81683
2020-12-25,16.95544
2020-12-26,14.97524
2020-12-27,25.86633
2020-12-28,21.41089
2020-12-29,15.96534
2020-12-30,46.0396
2020-12-31,41.46039
2021-01-01,26.73267
2021-01-02,21.28712
2021-01-03,56.18811
2021-01-04,44.55445
2021-01-05,23.88613
2021-01-06,21.90594
2021-01-07,33.16831
2021-01-08,34.40594
2021-01-09,24.25742
2021-01-10,26.11386
2021-01-11,30.69306
2021-01-12,26.36138
2021-01-13,19.43069
2021-01-14,18.56435
2021-01-15,21.65841
2021-01-16,17.45049
2021-01-17,16.21287
2021-01-18,13.86138
2021-01-19,11.26237
2021-01-20,16.95544
2021-01-21,30.69306
2021-01-22,33.66336
2021-01-23,21.53465
2021-01-24,22.64851
2021-01-25,23.14356
2021-01-26,23.63861
2021-01-27,25.74257
2021-01-28,27.97029
2021-01-29,23.26732
2021-01-30,16.70792
2021-01-31,14.60396
2021-02-01,19.43069
2021-02-02,16.46039
2021-02-03,21.53465
2021-02-04,23.63861
2021-02-05,18.31683
2021-02-06,14.60396
2021-02-07,18.31683
2021-02-08,26.98019
2021-02-09,32.17821
2021-02-10,19.55445
2021-02-11,16.83168
2021-02-12,23.88613
2021-02-13,24.50495
2021-02-14,26.36138
2021-02-15,86.5099
2021-02-16,38.61386
2021-02-17,41.70792
2021-02-18,39.48019
2021-02-19,28.71287
2021-02-20,51.11386
2021-02-21,35.89108
2021-02-22,53.71287
2021-02-23,68.68811
2021-02-24,39.85148
2021-02-25,32.79702
2021-02-26,33.41584
2021-02-27,23.0198
2021-02-28,29.20792
2021-03-01,31.06435
2021-03-02,25.0
2021-03-03,16.33663
2021-03-04,19.43069
