date,메밀막국수
2020-03-20,7.97773
2020-03-21,12.15213
2020-03-22,15.8627
2020-03-23,7.97773
2020-03-24,11.50278
2020-03-25,11.87384
2020-03-26,10.38961
2020-03-27,10.57513
2020-03-28,13.35807
2020-03-29,13.54359
2020-03-30,9.55473
2020-03-31,12.05936
2020-04-01,10.01855
2020-04-02,7.7922
2020-04-03,10.6679
2020-04-04,10.76066
2020-04-05,14.10018
2020-04-06,8.25602
2020-04-07,9.0909
2020-04-08,13.63636
2020-04-09,10.94619
2020-04-10,9.3692
2020-04-11,12.24489
2020-04-12,12.52319
2020-04-13,53.33951
2020-04-14,17.34693
2020-04-15,14.28571
2020-04-16,10.48237
2020-04-17,9.74025
2020-04-18,15.8627
2020-04-19,9.92578
2020-04-20,8.25602
2020-04-21,8.62708
2020-04-22,7.14285
2020-04-23,8.99814
2020-04-24,12.52319
2020-04-25,15.8627
2020-04-26,18.83116
2020-04-27,11.9666
2020-04-28,14.74953
2020-04-29,11.03896
2020-04-30,18.92393
2020-05-01,22.72727
2020-05-02,21.42857
2020-05-03,33.76623
2020-05-04,22.26345
2020-05-05,24.86085
2020-05-06,15.49165
2020-05-07,32.09647
2020-05-08,16.51205
2020-05-09,14.93506
2020-05-10,15.8627
2020-05-11,13.35807
2020-05-12,14.47124
2020-05-13,13.72912
2020-05-14,18.64564
2020-05-15,11.68831
2020-05-16,18.92393
2020-05-17,21.98515
2020-05-18,12.80148
2020-05-19,11.9666
2020-05-20,12.80148
2020-05-21,10.38961
2020-05-22,12.24489
2020-05-23,18.46011
2020-05-24,15.30612
2020-05-25,12.24489
2020-05-26,12.05936
2020-05-27,18.64564
2020-05-28,15.49165
2020-05-29,16.97588
2020-05-30,25.23191
2020-05-31,27.55102
2020-06-01,16.51205
2020-06-02,18.55287
2020-06-03,17.99628
2020-06-04,18.08905
2020-06-05,21.24304
2020-06-06,34.32282
2020-06-07,31.91094
2020-06-08,26.06679
2020-06-09,29.6846
2020-06-10,23.74768
2020-06-11,22.35621
2020-06-12,20.22263
2020-06-13,33.20964
2020-06-14,33.48794
2020-06-15,22.07792
2020-06-16,19.75881
2020-06-17,21.3358
2020-06-18,16.32653
2020-06-19,17.99628
2020-06-20,27.17996
2020-06-21,36.64192
2020-06-22,26.25231
2020-06-23,20.77922
2020-06-24,11.59554
2020-06-25,12.24489
2020-06-26,13.17254
2020-06-27,22.26345
2020-06-28,37.56957
2020-06-29,15.95547
2020-06-30,12.61595
2020-07-01,13.17254
2020-07-02,16.79035
2020-07-03,13.45083
2020-07-04,24.2115
2020-07-05,26.8089
2020-07-06,91.00185
2020-07-07,20.31539
2020-07-08,20.31539
2020-07-09,20.68645
2020-07-10,15.02782
2020-07-11,25.04638
2020-07-12,21.52133
2020-07-13,11.50278
2020-07-14,12.05936
2020-07-15,14.47124
2020-07-16,16.41929
2020-07-17,17.4397
2020-07-18,22.82003
2020-07-19,19.01669
2020-07-20,12.33766
2020-07-21,16.69758
2020-07-22,11.68831
2020-07-23,9.0909
2020-07-24,8.16326
2020-07-25,16.60482
2020-07-26,26.8089
2020-07-27,19.29499
2020-07-28,10.85343
2020-07-29,10.76066
2020-07-30,13.63636
2020-07-31,16.69758
2020-08-01,20.59369
2020-08-02,21.79962
2020-08-03,18.7384
2020-08-04,14.65677
2020-08-05,17.81076
2020-08-06,12.43042
2020-08-07,30.61224
2020-08-08,14.93506
2020-08-09,14.37847
2020-08-10,10.85343
2020-08-11,10.76066
2020-08-12,13.2653
2020-08-13,16.141
2020-08-14,17.06864
2020-08-15,19.29499
2020-08-16,26.99443
2020-08-17,25.5102
2020-08-18,17.06864
2020-08-19,14.93506
2020-08-20,17.25417
2020-08-21,18.92393
2020-08-22,17.06864
2020-08-23,25.23191
2020-08-24,15.39888
2020-08-25,16.88311
2020-08-26,12.98701
2020-08-27,12.43042
2020-08-28,13.07977
2020-08-29,12.43042
2020-08-30,19.66604
2020-08-31,9.46196
2020-09-01,8.53432
2020-09-02,6.95732
2020-09-03,7.60667
2020-09-04,8.71985
