date,자동차보험가격비교
2020-03-20,7.25274
2020-03-21,4.17582
2020-03-22,2.1978
2020-03-23,7.25274
2020-03-24,4.61538
2020-03-25,6.5934
2020-03-26,3.2967
2020-03-27,5.4945
2020-03-28,1.75824
2020-03-30,5.93406
2020-03-31,18.46153
2020-04-01,8.7912
2020-04-02,7.25274
2020-04-03,3.95604
2020-04-04,4.3956
2020-04-05,4.61538
2020-04-06,5.27472
2020-04-07,2.1978
2020-04-08,3.95604
2020-04-09,2.85714
2020-04-10,3.51648
2020-04-11,1.31868
2020-04-12,2.63736
2020-04-13,5.71428
2020-04-14,3.07692
2020-04-15,2.1978
2020-04-16,6.15384
2020-04-17,3.73626
2020-04-18,4.3956
2020-04-20,5.4945
2020-04-21,5.05494
2020-04-22,5.93406
2020-04-23,5.71428
2020-04-24,9.23076
2020-04-25,2.1978
2020-04-26,1.97802
2020-04-27,7.6923
2020-04-28,7.03296
2020-04-29,4.3956
2020-04-30,3.2967
2020-05-01,6.15384
2020-05-02,2.85714
2020-05-03,3.95604
2020-05-04,5.27472
2020-05-05,3.51648
2020-05-06,6.5934
2020-05-07,5.4945
2020-05-08,4.3956
2020-05-09,2.41758
2020-05-10,3.51648
2020-05-11,6.5934
2020-05-12,6.15384
2020-05-13,7.6923
2020-05-14,7.25274
2020-05-15,6.15384
2020-05-16,2.1978
2020-05-17,1.75824
2020-05-18,5.05494
2020-05-19,7.03296
2020-05-20,5.27472
2020-05-21,4.17582
2020-05-22,4.61538
2020-05-23,1.31868
2020-05-24,2.63736
2020-05-25,5.71428
2020-05-26,4.83516
2020-05-27,4.17582
2020-05-28,3.95604
2020-05-29,4.83516
2020-05-30,3.07692
2020-05-31,2.41758
2020-06-01,6.15384
2020-06-02,14.72527
2020-06-03,6.5934
2020-06-04,4.83516
2020-06-05,7.03296
2020-06-06,6.81318
2020-06-08,4.61538
2020-06-09,18.46153
2020-06-10,6.37362
2020-06-11,4.3956
2020-06-12,7.25274
2020-06-13,2.85714
2020-06-15,6.37362
2020-06-16,7.6923
2020-06-17,4.17582
2020-06-18,2.63736
2020-06-19,5.05494
2020-06-20,1.75824
2020-06-21,1.75824
2020-06-22,4.83516
2020-06-23,6.37362
2020-06-24,6.5934
2020-06-25,6.15384
2020-06-26,6.37362
2020-06-27,2.41758
2020-06-28,1.31868
2020-06-29,5.93406
2020-06-30,5.93406
2020-07-01,6.81318
2020-07-02,7.25274
2020-07-03,2.85714
2020-07-04,1.31868
2020-07-05,3.95604
2020-07-06,7.03296
2020-07-07,5.4945
2020-07-08,5.05494
2020-07-09,4.3956
2020-07-10,5.93406
2020-07-11,6.15384
2020-07-12,3.73626
2020-07-13,4.83516
2020-07-14,4.83516
2020-07-15,10.32967
2020-07-16,5.4945
2020-07-17,4.61538
2020-07-18,1.75824
2020-07-19,2.85714
2020-07-20,10.32967
2020-07-21,5.27472
2020-07-22,1.75824
2020-07-23,4.61538
2020-07-24,2.63736
2020-07-25,2.63736
2020-07-26,1.31868
2020-07-27,5.71428
2020-07-28,4.17582
2020-07-29,4.17582
2020-07-30,4.83516
2020-07-31,4.83516
2020-08-02,1.31868
2020-08-03,7.6923
2020-08-04,2.63736
2020-08-05,3.07692
2020-08-06,6.37362
2020-08-07,9.01098
2020-08-08,4.61538
2020-08-09,3.95604
2020-08-10,6.5934
2020-08-11,4.83516
2020-08-12,5.05494
2020-08-13,7.6923
2020-08-14,6.81318
2020-08-15,5.71428
2020-08-16,5.05494
2020-08-17,6.37362
2020-08-18,7.03296
2020-08-19,7.6923
2020-08-20,6.37362
2020-08-21,6.81318
2020-08-22,2.85714
2020-08-23,2.1978
2020-08-24,6.5934
2020-08-25,5.4945
2020-08-26,7.25274
2020-08-27,6.81318
2020-08-28,5.27472
2020-08-29,2.41758
2020-08-30,7.47252
2020-08-31,7.25274
2020-09-01,2.85714
2020-09-02,6.37362
2020-09-03,6.5934
2020-09-04,8.35164
2020-09-05,5.27472
2020-09-06,3.07692
2020-09-07,7.47252
2020-09-08,5.93406
2020-09-09,5.4945
2020-09-10,8.35164
2020-09-11,6.81318
2020-09-12,5.27472
2020-09-13,3.95604
2020-09-14,4.3956
2020-09-15,14.72527
2020-09-16,8.13186
2020-09-17,7.25274
2020-09-18,5.71428
2020-09-19,1.75824
2020-09-20,2.1978
2020-09-21,7.03296
2020-09-22,15.82417
2020-09-23,8.7912
2020-09-24,4.83516
2020-09-25,3.2967
2020-09-26,1.75824
2020-09-27,3.51648
2020-09-28,5.05494
2020-09-29,5.71428
2020-09-30,1.75824
2020-10-01,2.63736
2020-10-02,2.1978
2020-10-03,1.75824
2020-10-04,2.85714
2020-10-05,7.47252
2020-10-06,6.5934
2020-10-07,6.5934
2020-10-08,4.3956
2020-10-09,1.75824
2020-10-10,1.53846
2020-10-11,1.31868
2020-10-12,5.93406
2020-10-13,16.26373
2020-10-14,9.23076
2020-10-15,5.05494
2020-10-16,5.27472
