date,대우건설주가
2020-03-20,9.03523
2020-03-21,1.22473
2020-03-22,0.90915
2020-03-23,6.96145
2020-03-24,7.26576
2020-03-25,9.18551
2020-03-26,8.01713
2020-03-27,7.19062
2020-03-28,1.09324
2020-03-29,0.63866
2020-03-30,5.79682
2020-03-31,6.98775
2020-04-01,6.75482
2020-04-02,6.44676
2020-04-03,6.01848
2020-04-04,0.73634
2020-04-05,0.53723
2020-04-06,6.04478
2020-04-07,6.38665
2020-04-08,7.05161
2020-04-09,7.29205
2020-04-10,6.99526
2020-04-11,0.8791
2020-04-12,0.91667
2020-04-13,6.77361
2020-04-14,8.16364
2020-04-15,1.10827
2020-04-16,6.86001
2020-04-17,7.92696
2020-04-18,0.98805
2020-04-19,0.70253
2020-04-20,7.74663
2020-04-21,7.39724
2020-04-22,7.16808
2020-04-23,7.96077
2020-04-24,6.40168
2020-04-25,0.78142
2020-04-26,0.6349
2020-04-27,7.34089
2020-04-28,8.11105
2020-04-29,8.44541
2020-04-30,1.11954
2020-05-01,1.35622
2020-05-02,0.58982
2020-05-03,0.54098
2020-05-04,6.54444
2020-05-05,1.34119
2020-05-06,7.45735
2020-05-07,6.4956
2020-05-08,5.89075
2020-05-09,0.8265
2020-05-10,0.61612
2020-05-11,5.48125
2020-05-12,5.06799
2020-05-13,5.02667
2020-05-14,7.28078
2020-05-15,7.60763
2020-05-16,0.8791
2020-05-17,0.7138
2020-05-18,5.74799
2020-05-19,6.53317
2020-05-20,5.68036
2020-05-21,5.56766
2020-05-22,4.62844
2020-05-23,0.50341
2020-05-24,0.43955
2020-05-25,4.41054
2020-05-26,6.29273
2020-05-27,6.99526
2020-05-28,6.32654
2020-05-29,7.27703
2020-05-30,1.56285
2020-05-31,0.84904
2020-06-01,7.2094
2020-06-02,6.98775
2020-06-03,9.52363
2020-06-04,7.78796
2020-06-05,7.82928
2020-06-06,1.15711
2020-06-07,0.83026
2020-06-08,7.05537
2020-06-09,6.84499
2020-06-10,6.14997
2020-06-11,5.52257
2020-06-12,5.50003
2020-06-13,0.72131
2020-06-14,0.52595
2020-06-15,5.21075
2020-06-16,6.58576
2020-06-17,5.21451
2020-06-18,4.92148
2020-06-19,5.16943
2020-06-20,0.75512
2020-06-21,0.56728
2020-06-22,5.57893
2020-06-23,5.13186
2020-06-24,5.37606
2020-06-25,4.31287
2020-06-26,4.45938
2020-06-27,0.63115
2020-06-28,0.46585
2020-06-29,4.02359
2020-06-30,5.41738
2020-07-01,5.00788
2020-07-02,4.70734
2020-07-03,4.58336
2020-07-04,0.61236
2020-07-05,0.46585
2020-07-06,4.74866
2020-07-07,4.21143
2020-07-08,4.21143
2020-07-09,4.24524
2020-07-10,3.64039
2020-07-11,0.38695
2020-07-12,0.37568
2020-07-13,4.53828
2020-07-14,4.00105
2020-07-15,5.41362
2020-07-16,5.12435
2020-07-17,4.67352
2020-07-18,0.62363
2020-07-19,0.3569
2020-07-20,4.78999
2020-07-21,4.98534
2020-07-22,4.48192
2020-07-23,4.15883
2020-07-24,3.78691
2020-07-25,0.54098
2020-07-26,0.45833
2020-07-27,6.70974
2020-07-28,8.46795
2020-07-29,7.93072
2020-07-30,6.00721
2020-07-31,5.10556
2020-08-01,0.58606
2020-08-02,0.57104
2020-08-03,4.9628
2020-08-04,8.77225
2020-08-05,8.05094
2020-08-06,7.14554
2020-08-07,6.0861
2020-08-08,0.86032
2020-08-09,0.96551
2020-08-10,6.39416
2020-08-11,7.41603
2020-08-12,6.73604
2020-08-13,7.12675
2020-08-14,5.76677
2020-08-15,0.94297
2020-08-16,0.61236
2020-08-17,1.4539
2020-08-18,5.15064
2020-08-19,5.04545
2020-08-20,4.94026
2020-08-21,5.77053
2020-08-22,0.60861
2020-08-23,0.53723
2020-08-24,5.27086
2020-08-25,5.79682
2020-08-26,5.96588
2020-08-27,6.10113
2020-08-28,6.6346
2020-08-29,0.84904
2020-08-30,0.74385
2020-08-31,7.91945
2020-09-01,8.19746
2020-09-02,7.23194
2020-09-03,7.19062
2020-09-04,6.09362
2020-09-05,1.05567
2020-09-06,0.77766
2020-09-07,7.08918
2020-09-08,6.27019
2020-09-09,6.06356
2020-09-10,7.31459
2020-09-11,7.01029
2020-09-12,1.14584
2020-09-13,0.84153
2020-09-14,8.71214
2020-09-15,7.54376
2020-09-16,6.77361
2020-09-17,5.64279
2020-09-18,5.52257
2020-09-19,0.78518
2020-09-20,0.72131
2020-09-21,5.25584
2020-09-22,6.08986
2020-09-23,5.91329
2020-09-24,5.90202
2020-09-25,5.38733
2020-09-26,0.84153
2020-09-27,0.70628
2020-09-28,5.58268
2020-09-29,5.27838
2020-09-30,0.74761
2020-10-01,0.60109
2020-10-02,0.5485
2020-10-03,0.48839
2020-10-04,0.56352
2020-10-05,5.71793
2020-10-06,5.48125
2020-10-07,5.86445
2020-10-08,6.76985
2020-10-09,1.25854
2020-10-10,0.84529
2020-10-11,0.75137
2020-10-12,6.18002
2020-10-13,5.59771
2020-10-14,5.22578
2020-10-15,5.00413
2020-10-16,5.10932
2020-10-17,0.69126
2020-10-18,0.51844
2020-10-19,6.9915
2020-10-20,7.73912
2020-10-21,6.77736
2020-10-22,6.46554
2020-10-23,7.99834
2020-10-24,1.29611
2020-10-25,0.90164
2020-10-26,7.69028
2020-10-27,6.63836
2020-10-28,6.36787
2020-10-29,6.07483
2020-10-30,6.49184
2020-10-31,0.7138
2020-11-01,0.76264
2020-11-02,7.19813
2020-11-03,7.15681
2020-11-04,7.34465
2020-11-05,7.21692
2020-11-06,8.37778
2020-11-07,1.07821
2020-11-08,0.9054
2020-11-09,10.44781
2020-11-10,13.35938
2020-11-11,13.88534
2020-11-12,12.73198
2020-11-13,12.4953
2020-11-14,1.48395
2020-11-15,1.0444
2020-11-16,12.15343
2020-11-17,11.25554
2020-11-18,10.64317
2020-11-19,11.10526
2020-11-20,9.67766
2020-11-21,1.05943
2020-11-22,1.03689
2020-11-23,10.55676
2020-11-24,9.86926
2020-11-25,11.44714
2020-11-26,10.15853
2020-11-27,9.38462
2020-11-28,1.23976
2020-11-29,1.11954
2020-11-30,8.37403
2020-12-01,8.69336
2020-12-02,8.51679
2020-12-03,15.0725
2020-12-04,19.34029
2020-12-05,3.39995
2020-12-06,3.04305
2020-12-07,14.87715
2020-12-08,13.44203
2020-12-09,18.54759
2020-12-10,33.11293
2020-12-11,28.78127
2020-12-12,4.45938
2020-12-13,3.30603
2020-12-14,22.53738
2020-12-15,17.73611
2020-12-16,19.3741
2020-12-17,16.22586
2020-12-18,20.98579
2020-12-19,2.88526
2020-12-20,2.44571
2020-12-21,18.88195
2020-12-22,15.60222
2020-12-23,18.01036
2020-12-24,42.65534
2020-12-25,6.80742
2020-12-26,4.64347
2020-12-27,4.0837
2020-12-28,27.57156
2020-12-29,22.73273
2020-12-30,32.80862
2020-12-31,8.3064
2021-01-01,4.69982
2021-01-02,3.76436
2021-01-03,4.04613
2021-01-04,38.5491
2021-01-05,67.80374
2021-01-06,69.36283
2021-01-07,62.1384
2021-01-08,52.86272
2021-01-09,9.08783
2021-01-10,7.73912
2021-01-11,53.52768
2021-01-12,44.37974
2021-01-13,40.32233
2021-01-14,47.9187
2021-01-15,38.01562
2021-01-16,5.68036
2021-01-17,4.38049
2021-01-18,53.02802
2021-01-19,62.28491
2021-01-20,57.54376
2021-01-21,48.79404
2021-01-22,40.96476
2021-01-23,5.27462
2021-01-24,4.40679
2021-01-25,41.20895
2021-01-26,32.34653
2021-01-27,31.71538
2021-01-28,47.97129
