date,코인거래소
2020-11-07,1.96402
2020-11-08,1.57856
2020-11-09,2.29441
2020-11-10,2.12922
2020-11-11,2.71659
2020-11-12,2.60646
2020-11-13,2.71659
2020-11-14,1.52349
2020-11-15,1.43171
2020-11-16,2.62481
2020-11-17,3.24889
2020-11-18,5.61674
2020-11-19,3.37738
2020-11-20,3.37738
2020-11-21,4.46035
2020-11-22,5.3414
2020-11-23,6.44273
2020-11-24,13.08737
2020-11-25,8.03964
2020-11-26,5.92878
2020-11-27,4.29515
2020-11-28,3.15712
2020-11-29,3.02863
2020-11-30,3.37738
2020-12-01,6.22246
2020-12-02,4.58883
2020-12-03,4.29515
2020-12-04,3.10205
2020-12-05,2.47797
2020-12-06,2.44126
2020-12-07,3.83627
2020-12-08,3.41409
2020-12-09,3.39574
2020-12-10,3.17547
2020-12-11,2.5881
2020-12-12,2.22099
2020-12-13,2.0558
2020-12-14,2.67988
2020-12-15,2.53303
2020-12-16,2.79001
2020-12-17,4.86417
2020-12-18,4.86417
2020-12-19,3.9464
2020-12-20,3.34067
2020-12-21,4.18502
2020-12-22,3.85462
2020-12-23,4.60719
2020-12-24,4.29515
2020-12-25,4.3135
2020-12-26,4.25844
2020-12-27,7.5624
2020-12-28,6.99339
2020-12-29,7.76431
2020-12-30,10.13215
2020-12-31,7.28707
2021-01-01,5.61674
2021-01-02,5.23127
2021-01-03,13.98678
2021-01-04,15.60205
2021-01-05,10.29735
2021-01-06,12.1696
2021-01-07,17.51101
2021-01-08,17.38252
2021-01-09,12.15124
2021-01-10,11.82085
2021-01-11,10.82966
2021-01-12,7.87444
2021-01-13,7.28707
2021-01-14,8.13142
2021-01-15,6.84654
2021-01-16,5.58002
2021-01-17,6.33259
2021-01-18,7.01174
2021-01-19,5.91042
2021-01-20,6.66299
2021-01-21,6.64464
2021-01-22,5.52496
2021-01-23,4.60719
2021-01-24,4.05653
2021-01-25,5.30469
2021-01-26,4.93759
2021-01-27,5.04772
2021-01-28,4.14831
2021-01-29,5.69016
2021-01-30,5.06607
2021-01-31,7.43392
2021-02-01,12.24302
2021-02-02,9.28781
2021-02-03,9.37958
2021-02-04,8.48017
2021-02-05,7.14023
2021-02-06,6.33259
2021-02-07,6.5345
2021-02-08,7.74596
2021-02-09,17.05212
2021-02-10,12.79368
2021-02-11,11.674
2021-02-12,11.3069
2021-02-13,13.27092
2021-02-14,12.13289
2021-02-15,14.0602
2021-02-16,12.92217
2021-02-17,28.9464
2021-02-18,66.59324
2021-02-19,37.99559
2021-02-20,45.99853
2021-02-21,32.0301
2021-02-22,36.10499
2021-02-23,22.94419
2021-02-24,19.6953
2021-02-25,16.75844
2021-02-26,13.50954
2021-02-27,10.49926
2021-02-28,8.38839
2021-03-01,9.34287
2021-03-02,11.71071
2021-03-03,12.97723
2021-03-04,11.43538
2021-03-05,9.89353
2021-03-06,7.69089
2021-03-07,8.46182
2021-03-08,10.02202
2021-03-09,14.51908
2021-03-10,14.11527
2021-03-11,17.07048
2021-03-12,18.20851
2021-03-13,22.41189
2021-03-14,27.71659
2021-03-15,29.79074
2021-03-16,31.82819
2021-03-17,25.0
2021-03-18,28.37738
2021-03-19,27.16593
2021-03-20,31.13069
2021-03-21,20.96182
2021-03-22,29.42364
2021-03-23,32.17694
2021-03-24,26.45007
2021-03-25,22.96255
2021-03-26,16.8135
2021-03-27,14.46402
2021-03-28,15.14317
2021-03-29,24.15565
2021-03-30,32.87444
2021-03-31,43.37371
2021-04-01,49.43098
2021-04-02,74.37591
2021-04-03,56.90161
2021-04-04,38.01395
2021-04-05,69.27312
2021-04-06,60.13215
2021-04-07,63.17914
2021-04-08,38.45447
2021-04-09,36.39867
2021-04-10,29.84581
2021-04-11,31.57121
2021-04-12,36.32525
2021-04-13,38.78487
2021-04-14,49.13729
2021-04-15,41.46475
2021-04-16,64.26211
2021-04-17,62.48164
2021-04-18,48.09104
2021-04-19,66.53817
2021-04-20,100.0
2021-04-21,89.40895
2021-04-22,95.17254
2021-04-23,88.41776
2021-04-24,42.62114
2021-04-25,31.64464
2021-04-26,34.82011
2021-04-27,33.37004
2021-04-28,27.27606
2021-04-29,23.6417
2021-04-30,24.22907
2021-05-01,25.40381
2021-05-02,19.54845
2021-05-03,26.90895
2021-05-04,43.6674
2021-05-05,45.33773
2021-05-06,48.27459
2021-05-07,49.61453
2021-05-08,35.1138
2021-05-09,39.42731
2021-05-10,46.97136
2021-05-11,39.11527
2021-05-12,34.93024
2021-05-13,34.72834
2021-05-14,30.837
2021-05-15,20.99853
2021-05-16,17.51101
2021-05-17,22.66886
2021-05-18,17.38252
2021-05-19,20.7232
2021-05-20,25.80763
2021-05-21,20.96182
2021-05-22,16.55653
2021-05-23,13.80323
2021-05-24,18.77753
2021-05-25,18.06167
2021-05-26,17.27239
2021-05-27,14.15198
2021-05-28,13.14243
2021-05-29,10.92143
2021-05-30,9.34287
2021-05-31,11.36196
2021-06-01,9.87518
2021-06-02,10.33406
2021-06-03,10.86637
2021-06-04,10.33406
2021-06-05,6.42437
2021-06-06,7.67254
2021-06-07,8.70044
2021-06-08,9.45301
2021-06-09,8.95741
2021-06-10,8.86563
2021-06-11,11.27019
2021-06-12,9.14096
2021-06-13,8.18649
2021-06-14,9.36123
2021-06-15,9.0859
2021-06-16,11.16005
2021-06-17,10.70117
2021-06-18,9.82011
2021-06-19,5.87371
2021-06-20,5.43318
2021-06-21,8.5903
2021-06-22,9.91189
2021-06-23,10.04038
2021-06-24,9.01248
2021-06-25,6.82819
2021-06-26,5.63509
2021-06-27,6.77312
2021-06-28,12.92217
2021-06-29,9.0859
2021-06-30,9.03083
2021-07-01,8.77386
2021-07-02,6.57121
2021-07-03,5.96549
2021-07-04,5.78193
2021-07-05,8.97577
2021-07-06,7.36049
2021-07-07,6.84654
2021-07-08,4.66226
2021-07-09,4.27679
2021-07-10,3.35903
2021-07-11,3.35903
2021-07-12,4.66226
2021-07-13,4.57048
2021-07-14,5.24963
2021-07-15,5.43318
2021-07-16,4.40528
2021-07-17,2.77165
2021-07-18,3.21218
2021-07-19,5.65345
2021-07-20,6.11233
2021-07-21,4.77239
2021-07-22,4.75403
2021-07-23,5.01101
2021-07-24,3.23054
2021-07-25,3.06534
2021-07-26,5.74522
2021-07-27,4.95594
2021-07-28,5.1395
2021-07-29,5.23127
2021-07-30,6.38766
2021-07-31,4.16666
2021-08-01,5.96549
2021-08-02,6.03891
2021-08-03,5.32305
2021-08-04,8.18649
2021-08-05,12.0044
2021-08-06,7.59911
2021-08-07,7.47063
2021-08-08,8.9207
2021-08-09,7.96622
2021-08-10,8.64537
2021-08-11,10.07709
2021-08-12,11.56387
2021-08-13,10.66446
2021-08-14,11.17841
2021-08-15,8.70044
2021-08-16,18.85095
2021-08-17,36.1417
2021-08-18,22.74229
2021-08-19,16.99706
2021-08-20,14.72099
2021-08-21,11.16005
2021-08-22,9.9486
2021-08-23,19.34654
2021-08-24,25.0
2021-08-25,29.14831
2021-08-26,38.91336
2021-08-27,19.21806
2021-08-28,10.1138
2021-08-29,11.41703
2021-08-30,13.83994
2021-08-31,14.00513
2021-09-01,15.34508
2021-09-02,17.51101
2021-09-03,15.91409
2021-09-04,15.16152
2021-09-05,21.18208
2021-09-06,35.18722
2021-09-07,35.66446
2021-09-08,34.41629
2021-09-09,24.55947
2021-09-10,20.77826
2021-09-11,11.85756
2021-09-12,19.58516
2021-09-13,21.36563
2021-09-14,22.63215
2021-09-15,18.19016
2021-09-16,21.67767
2021-09-17,47.74229
2021-09-18,23.29295
2021-09-19,13.45447
2021-09-20,13.47283
2021-09-21,16.50146
2021-09-22,15.85903
2021-09-23,26.28487
2021-09-24,62.7019
2021-09-25,37.44493
2021-09-26,22.20998
2021-09-27,24.70631
2021-09-28,16.46475
2021-09-29,12.73861
2021-09-30,10.8113
2021-10-01,9.37958
2021-10-02,7.83773
2021-10-03,6.47944
2021-10-04,7.98458
2021-10-05,12.66519
2021-10-06,12.35315
2021-10-07,11.21512
2021-10-08,9.89353
2021-10-09,7.92951
2021-10-10,7.94787
2021-10-11,8.55359
2021-10-12,13.0323
2021-10-13,11.45374
2021-10-14,11.72907
2021-10-15,15.49192
2021-10-16,10.99486
2021-10-17,7.25036
2021-10-18,9.36123
2021-10-19,9.82011
2021-10-20,10.15051
2021-10-21,13.71145
2021-10-22,9.30616
2021-10-23,6.62628
2021-10-24,6.44273
2021-10-25,9.82011
2021-10-26,9.36123
2021-10-27,11.43538
2021-10-28,10.55433
2021-10-29,11.72907
2021-10-30,10.29735
2021-10-31,9.9486
2021-11-01,12.57342
2021-11-02,13.63803
2021-11-03,14.26211
2021-11-04,12.7019
2021-11-05,10.20558
2021-11-06,6.97503
2021-11-07,7.59911
2021-11-08,11.36196
2021-11-09,13.95007
2021-11-10,14.59251
2021-11-11,11.16005
2021-11-12,11.78414
2021-11-13,8.66372
2021-11-14,10.13215
2021-11-15,15.10646
2021-11-16,15.62041
2021-11-17,16.18942
2021-11-18,17.25403
2021-11-19,13.85829
2021-11-20,11.71071
2021-11-21,11.36196
2021-11-22,15.45521
2021-11-23,13.10572
2021-11-24,13.27092
2021-11-25,17.01541
2021-11-26,16.9787
2021-11-27,11.43538
2021-11-28,9.96696
2021-11-29,13.23421
2021-11-30,14.73935
2021-12-01,13.05066
2021-12-02,13.95007
2021-12-03,10.86637
2021-12-04,14.28046
2021-12-05,12.11453
2021-12-06,11.89427
2021-12-07,10.55433
2021-12-08,10.9765
2021-12-09,10.93979
2021-12-10,7.70925
2021-12-11,8.31497
2021-12-12,7.74596
2021-12-13,9.41629
2021-12-14,10.51762
2021-12-15,11.27019
2021-12-16,9.72834
2021-12-17,6.82819
2021-12-18,4.99265
2021-12-19,6.1674
2021-12-20,7.1953
2021-12-21,6.97503
2021-12-22,7.26872
2021-12-23,7.70925
2021-12-24,8.03964
2021-12-25,5.04772
2021-12-26,5.98384
2021-12-27,7.17694
2021-12-28,7.61747
2021-12-29,8.16813
2021-12-30,7.78267
2021-12-31,6.40602
2022-01-01,6.82819
2022-01-02,5.65345
2022-01-03,8.84728
2022-01-04,8.13142
2022-01-05,7.28707
2022-01-06,7.74596
2022-01-07,7.85609
2022-01-08,5.32305
2022-01-09,5.01101
2022-01-10,5.80029
2022-01-11,7.94787
2022-01-12,7.67254
2022-01-13,7.48898
2022-01-14,6.79148
2022-01-15,4.68061
2022-01-16,7.14023
2022-01-17,7.15859
2022-01-18,6.3693
2022-01-19,7.43392
2022-01-20,7.34214
2022-01-21,5.92878
2022-01-22,8.20484
2022-01-23,7.15859
2022-01-24,7.63582
2022-01-25,7.30543
2022-01-26,7.26872
2022-01-27,7.21365
2022-01-28,6.38766
2022-01-29,4.77239
2022-01-30,5.85535
2022-01-31,4.71732
2022-02-01,4.35022
2022-02-02,4.88252
2022-02-03,5.6718
2022-02-04,5.10279
2022-02-05,6.27753
2022-02-06,5.58002
2022-02-07,7.23201
2022-02-08,8.48017
2022-02-09,6.66299
2022-02-10,7.28707
2022-02-11,5.63509
2022-02-12,3.79955
2022-02-13,4.3135
2022-02-14,6.47944
2022-02-15,5.04772
2022-02-16,5.80029
2022-02-17,5.32305
2022-02-18,5.45154
2022-02-19,3.98311
2022-02-20,5.32305
2022-02-21,6.47944
2022-02-22,6.02055
2022-02-23,4.75403
2022-02-24,6.3693
2022-02-25,5.3414
2022-02-26,4.33186
2022-02-27,3.90969
2022-02-28,4.69897
2022-03-01,6.40602
2022-03-02,5.81864
2022-03-03,5.19456
2022-03-04,5.08443
2022-03-05,3.34067
2022-03-06,3.13876
2022-03-07,5.39647
2022-03-08,4.77239
2022-03-09,2.93685
2022-03-10,4.95594
2022-03-11,4.6439
2022-03-12,3.57929
2022-03-13,3.39574
2022-03-14,4.1116
2022-03-15,4.18502
2022-03-16,5.3414
2022-03-17,5.15785
2022-03-18,5.59838
2022-03-19,5.72687
2022-03-20,4.25844
2022-03-21,5.41483
2022-03-22,6.22246
2022-03-23,6.44273
2022-03-24,5.21292
2022-03-25,5.48825
2022-03-26,4.66226
2022-03-27,3.96475
2022-03-28,7.3972
2022-03-29,7.5624
2022-03-30,6.6997
2022-03-31,8.55359
2022-04-01,6.24082
2022-04-02,5.65345
2022-04-03,4.6439
2022-04-04,8.2232
2022-04-05,6.02055
2022-04-06,6.40602
2022-04-07,6.64464
2022-04-08,6.09397
2022-04-09,3.89133
