date,채권매입
2020-11-08,5.23255
2020-11-09,8.72093
2020-11-10,11.04651
2020-11-11,15.69767
2020-11-12,12.2093
2020-11-13,11.6279
2020-11-14,5.81395
2020-11-15,12.5
2020-11-16,18.89534
2020-11-17,15.40697
2020-11-18,15.98837
2020-11-19,16.86046
2020-11-20,13.66279
2020-11-21,3.48837
2020-11-22,2.32558
2020-11-23,17.15116
2020-11-24,20.63953
2020-11-25,13.37209
2020-11-26,19.18604
2020-11-27,18.02325
2020-11-28,6.97674
2020-11-29,9.01162
2020-11-30,14.53488
2020-12-01,14.82558
2020-12-02,18.02325
2020-12-03,21.22093
2020-12-04,12.5
2020-12-05,4.65116
2020-12-06,4.94186
2020-12-07,13.66279
2020-12-08,18.31395
2020-12-09,15.98837
2020-12-10,19.18604
2020-12-11,26.16279
2020-12-12,6.68604
2020-12-13,7.26744
2020-12-14,16.86046
2020-12-15,20.34883
2020-12-16,14.53488
2020-12-17,39.53488
2020-12-18,18.60465
2020-12-19,6.68604
2020-12-20,8.72093
2020-12-21,20.05813
2020-12-22,12.5
2020-12-23,15.98837
2020-12-24,14.24418
2020-12-25,5.23255
2020-12-26,4.06976
2020-12-27,9.01162
2020-12-28,17.73255
2020-12-29,28.19767
2020-12-30,16.56976
2020-12-31,11.04651
2021-01-01,4.65116
2021-01-02,4.94186
2021-01-03,11.3372
2021-01-04,12.5
2021-01-05,16.86046
2021-01-06,18.60465
2021-01-07,11.04651
2021-01-08,12.5
2021-01-09,9.01162
2021-01-10,5.23255
2021-01-11,20.63953
2021-01-12,23.8372
2021-01-13,25.29069
2021-01-14,20.93023
2021-01-15,16.86046
2021-01-16,8.13953
2021-01-17,10.17441
2021-01-18,14.82558
2021-01-19,13.95348
2021-01-20,11.3372
2021-01-21,14.82558
2021-01-22,12.79069
2021-01-23,4.65116
2021-01-24,5.81395
2021-01-25,16.27906
2021-01-26,17.73255
2021-01-27,15.11627
2021-01-28,20.63953
2021-01-29,15.98837
2021-01-30,4.94186
2021-01-31,4.36046
2021-02-01,8.72093
2021-02-02,13.37209
2021-02-03,16.86046
2021-02-04,11.9186
2021-02-05,13.37209
2021-02-06,4.36046
2021-02-07,9.59302
2021-02-08,15.11627
2021-02-09,12.79069
2021-02-10,10.75581
2021-02-11,8.43023
2021-02-12,4.06976
2021-02-13,5.81395
2021-02-14,4.36046
2021-02-15,17.15116
2021-02-16,15.98837
2021-02-17,16.86046
2021-02-18,14.53488
2021-02-19,13.08139
2021-02-20,10.75581
2021-02-21,8.43023
2021-02-22,18.60465
2021-02-23,19.76744
2021-02-24,34.88372
2021-02-25,24.4186
2021-02-26,40.98837
2021-02-27,19.47674
2021-02-28,14.82558
2021-03-01,10.17441
2021-03-02,11.9186
2021-03-03,16.86046
2021-03-04,20.63953
2021-03-05,24.7093
2021-03-06,9.01162
2021-03-07,8.72093
2021-03-08,12.79069
2021-03-09,24.4186
2021-03-10,25.58139
2021-03-11,31.39534
2021-03-12,29.94186
2021-03-13,13.95348
2021-03-14,9.88372
2021-03-15,21.80232
2021-03-16,20.63953
2021-03-17,19.47674
2021-03-18,29.94186
2021-03-19,18.02325
2021-03-20,9.30232
2021-03-21,7.26744
2021-03-22,13.08139
2021-03-23,16.56976
2021-03-24,18.89534
2021-03-25,23.8372
2021-03-26,16.56976
2021-03-27,4.36046
2021-03-28,3.48837
2021-03-29,13.08139
2021-03-30,18.60465
2021-03-31,16.56976
2021-04-01,12.2093
2021-04-02,11.9186
2021-04-03,6.97674
2021-04-04,2.90697
2021-04-05,15.69767
2021-04-06,13.37209
2021-04-07,14.53488
2021-04-08,11.9186
2021-04-09,10.17441
2021-04-10,6.10465
2021-04-11,5.52325
2021-04-12,14.82558
2021-04-13,17.73255
2021-04-14,11.3372
2021-04-15,16.86046
2021-04-16,8.72093
2021-04-17,5.81395
2021-04-18,9.30232
2021-04-19,14.24418
2021-04-20,12.2093
2021-04-21,8.13953
2021-04-22,16.86046
2021-04-23,14.24418
2021-04-24,4.06976
2021-04-25,3.48837
2021-04-26,13.95348
2021-04-27,18.60465
2021-04-28,13.66279
2021-04-29,20.05813
2021-04-30,7.55813
