date,KODEX미국S&P500TR
2021-04-07,1.7647
2021-04-08,9.17647
2021-04-09,22.47058
2021-04-10,16.23529
2021-04-11,22.11764
2021-04-12,33.17647
2021-04-13,26.94117
2021-04-14,39.17647
2021-04-15,35.64705
2021-04-16,34.70588
2021-04-17,26.0
2021-04-18,26.23529
2021-04-19,54.58823
2021-04-20,53.29411
2021-04-21,45.41176
2021-04-22,39.7647
2021-04-23,100.0
2021-04-24,38.35294
2021-04-25,35.52941
2021-04-26,65.17647
2021-04-27,52.58823
2021-04-28,61.7647
2021-04-29,59.7647
2021-04-30,53.88235
2021-05-01,22.82352
2021-05-02,21.41176
2021-05-03,62.0
2021-05-04,56.70588
2021-05-05,26.58823
2021-05-06,53.88235
2021-05-07,43.88235
2021-05-08,21.29411
2021-05-09,29.88235
2021-05-10,71.17647
2021-05-11,65.41176
2021-05-12,57.29411
2021-05-13,47.88235
2021-05-14,42.82352
2021-05-15,16.82352
2021-05-16,22.11764
2021-05-17,50.11764
2021-05-18,53.52941
2021-05-19,17.64705
2021-05-20,51.88235
2021-05-21,45.41176
2021-05-22,13.7647
2021-05-23,17.64705
2021-05-24,52.35294
2021-05-25,51.05882
2021-05-26,49.29411
2021-05-27,46.35294
2021-05-28,51.88235
2021-05-29,17.41176
2021-05-30,23.52941
2021-05-31,59.64705
2021-06-01,60.70588
2021-06-02,54.94117
2021-06-03,50.94117
2021-06-04,46.70588
2021-06-05,15.17647
2021-06-06,18.35294
2021-06-07,49.29411
2021-06-08,53.29411
2021-06-09,46.11764
2021-06-10,42.94117
2021-06-11,59.29411
2021-06-12,18.11764
2021-06-13,20.11764
2021-06-14,52.35294
2021-06-15,47.05882
2021-06-16,45.52941
2021-06-17,44.11764
2021-06-18,45.7647
2021-06-19,11.88235
2021-06-20,15.88235
2021-06-21,60.58823
2021-06-22,49.52941
2021-06-23,46.58823
2021-06-24,53.17647
2021-06-25,54.23529
2021-06-26,17.7647
2021-06-27,18.70588
2021-06-28,68.11764
2021-06-29,57.41176
2021-06-30,58.23529
2021-07-01,54.23529
2021-07-02,47.52941
2021-07-03,18.0
2021-07-04,23.7647
2021-07-05,57.7647
2021-07-06,58.47058
2021-07-07,57.41176
2021-07-08,66.0
2021-07-09,51.64705
2021-07-10,20.70588
2021-07-11,22.82352
2021-07-12,73.05882
2021-07-13,58.94117
2021-07-14,59.88235
2021-07-15,64.35294
2021-07-16,50.11764
2021-07-17,20.94117
2021-07-18,24.94117
2021-07-19,54.82352
2021-07-20,64.70588
2021-07-21,54.0
2021-07-22,56.23529
2021-07-23,57.29411
2021-07-24,28.47058
2021-07-25,23.88235
2021-07-26,66.47058
2021-07-27,60.47058
2021-07-28,58.70588
2021-07-29,67.05882
2021-07-30,56.47058
2021-07-31,15.52941
2021-08-01,18.47058
2021-08-02,56.94117
2021-08-03,63.88235
2021-08-04,61.64705
2021-08-05,66.58823
2021-08-06,54.23529
2021-08-07,21.52941
2021-08-08,21.29411
2021-08-09,60.82352
2021-08-10,61.52941
2021-08-11,67.64705
2021-08-12,61.88235
2021-08-13,65.64705
2021-08-14,19.7647
2021-08-15,23.64705
2021-08-16,29.7647
2021-08-17,74.47058
2021-08-18,69.88235
2021-08-19,68.0
2021-08-20,63.41176
2021-08-21,20.23529
2021-08-22,24.35294
2021-08-23,60.35294
2021-08-24,69.7647
2021-08-25,62.35294
2021-08-26,65.52941
2021-08-27,66.35294
2021-08-28,25.05882
2021-08-29,22.47058
2021-08-30,65.05882
2021-08-31,70.70588
2021-09-01,63.52941
2021-09-02,57.7647
2021-09-03,57.29411
2021-09-04,19.05882
2021-09-05,22.23529
2021-09-06,64.47058
2021-09-07,54.58823
2021-09-08,54.0
2021-09-09,56.35294
2021-09-10,52.0
2021-09-11,19.17647
2021-09-12,16.47058
2021-09-13,53.17647
2021-09-14,54.0
2021-09-15,53.64705
2021-09-16,50.58823
2021-09-17,48.47058
2021-09-18,15.05882
2021-09-19,14.82352
2021-09-20,14.23529
2021-09-21,16.0
2021-09-22,16.94117
2021-09-23,68.35294
2021-09-24,68.82352
2021-09-25,18.70588
2021-09-26,18.11764
2021-09-27,52.70588
2021-09-28,52.35294
2021-09-29,54.94117
2021-09-30,47.41176
2021-10-01,60.11764
2021-10-02,18.11764
2021-10-03,17.64705
2021-10-04,24.0
2021-10-05,54.47058
2021-10-06,52.11764
2021-10-07,57.52941
2021-10-08,48.94117
2021-10-09,15.41176
2021-10-10,12.94117
2021-10-11,15.7647
2021-10-12,48.94117
2021-10-13,49.29411
2021-10-14,45.41176
2021-10-15,45.17647
2021-10-16,17.17647
2021-10-17,14.70588
2021-10-18,42.70588
2021-10-19,54.23529
2021-10-20,54.58823
2021-10-21,56.23529
2021-10-22,53.64705
2021-10-23,17.29411
2021-10-24,14.0
2021-10-25,55.41176
2021-10-26,62.35294
2021-10-27,63.64705
2021-10-28,57.88235
2021-10-29,57.17647
2021-10-30,17.17647
2021-10-31,17.88235
2021-11-01,64.11764
2021-11-02,69.17647
2021-11-03,68.82352
2021-11-04,71.64705
2021-11-05,68.82352
2021-11-06,20.70588
2021-11-07,20.0
2021-11-08,71.7647
2021-11-09,74.0
2021-11-10,61.88235
2021-11-11,56.11764
2021-11-12,52.0
2021-11-13,17.52941
2021-11-14,19.17647
2021-11-15,57.7647
2021-11-16,57.7647
2021-11-17,55.88235
2021-11-18,53.88235
2021-11-19,56.70588
2021-11-20,19.64705
2021-11-21,20.11764
2021-11-22,62.0
2021-11-23,57.64705
2021-11-24,47.41176
2021-11-25,62.70588
2021-11-26,56.58823
2021-11-27,15.41176
2021-11-28,17.17647
2021-11-29,64.70588
2021-11-30,67.64705
2021-12-01,64.70588
2021-12-02,74.0
2021-12-03,68.47058
2021-12-04,14.94117
2021-12-05,15.64705
2021-12-06,60.58823
2021-12-07,57.05882
2021-12-08,64.23529
2021-12-09,57.17647
2021-12-10,51.88235
2021-12-11,19.41176
2021-12-12,19.17647
2021-12-13,62.11764
2021-12-14,47.88235
2021-12-15,49.7647
2021-12-16,50.11764
2021-12-17,49.7647
2021-12-18,17.64705
2021-12-19,15.17647
2021-12-20,52.35294
2021-12-21,66.82352
2021-12-22,53.05882
2021-12-23,57.05882
2021-12-24,48.0
2021-12-25,19.7647
2021-12-26,15.64705
2021-12-27,59.41176
2021-12-28,61.17647
2021-12-29,61.64705
2021-12-30,64.35294
2021-12-31,30.70588
2022-01-01,20.58823
2022-01-02,22.23529
2022-01-03,66.47058
2022-01-04,74.35294
2022-01-05,62.70588
2022-01-06,79.29411
2022-01-07,67.7647
2022-01-08,21.64705
2022-01-09,20.70588
2022-01-10,63.64705
2022-01-11,65.64705
2022-01-12,58.58823
2022-01-13,60.0
2022-01-14,58.35294
2022-01-15,19.05882
2022-01-16,24.58823
2022-01-17,59.52941
2022-01-18,54.94117
2022-01-19,80.11764
2022-01-20,75.17647
2022-01-21,83.05882
2022-01-22,23.05882
2022-01-23,23.41176
2022-01-24,69.88235
2022-01-25,88.35294
2022-01-26,73.64705
2022-01-27,81.05882
2022-01-28,69.29411
2022-01-29,20.70588
2022-01-30,17.64705
2022-01-31,17.7647
2022-02-01,16.82352
2022-02-02,25.41176
2022-02-03,83.64705
2022-02-04,81.17647
2022-02-05,29.29411
2022-02-06,28.82352
2022-02-07,69.05882
2022-02-08,62.58823
2022-02-09,60.23529
2022-02-10,60.11764
2022-02-11,67.17647
2022-02-12,21.05882
2022-02-13,19.29411
2022-02-14,67.29411
2022-02-15,62.11764
2022-02-16,57.88235
2022-02-17,63.05882
2022-02-18,74.23529
2022-02-19,20.47058
2022-02-20,17.17647
2022-02-21,69.05882
2022-02-22,69.17647
2022-02-23,56.70588
2022-02-24,78.82352
2022-02-25,69.88235
2022-02-26,20.0
2022-02-27,18.94117
2022-02-28,62.35294
2022-03-01,22.94117
2022-03-02,63.17647
2022-03-03,56.47058
2022-03-04,52.11764
2022-03-05,14.58823
2022-03-06,16.94117
2022-03-07,47.05882
2022-03-08,56.35294
2022-03-09,17.88235
2022-03-10,47.41176
2022-03-11,42.94117
2022-03-12,15.41176
2022-03-13,15.52941
2022-03-14,44.58823
2022-03-15,52.35294
2022-03-16,51.7647
2022-03-17,65.52941
2022-03-18,53.41176
2022-03-19,23.29411
2022-03-20,17.64705
2022-03-21,66.11764
2022-03-22,56.0
2022-03-23,61.64705
2022-03-24,52.82352
2022-03-25,53.05882
2022-03-26,20.47058
2022-03-27,21.7647
2022-03-28,55.7647
2022-03-29,60.0
2022-03-30,65.29411
2022-03-31,59.17647
2022-04-01,54.35294
2022-04-02,18.23529
2022-04-03,19.05882
2022-04-04,56.58823
2022-04-05,47.05882
2022-04-06,53.7647
2022-04-07,56.23529
2022-04-08,46.0
2022-04-09,14.11764
2022-04-10,17.41176
2022-04-11,52.23529
2022-04-12,45.17647
2022-04-13,50.23529
2022-04-14,50.82352
2022-04-15,43.52941
2022-04-16,16.58823
2022-04-17,15.05882
2022-04-18,54.82352
2022-04-19,52.11764
2022-04-20,52.47058
2022-04-21,56.47058
2022-04-22,47.7647
2022-04-23,15.88235
2022-04-24,12.94117
2022-04-25,59.29411
2022-04-26,53.64705
2022-04-27,56.11764
2022-04-28,50.82352
2022-04-29,52.35294
2022-04-30,18.11764
2022-05-01,17.7647
2022-05-02,59.29411
2022-05-03,59.52941
2022-05-04,54.0
2022-05-05,18.70588
2022-05-06,52.70588
2022-05-07,18.23529
2022-05-08,14.58823
2022-05-09,56.58823
2022-05-10,73.64705
2022-05-11,63.52941
2022-05-12,54.0
2022-05-13,50.70588
2022-05-14,15.29411
2022-05-15,13.64705
2022-05-16,50.82352
2022-05-17,44.0
2022-05-18,50.47058
2022-05-19,64.82352
2022-05-20,57.29411
2022-05-21,13.29411
2022-05-22,15.52941
2022-05-23,53.64705
2022-05-24,52.94117
2022-05-25,53.41176
2022-05-26,41.17647
2022-05-27,42.35294
2022-05-28,14.35294
2022-05-29,15.17647
2022-05-30,55.29411
2022-05-31,59.88235
2022-06-01,15.88235
2022-06-02,44.0
2022-06-03,47.52941
2022-06-04,9.52941
2022-06-05,8.82352
2022-06-06,11.64705
2022-06-07,37.05882
2022-06-08,40.47058
2022-06-09,41.7647
2022-06-10,45.41176
2022-06-11,12.47058
2022-06-12,13.7647
2022-06-13,62.47058
2022-06-14,61.64705
2022-06-15,53.17647
2022-06-16,40.58823
2022-06-17,53.64705
2022-06-18,10.35294
2022-06-19,5.17647
