date,부동산PF
2020-03-20,1.69992
2020-03-21,0.86228
2020-03-22,1.0101
2020-03-23,2.98102
2020-03-24,1.99556
2020-03-25,2.04483
2020-03-26,4.01576
2020-03-27,4.26213
2020-03-28,1.40428
2020-03-29,1.13328
2020-03-30,2.66075
2020-03-31,1.97092
2020-04-01,2.21729
2020-04-02,4.82877
2020-04-03,3.32594
2020-04-04,1.74919
2020-04-05,1.97092
2020-04-06,5.17368
2020-04-07,5.54323
2020-04-08,3.20275
2020-04-09,2.85784
2020-04-10,3.89258
2020-04-11,1.33037
2020-04-12,1.52746
2020-04-13,3.27666
2020-04-14,2.53757
2020-04-15,0.98546
2020-04-16,2.48829
2020-04-17,2.38975
2020-04-18,1.05937
2020-04-19,1.50283
2020-04-20,2.71002
2020-04-21,2.63611
2020-04-22,2.11874
2020-04-23,2.24193
2020-04-24,2.34047
2020-04-25,1.18255
2020-04-26,1.05937
2020-04-27,2.09411
2020-04-28,1.72456
2020-04-29,1.89701
2020-04-30,1.18255
2020-05-01,0.86228
2020-05-02,0.59127
2020-05-03,0.66518
2020-05-04,1.2811
2020-05-05,0.96082
2020-05-06,2.24193
2020-05-07,2.04483
2020-05-08,1.23183
2020-05-09,0.61591
2020-05-10,0.73909
2020-05-11,1.79847
2020-05-12,2.36511
2020-05-13,2.80857
2020-05-14,2.16802
2020-05-15,2.06947
2020-05-16,0.41882
2020-05-17,1.13328
2020-05-18,3.96649
2020-05-19,3.3013
2020-05-20,2.0202
2020-05-21,1.42892
2020-05-22,1.69992
2020-05-23,0.83764
2020-05-24,0.813
2020-05-25,2.26656
2020-05-26,1.94629
2020-05-27,1.97092
2020-05-28,1.2811
2020-05-29,1.40428
2020-05-30,1.03473
2020-05-31,1.08401
2020-06-01,2.38975
2020-06-02,2.14338
2020-06-03,1.77383
2020-06-04,1.77383
2020-06-05,1.33037
2020-06-06,0.68982
2020-06-07,0.66518
2020-06-08,1.18255
2020-06-09,1.79847
2020-06-10,1.5521
2020-06-11,1.79847
2020-06-12,1.2811
2020-06-13,0.91155
2020-06-14,0.86228
2020-06-15,1.74919
2020-06-16,1.94629
2020-06-17,1.72456
2020-06-18,1.79847
2020-06-19,1.67528
2020-06-20,0.64055
2020-06-21,1.0101
2020-06-22,1.2811
2020-06-23,1.2811
2020-06-24,1.33037
2020-06-25,1.0101
2020-06-26,1.72456
2020-06-27,0.76373
2020-06-28,0.78837
2020-06-29,1.52746
2020-06-30,1.20719
2020-07-01,1.52746
2020-07-02,1.13328
2020-07-03,1.05937
2020-07-04,0.41882
2020-07-05,0.68982
2020-07-06,1.5521
2020-07-07,1.45355
2020-07-08,1.42892
2020-07-09,1.10864
2020-07-10,1.10864
2020-07-11,0.71446
2020-07-12,0.88691
2020-07-13,1.50283
2020-07-14,1.0101
2020-07-15,1.25646
2020-07-16,1.50283
2020-07-17,1.65065
2020-07-18,0.71446
2020-07-19,0.813
2020-07-20,1.84774
2020-07-21,1.89701
2020-07-22,2.19265
2020-07-23,1.65065
2020-07-24,1.35501
2020-07-25,0.66518
2020-07-26,0.76373
2020-07-27,1.23183
2020-07-28,1.62601
2020-07-29,1.40428
2020-07-30,1.15792
2020-07-31,1.74919
2020-08-01,1.18255
2020-08-02,1.05937
2020-08-03,1.40428
2020-08-04,2.21729
2020-08-05,1.72456
2020-08-06,2.04483
2020-08-07,1.79847
2020-08-08,0.73909
2020-08-09,0.88691
2020-08-10,1.35501
2020-08-11,1.30574
2020-08-12,1.2811
2020-08-13,0.93619
2020-08-14,0.78837
2020-08-15,0.61591
2020-08-16,0.813
2020-08-17,0.24636
2020-08-18,1.30574
2020-08-19,1.2811
2020-08-20,1.47819
2020-08-21,1.2811
2020-08-22,0.49273
2020-08-23,0.59127
2020-08-24,1.67528
2020-08-25,1.40428
2020-08-26,1.74919
2020-08-27,2.36511
2020-08-28,1.03473
2020-08-29,0.86228
2020-08-30,0.56664
2020-08-31,1.40428
2020-09-01,1.13328
2020-09-02,1.57674
2020-09-03,1.47819
2020-09-04,1.10864
2020-09-05,0.46809
2020-09-06,0.73909
2020-09-07,1.23183
2020-09-08,0.813
2020-09-09,1.42892
2020-09-10,1.15792
2020-09-11,0.93619
2020-09-12,0.68982
2020-09-13,0.86228
2020-09-14,1.8231
2020-09-15,1.74919
2020-09-16,1.05937
2020-09-17,1.20719
2020-09-18,1.52746
2020-09-19,0.61591
2020-09-20,0.56664
2020-09-21,1.13328
2020-09-22,1.15792
2020-09-23,1.35501
2020-09-24,1.35501
2020-09-25,1.03473
2020-09-26,0.39418
2020-09-27,0.44345
2020-09-28,1.23183
2020-09-29,0.73909
2020-09-30,0.44345
2020-10-01,0.56664
2020-10-02,0.64055
2020-10-03,0.51736
2020-10-04,0.78837
2020-10-05,1.67528
2020-10-06,1.05937
2020-10-07,1.05937
2020-10-08,1.10864
2020-10-09,0.56664
2020-10-10,0.88691
2020-10-11,0.76373
2020-10-12,1.62601
2020-10-13,1.23183
2020-10-14,1.5521
2020-10-15,1.33037
2020-10-16,0.98546
2020-10-17,0.36954
2020-10-18,0.59127
2020-10-19,1.52746
2020-10-20,1.52746
2020-10-21,1.2811
2020-10-22,1.2811
2020-10-23,0.86228
2020-10-24,0.76373
2020-10-25,0.46809
2020-10-26,1.42892
2020-10-27,1.5521
2020-10-28,1.33037
2020-10-29,1.23183
2020-10-30,1.42892
2020-10-31,0.41882
2020-11-01,0.56664
2020-11-02,1.0101
2020-11-03,1.30574
2020-11-04,0.96082
2020-11-05,1.10864
2020-11-06,0.86228
2020-11-07,0.39418
2020-11-08,0.76373
2020-11-09,1.25646
2020-11-10,1.0101
2020-11-11,1.23183
2020-11-12,1.35501
2020-11-13,0.76373
2020-11-14,0.76373
2020-11-15,0.542
2020-11-16,2.0202
2020-11-17,1.57674
2020-11-18,1.18255
2020-11-19,1.33037
2020-11-20,1.30574
2020-11-21,0.542
2020-11-22,1.10864
2020-11-23,1.25646
2020-11-24,1.42892
2020-11-25,1.33037
2020-11-26,1.10864
2020-11-27,0.88691
2020-11-28,0.71446
2020-11-29,0.86228
2020-11-30,1.05937
2020-12-01,0.93619
2020-12-02,0.88691
2020-12-03,1.42892
2020-12-04,1.0101
2020-12-05,0.71446
2020-12-06,0.813
2020-12-07,0.76373
2020-12-08,1.23183
2020-12-09,1.08401
2020-12-10,0.98546
2020-12-11,1.05937
2020-12-12,0.64055
2020-12-13,0.56664
2020-12-14,1.50283
2020-12-15,1.2811
2020-12-16,1.35501
2020-12-17,0.76373
2020-12-18,0.98546
2020-12-19,0.542
2020-12-20,0.73909
2020-12-21,0.78837
2020-12-22,1.03473
2020-12-23,0.93619
2020-12-24,0.98546
2020-12-25,0.76373
2020-12-26,0.59127
2020-12-27,0.542
2020-12-28,1.33037
2020-12-29,0.91155
2020-12-30,1.08401
2020-12-31,0.813
2021-01-01,0.56664
2021-01-02,0.91155
2021-01-03,0.66518
2021-01-04,1.33037
2021-01-05,1.42892
2021-01-06,1.13328
2021-01-07,1.35501
2021-01-08,1.30574
2021-01-09,0.56664
2021-01-10,0.88691
2021-01-11,1.52746
2021-01-12,1.62601
2021-01-13,1.52746
2021-01-14,1.92165
2021-01-15,1.67528
2021-01-16,0.93619
2021-01-17,0.83764
2021-01-18,0.83764
2021-01-19,1.5521
2021-01-20,1.40428
2021-01-21,1.40428
2021-01-22,1.2811
2021-01-23,0.32027
2021-01-24,0.98546
2021-01-25,1.10864
2021-01-26,1.50283
2021-01-27,1.74919
2021-01-28,1.50283
2021-01-29,1.23183
2021-01-30,0.68982
2021-01-31,0.78837
2021-02-01,1.25646
2021-02-02,1.2811
2021-02-03,1.05937
