date,기부채납
2020-03-20,4.19871
2020-03-21,1.84294
2020-03-22,1.52243
2020-03-23,4.18269
2020-03-24,4.61538
2020-03-25,4.45512
2020-03-26,4.77564
2020-03-27,4.21474
2020-03-28,1.71474
2020-03-29,1.58653
2020-03-30,4.45512
2020-03-31,4.5032
2020-04-01,4.11858
2020-04-02,4.85576
2020-04-03,4.03846
2020-04-04,1.66666
2020-04-05,1.74679
2020-04-06,4.71153
2020-04-07,5.46474
2020-04-08,4.95192
2020-04-09,4.96794
2020-04-10,4.02243
2020-04-11,1.61858
2020-04-12,1.84294
2020-04-13,4.69551
2020-04-14,3.9423
2020-04-15,2.05128
2020-04-16,4.90384
2020-04-17,4.47115
2020-04-18,2.05128
2020-04-19,2.03525
2020-04-20,4.75961
2020-04-21,4.96794
2020-04-22,5.54487
2020-04-23,4.90384
2020-04-24,4.72756
2020-04-25,1.61858
2020-04-26,1.9391
2020-04-27,5.35256
2020-04-28,6.41025
2020-04-29,4.93589
2020-04-30,2.03525
2020-05-01,3.17307
2020-05-02,2.24358
2020-05-03,4.13461
2020-05-04,4.02243
2020-05-05,3.78205
2020-05-06,7.16346
2020-05-07,7.37179
2020-05-08,5.49679
2020-05-09,1.97115
2020-05-10,2.48397
2020-05-11,4.74358
2020-05-12,5.08012
2020-05-13,5.30448
2020-05-14,4.95192
2020-05-15,4.39102
2020-05-16,1.61858
2020-05-17,1.77884
2020-05-18,5.40064
2020-05-19,5.46474
2020-05-20,6.04166
2020-05-21,5.56089
2020-05-22,4.77564
2020-05-23,1.875
2020-05-24,2.22756
2020-05-25,5.89743
2020-05-26,5.76923
2020-05-27,6.41025
2020-05-28,5.51282
2020-05-29,4.39102
2020-05-30,1.98717
2020-05-31,2.22756
2020-06-01,5.25641
2020-06-02,5.09615
2020-06-03,5.28846
2020-06-04,5.17628
2020-06-05,4.21474
2020-06-06,2.40384
2020-06-07,2.33974
2020-06-08,5.59294
2020-06-09,6.61858
2020-06-10,5.11217
2020-06-11,5.01602
2020-06-12,4.90384
2020-06-13,2.37179
2020-06-14,3.71794
2020-06-15,6.41025
2020-06-16,5.38461
2020-06-17,6.20192
2020-06-18,5.97756
2020-06-19,5.01602
2020-06-20,2.09935
2020-06-21,2.29166
2020-06-22,5.52884
2020-06-23,5.72115
2020-06-24,12.6282
2020-06-25,8.36538
2020-06-26,5.22435
2020-06-27,1.89102
2020-06-28,2.0032
2020-06-29,6.10576
2020-06-30,5.38461
2020-07-01,5.59294
2020-07-02,5.03205
2020-07-03,4.88782
2020-07-04,2.08333
2020-07-05,2.6282
2020-07-06,5.08012
2020-07-07,5.51282
2020-07-08,5.41666
2020-07-09,5.32051
2020-07-10,3.86217
2020-07-11,1.65064
2020-07-12,2.09935
2020-07-13,5.86538
2020-07-14,5.76923
2020-07-15,6.49038
2020-07-16,5.57692
2020-07-17,5.11217
2020-07-18,2.11538
2020-07-19,1.90705
2020-07-20,6.61858
2020-07-21,6.95512
2020-07-22,5.625
2020-07-23,6.18589
2020-07-24,5.32051
2020-07-25,2.17948
2020-07-26,3.3173
2020-07-27,7.6282
2020-07-28,7.35576
2020-07-29,7.94871
2020-07-30,5.28846
2020-07-31,4.75961
2020-08-01,1.84294
2020-08-02,9.10256
2020-08-03,21.875
2020-08-04,100.0
2020-08-05,53.78205
2020-08-06,22.17948
2020-08-07,9.51923
2020-08-08,7.03525
2020-08-09,5.17628
2020-08-10,10.99358
2020-08-11,6.9391
2020-08-12,6.08974
2020-08-13,6.47435
2020-08-14,5.04807
2020-08-15,2.5
2020-08-16,1.82692
2020-08-17,2.33974
2020-08-18,4.72756
2020-08-19,5.40064
2020-08-20,5.44871
2020-08-21,4.83974
2020-08-22,2.01923
2020-08-23,2.01923
2020-08-24,5.51282
2020-08-25,6.04166
2020-08-26,5.73717
2020-08-27,5.48076
2020-08-28,4.82371
2020-08-29,2.19551
2020-08-30,2.32371
2020-08-31,5.6891
2020-09-01,5.27243
2020-09-02,5.17628
2020-09-03,5.83333
2020-09-04,4.31089
2020-09-05,2.22756
2020-09-06,2.38782
2020-09-07,6.10576
2020-09-08,6.10576
2020-09-09,7.29166
2020-09-10,6.9391
2020-09-11,5.1282
2020-09-12,2.43589
2020-09-13,2.43589
2020-09-14,5.99358
2020-09-15,6.61858
2020-09-16,7.13141
2020-09-17,6.90705
2020-09-18,5.30448
2020-09-19,2.19551
2020-09-20,2.77243
2020-09-21,5.70512
2020-09-22,5.32051
2020-09-23,6.41025
2020-09-24,4.93589
2020-09-25,4.79166
2020-09-26,4.00641
2020-09-27,3.01282
2020-09-28,5.41666
2020-09-29,4.08653
2020-09-30,1.69871
2020-10-01,1.68269
2020-10-02,1.97115
2020-10-03,2.24358
2020-10-04,2.48397
2020-10-05,5.30448
2020-10-06,6.21794
2020-10-07,6.16987
2020-10-08,5.08012
2020-10-09,3.14102
2020-10-10,2.75641
2020-10-11,2.51602
2020-10-12,5.57692
2020-10-13,6.68269
2020-10-14,6.53846
2020-10-15,6.60256
2020-10-16,5.17628
2020-10-17,2.66025
2020-10-18,2.75641
2020-10-19,6.47435
2020-10-20,6.82692
2020-10-21,6.47435
2020-10-22,6.95512
2020-10-23,5.27243
2020-10-24,3.06089
2020-10-25,3.26923
2020-10-26,8.07692
2020-10-27,7.22756
2020-10-28,7.17948
2020-10-29,8.83012
2020-10-30,6.00961
2020-10-31,2.14743
2020-11-01,2.19551
2020-11-02,5.1923
2020-11-03,4.77564
2020-11-04,5.01602
2020-11-05,5.0641
2020-11-06,5.17628
2020-11-07,2.08333
2020-11-08,1.95512
2020-11-09,4.77564
2020-11-10,5.33653
2020-11-11,4.40705
2020-11-12,5.30448
2020-11-13,3.95833
2020-11-14,1.85897
2020-11-15,1.50641
2020-11-16,4.90384
2020-11-17,5.46474
2020-11-18,6.26602
2020-11-19,5.78525
2020-11-20,4.05448
2020-11-21,1.89102
2020-11-22,1.98717
2020-11-23,5.51282
2020-11-24,5.59294
2020-11-25,5.56089
2020-11-26,5.60897
2020-11-27,5.35256
2020-11-28,1.85897
2020-11-29,5.84935
2020-11-30,6.50641
2020-12-01,5.27243
2020-12-02,4.80769
2020-12-03,4.40705
2020-12-04,4.375
2020-12-05,1.74679
2020-12-06,2.53205
2020-12-07,5.17628
2020-12-08,5.1282
2020-12-09,5.60897
2020-12-10,5.28846
2020-12-11,5.1282
2020-12-12,1.98717
2020-12-13,1.77884
2020-12-14,4.63141
