date,나스닥선물실시간
2020-03-20,5.66395
2020-03-21,1.61015
2020-03-22,0.9282
2020-03-23,9.301
2020-03-24,5.56923
2020-03-25,8.54328
2020-03-26,8.25913
2020-03-27,5.43663
2020-03-28,1.49649
2020-03-29,0.83349
2020-03-30,4.90623
2020-03-31,3.84542
2020-04-01,4.77363
2020-04-02,5.20931
2020-04-03,2.89827
2020-04-04,0.68194
2020-04-05,0.41674
2020-04-06,3.12559
2020-04-07,4.16745
2020-04-08,3.37185
2020-04-09,3.67493
2020-04-10,1.87535
2020-04-11,0.18942
2020-04-12,0.18942
2020-04-13,1.81852
2020-04-14,1.04186
2020-04-15,1.34495
2020-04-16,1.53438
2020-04-17,1.1934
2020-04-18,0.3978
2020-04-20,0.77666
2020-04-21,0.87137
2020-04-22,1.326
2020-04-23,1.28812
2020-04-24,0.85243
2020-04-25,0.18942
2020-04-26,0.22731
2020-04-27,0.81454
2020-04-28,1.07974
2020-04-29,0.7956
2020-04-30,0.41674
2020-05-01,0.45463
2020-05-02,0.32203
2020-05-04,0.58723
2020-05-05,0.35991
2020-05-06,0.77666
2020-05-07,0.64406
2020-05-08,0.58723
2020-05-09,0.17048
2020-05-11,0.77666
2020-05-12,0.7956
2020-05-13,1.13657
2020-05-14,1.17446
2020-05-15,1.13657
2020-05-16,0.22731
2020-05-18,0.62511
2020-05-19,0.7956
2020-05-20,0.89032
2020-05-21,0.49251
2020-05-22,1.04186
2020-05-23,0.1326
2020-05-25,1.02292
2020-05-26,0.70089
2020-05-27,0.62511
2020-05-28,0.663
2020-05-29,1.21235
2020-05-30,0.24625
2020-06-01,0.51146
2020-06-02,0.30308
2020-06-03,0.24625
2020-06-04,0.68194
2020-06-05,0.3978
2020-06-08,0.35991
2020-06-09,1.0608
2020-06-10,0.54934
2020-06-11,0.77666
2020-06-12,2.02689
2020-06-13,0.34097
2020-06-14,0.1326
2020-06-15,2.36787
2020-06-16,2.80356
2020-06-17,2.46258
2020-06-18,1.93218
2020-06-19,1.21235
2020-06-20,0.37885
2020-06-21,0.17048
2020-06-22,1.64803
2020-06-23,1.83746
2020-06-24,1.47755
2020-06-25,2.38681
2020-06-26,1.51543
2020-06-27,0.56828
2020-06-28,0.09471
2020-06-29,2.91721
2020-06-30,1.76169
2020-07-01,1.83746
2020-07-02,1.23129
2020-07-03,1.57226
2020-07-04,0.43568
2020-07-05,0.17048
2020-07-06,1.38283
2020-07-07,1.78064
2020-07-08,1.98901
2020-07-09,1.13657
2020-07-10,1.26917
2020-07-11,0.18942
2020-07-13,0.75771
2020-07-14,1.70486
2020-07-15,1.15552
2020-07-16,2.67096
2020-07-17,1.79958
2020-07-18,0.17048
2020-07-20,1.40178
2020-07-21,0.85243
2020-07-22,2.06478
2020-07-23,1.26917
2020-07-24,1.64803
2020-07-25,0.2652
2020-07-26,0.09471
2020-07-27,1.25023
2020-07-28,1.68592
2020-07-29,1.07974
2020-07-30,1.38283
2020-07-31,0.75771
2020-08-01,0.09471
2020-08-03,0.51146
2020-08-04,0.9282
2020-08-05,0.83349
2020-08-06,0.98503
2020-08-07,1.09869
2020-08-08,0.11365
2020-08-10,1.57226
2020-08-11,1.1934
2020-08-12,1.53438
2020-08-13,1.25023
2020-08-14,1.11763
2020-08-15,0.1326
2020-08-17,0.94714
2020-08-18,1.36389
2020-08-19,1.07974
2020-08-20,2.25421
2020-08-21,1.97007
2020-08-22,0.18942
2020-08-24,1.11763
2020-08-25,1.23129
2020-08-26,1.57226
2020-08-27,1.1934
2020-08-28,1.13657
2020-08-29,0.41674
2020-08-30,0.15154
2020-08-31,0.85243
2020-09-01,0.98503
2020-09-02,1.326
2020-09-03,2.6899
2020-09-04,4.5842
2020-09-05,1.13657
2020-09-06,0.64406
2020-09-07,2.97404
2020-09-08,7.12256
2020-09-09,6.95207
2020-09-10,6.11858
2020-09-11,5.28509
2020-09-12,1.28812
2020-09-13,0.83349
2020-09-14,4.37582
2020-09-15,3.73176
2020-09-16,3.65599
2020-09-17,9.67986
2020-09-18,4.83046
2020-09-19,1.43966
2020-09-20,0.41674
2020-09-21,13.73366
2020-09-22,17.37071
2020-09-23,11.00587
2020-09-24,23.14832
2020-09-25,12.35082
2020-09-26,1.62909
2020-09-27,1.17446
2020-09-28,10.17238
2020-09-29,5.32297
2020-09-30,4.35688
2020-10-01,4.41371
2020-10-02,20.15533
2020-10-03,4.982
2020-10-04,2.4247
2020-10-05,8.75165
2020-10-06,10.58912
2020-10-07,10.22921
2020-10-08,7.72873
2020-10-09,4.11062
2020-10-10,1.72381
2020-10-11,0.71983
2020-10-12,7.02784
2020-10-13,9.6988
