date,CMA
2020-03-20,20.03321
2020-03-21,10.13195
2020-03-22,10.23345
2020-03-23,21.71265
2020-03-24,17.8924
2020-03-25,18.56602
2020-03-26,20.87293
2020-03-27,17.21878
2020-03-28,9.15382
2020-03-29,9.40297
2020-03-30,15.43785
2020-03-31,16.98809
2020-04-01,14.71809
2020-04-02,13.33394
2020-04-03,11.46073
2020-04-04,7.04992
2020-04-05,7.65894
2020-04-06,12.66033
2020-04-07,11.93134
2020-04-08,11.58069
2020-04-09,11.7837
2020-04-10,10.42724
2020-04-11,7.6128
2020-04-12,8.08341
2020-04-13,10.63947
2020-04-14,10.34419
2020-04-15,8.3787
2020-04-16,10.66715
2020-04-17,10.29805
2020-04-18,7.12374
2020-04-19,6.88382
2020-04-20,10.60256
2020-04-21,11.94057
2020-04-22,10.87939
2020-04-23,9.71671
2020-04-24,8.86776
2020-04-25,6.34862
2020-04-26,6.32093
2020-04-27,10.50106
2020-04-28,9.58752
2020-04-29,8.96004
2020-04-30,7.64971
2020-05-01,6.57008
2020-05-02,4.8076
2020-05-03,6.57008
2020-05-04,9.82744
2020-05-05,8.18492
2020-05-06,11.05471
2020-05-07,9.36606
2020-05-08,8.00036
2020-05-09,5.97951
2020-05-10,5.79496
2020-05-11,10.33496
2020-05-12,12.09744
2020-05-13,9.50447
2020-05-14,8.0465
2020-05-15,8.96927
2020-05-16,6.06256
2020-05-17,5.33357
2020-05-18,8.90467
2020-05-19,9.1815
2020-05-20,8.43406
2020-05-21,9.19073
2020-05-22,8.49866
2020-05-23,5.0752
2020-05-24,5.5089
2020-05-25,11.43305
2020-05-26,10.17809
2020-05-27,8.65553
2020-05-28,8.60016
2020-05-29,8.32333
2020-05-30,5.90569
2020-05-31,6.12715
2020-06-01,10.0489
2020-06-02,9.15382
2020-06-03,9.68902
2020-06-04,8.95081
2020-06-05,8.82162
2020-06-06,5.4074
2020-06-07,6.30248
2020-06-08,13.67537
2020-06-09,12.99252
2020-06-10,13.11248
2020-06-11,10.78711
2020-06-12,10.07658
2020-06-13,6.03488
2020-06-14,6.52394
2020-06-15,10.14118
2020-06-16,9.19996
2020-06-17,9.20919
2020-06-18,8.59093
2020-06-19,8.36024
2020-06-20,4.99215
2020-06-21,6.45012
2020-06-22,9.65211
2020-06-23,8.86776
2020-06-24,8.71089
2020-06-25,8.90467
2020-06-26,7.78813
2020-06-27,4.92756
2020-06-28,6.0441
2020-06-29,8.44329
2020-06-30,8.24951
2020-07-01,8.34179
2020-07-02,7.54821
2020-07-03,7.15142
2020-07-04,4.40158
2020-07-05,5.73959
2020-07-06,10.94398
2020-07-07,10.61179
2020-07-08,9.91971
2020-07-09,9.10768
2020-07-10,7.945
2020-07-11,6.40398
2020-07-12,6.77309
2020-07-13,9.38451
2020-07-14,8.87699
2020-07-15,8.68321
2020-07-16,8.36024
2020-07-17,7.60358
2020-07-18,4.78914
2020-07-19,5.18593
2020-07-20,8.41561
2020-07-21,9.21841
2020-07-22,8.96004
2020-07-23,9.65211
2020-07-24,8.8124
2020-07-25,5.63809
2020-07-26,6.22866
2020-07-27,9.6152
2020-07-28,9.74439
2020-07-29,8.66475
2020-07-30,8.93236
2020-07-31,7.74199
2020-08-01,5.68422
2020-08-02,5.52735
2020-08-03,9.05232
2020-08-04,9.06154
2020-08-05,10.09504
2020-08-06,9.19073
2020-08-07,9.46756
2020-08-08,6.33939
2020-08-09,7.82504
2020-08-10,11.7837
2020-08-11,12.07898
2020-08-12,11.07317
2020-08-13,10.06736
2020-08-14,9.52293
2020-08-15,5.79496
2020-08-16,5.38894
2020-08-17,6.6439
2020-08-18,8.50788
2020-08-19,10.18732
2020-08-20,9.71671
2020-08-21,9.20919
2020-08-22,5.64731
2020-08-23,5.90569
2020-08-24,9.39374
2020-08-25,11.13776
2020-08-26,10.51951
