date,국제금값
2020-11-08,2.40205
2020-11-09,7.14193
2020-11-10,12.25433
2020-11-11,10.18625
2020-11-12,7.91265
2020-11-13,6.73089
2020-11-14,5.4849
2020-11-15,2.2736
2020-11-16,5.96017
2020-11-17,7.52729
2020-11-18,7.30892
2020-11-19,6.62813
2020-11-20,6.06294
2020-11-21,3.98201
2020-11-22,1.91393
2020-11-23,4.66281
2020-11-24,8.24662
2020-11-25,8.36223
2020-11-26,7.55298
2020-11-27,7.30892
2020-11-28,5.78034
2020-11-29,2.8131
2020-11-30,6.21708
2020-12-01,8.09248
2020-12-02,8.45215
2020-12-03,7.96403
2020-12-04,7.65574
2020-12-05,4.56005
2020-12-06,2.24791
2020-12-07,5.0867
2020-12-08,7.69428
2020-12-09,7.43737
2020-12-10,7.51445
2020-12-11,6.48683
2020-12-12,4.04624
2020-12-13,1.70841
2020-12-14,4.34168
2020-12-15,6.33269
2020-12-16,6.93641
2020-12-17,7.2447
2020-12-18,7.70712
2020-12-19,5.39499
2020-12-20,2.15799
2020-12-21,5.52344
2020-12-22,7.65574
2020-12-23,6.60244
2020-12-24,6.40976
2020-12-25,4.08477
2020-12-26,2.26075
2020-12-27,2.15799
2020-12-28,4.90687
2020-12-29,6.62813
2020-12-30,5.8831
2020-12-31,5.72896
2021-01-01,4.4059
2021-01-02,2.86448
2021-01-03,2.73603
2021-01-04,5.78034
2021-01-05,10.22479
2021-01-06,10.72575
2021-01-07,9.17148
2021-01-08,8.33654
2021-01-09,8.50353
2021-01-10,3.15992
2021-01-11,8.25947
2021-01-12,8.73474
2021-01-13,7.1034
2021-01-14,7.65574
2021-01-15,7.03917
2021-01-16,4.77842
2021-01-17,2.35067
2021-01-18,4.2903
2021-01-19,7.00064
2021-01-20,6.52536
2021-01-21,6.78227
2021-01-22,6.79511
2021-01-23,4.149
2021-01-24,1.91393
2021-01-25,4.36737
2021-01-26,6.43545
2021-01-27,5.70327
2021-01-28,6.08863
2021-01-29,7.09055
2021-01-30,4.86833
2021-01-31,2.00385
2021-02-01,5.35645
2021-02-02,9.15863
2021-02-03,8.05394
2021-02-04,7.82273
2021-02-05,9.24855
2021-02-06,5.21515
2021-02-07,2.5305
2021-02-08,5.78034
2021-02-09,8.7219
2021-02-10,7.87411
2021-02-11,6.20423
2021-02-12,5.96017
2021-02-13,4.45728
2021-02-14,2.64611
2021-02-15,6.48683
2021-02-16,8.15671
2021-02-17,9.73667
2021-02-18,10.3147
2021-02-19,9.36416
2021-02-20,5.66473
2021-02-21,2.55619
2021-02-22,6.67951
2021-02-23,11.2524
2021-02-24,9.5183
2021-02-25,8.50353
2021-02-26,9.35131
2021-02-27,7.1034
2021-02-28,2.54335
2021-03-01,6.67951
2021-03-02,12.67822
2021-03-03,11.7919
2021-03-04,11.45793
2021-03-05,12.89659
2021-03-06,6.37122
2021-03-07,2.78741
2021-03-08,8.4393
2021-03-09,12.98651
2021-03-10,12.62684
2021-03-11,12.29287
2021-03-12,9.89081
2021-03-13,5.65189
2021-03-14,2.2736
2021-03-15,7.57867
2021-03-16,9.377
2021-03-17,8.52922
2021-03-18,10.67437
2021-03-19,8.8375
2021-03-20,5.03532
2021-03-21,2.35067
2021-03-22,6.64097
2021-03-23,7.5016
2021-03-24,7.33461
2021-03-25,8.23378
2021-03-26,8.33654
2021-03-27,4.48298
2021-03-28,2.33782
2021-03-29,5.74181
2021-03-30,6.80796
2021-03-31,6.10147
2021-04-01,6.08863
2021-04-02,6.08863
2021-04-03,2.94155
2021-04-04,1.51573
2021-04-05,3.49389
2021-04-06,5.96017
2021-04-07,6.48683
2021-04-08,5.8831
2021-04-09,6.92357
2021-04-10,3.33975
2021-04-11,1.18175
2021-04-12,4.61143
2021-04-13,7.16763
2021-04-14,6.73089
2021-04-15,7.27039
2021-04-16,8.52922
2021-04-17,4.50867
2021-04-18,2.00385
2021-04-19,7.1034
2021-04-20,8.52922
2021-04-21,10.14771
2021-04-22,9.64675
2021-04-23,8.47784
2021-04-24,4.22607
2021-04-25,1.64418
2021-04-26,4.99678
2021-04-27,6.92357
2021-04-28,5.99871
2021-04-29,6.87219
2021-04-30,6.11432
2021-05-01,3.09569
2021-05-02,1.18175
2021-05-03,5.20231
2021-05-04,8.63198
2021-05-05,7.09055
2021-05-06,8.19524
2021-05-07,11.29094
2021-05-08,5.61335
2021-05-09,2.26075
2021-05-10,7.63005
2021-05-11,10.32755
2021-05-12,8.9788
2021-05-13,9.27424
2021-05-14,8.27231
2021-05-15,5.81888
2021-05-16,2.36351
2021-05-17,9.29993
2021-05-18,12.614
2021-05-19,12.48554
2021-05-20,14.00128
2021-05-21,11.535
2021-05-22,5.84457
2021-05-23,2.96724
2021-05-24,11.535
2021-05-25,12.69107
2021-05-26,15.06743
2021-05-27,13.50032
2021-05-28,12.84521
2021-05-29,7.09055
2021-05-30,2.82594
2021-05-31,10.21194
2021-06-01,15.63262
2021-06-02,12.3314
2021-06-03,12.83236
2021-06-04,13.23057
2021-06-05,5.81888
2021-06-06,2.45343
2021-06-07,9.00449
2021-06-08,12.53692
2021-06-09,11.49646
2021-06-10,11.32947
2021-06-11,11.56069
2021-06-12,5.03532
2021-06-13,1.51573
2021-06-14,9.54399
2021-06-15,9.78805
2021-06-16,8.68336
2021-06-17,13.79576
2021-06-18,14.77199
2021-06-19,5.30507
2021-06-20,2.04238
2021-06-21,9.17148
2021-06-22,10.26332
2021-06-23,9.28709
2021-06-24,8.73474
