date,금투자방법
2020-03-20,14.50199
2020-03-21,13.26693
2020-03-22,13.54581
2020-03-23,10.3984
2020-03-24,19.3227
2020-03-25,25.85657
2020-03-26,29.92031
2020-03-27,28.88446
2020-03-28,18.48605
2020-03-29,13.06772
2020-03-30,13.22709
2020-03-31,10.95617
2020-04-01,12.19123
2020-04-02,11.55378
2020-04-03,10.31872
2020-04-04,8.80478
2020-04-05,8.80478
2020-04-06,19.04382
2020-04-07,20.35856
2020-04-08,22.9482
2020-04-09,18.00796
2020-04-10,26.61354
2020-04-11,16.65338
2020-04-12,23.66533
2020-04-13,27.96812
2020-04-14,25.57768
2020-04-15,24.74103
2020-04-16,17.76892
2020-04-17,19.08366
2020-04-18,13.30677
2020-04-19,16.05577
2020-04-20,13.06772
2020-04-21,15.2988
2020-04-22,27.76892
2020-04-23,26.81274
2020-04-24,21.55378
2020-04-25,14.98007
2020-04-26,15.57768
2020-04-27,16.33466
2020-04-28,12.82868
2020-04-29,10.03984
2020-04-30,10.35856
2020-05-01,10.03984
2020-05-02,7.21115
2020-05-03,3.86454
2020-05-04,2.62948
2020-05-05,1.4741
2020-05-06,9.72111
2020-05-07,8.76494
2020-05-08,8.60557
2020-05-09,9.96015
2020-05-10,7.21115
2020-05-11,7.92828
2020-05-12,8.84462
2020-05-13,7.56972
2020-05-14,7.80876
2020-05-15,7.45019
2020-05-16,5.53784
2020-05-17,7.01195
2020-05-18,11.19521
2020-05-19,11.35458
2020-05-20,8.88446
2020-05-21,7.09163
2020-05-22,6.33466
2020-05-23,4.94023
2020-05-24,6.09561
2020-05-25,6.21513
2020-05-26,7.56972
2020-05-27,5.81673
2020-05-28,6.05577
2020-05-29,5.37848
2020-05-30,3.58565
2020-05-31,4.30278
2020-06-01,4.94023
2020-06-02,4.90039
2020-06-03,5.57768
2020-06-04,5.57768
2020-06-05,3.18725
2020-06-06,2.90836
2020-06-07,4.14342
2020-06-08,5.498
2020-06-09,4.70119
2020-06-10,5.97609
2020-06-11,5.0996
2020-06-12,4.14342
2020-06-13,2.9482
2020-06-14,4.90039
2020-06-15,4.98007
2020-06-16,5.69721
2020-06-17,4.30278
2020-06-18,4.94023
2020-06-19,3.66533
2020-06-20,2.5498
2020-06-21,3.78486
2020-06-22,8.80478
2020-06-23,9.28286
2020-06-24,8.72509
2020-06-25,9.48207
2020-06-26,8.44621
2020-06-27,5.89641
2020-06-28,6.01593
2020-06-29,7.01195
2020-06-30,5.77689
2020-07-01,10.67729
2020-07-02,10.31872
2020-07-03,10.55776
2020-07-04,8.80478
2020-07-05,10.63745
2020-07-06,20.43824
2020-07-07,17.33067
2020-07-08,19.64143
2020-07-09,15.81673
2020-07-10,11.71314
2020-07-11,7.80876
2020-07-12,9.72111
2020-07-13,13.02788
2020-07-14,31.43426
2020-07-15,24.18326
2020-07-16,21.95219
2020-07-17,23.14741
2020-07-18,14.98007
2020-07-19,13.90438
2020-07-20,17.60956
2020-07-21,14.42231
2020-07-22,21.35458
2020-07-23,26.13545
2020-07-24,28.16733
2020-07-25,44.46215
2020-07-26,34.14342
2020-07-27,50.07968
2020-07-28,48.44621
2020-07-29,45.05976
