date,대형액자
2020-03-20,77.59336
2020-03-21,77.59336
2020-03-22,67.63485
2020-03-23,62.24066
2020-03-24,69.2946
2020-03-25,91.2863
2020-03-26,75.10373
2020-03-27,78.00829
2020-03-28,78.00829
2020-03-29,69.2946
2020-03-30,71.36929
2020-03-31,69.2946
2020-04-01,66.39004
2020-04-02,71.36929
2020-04-03,63.90041
2020-04-04,52.28215
2020-04-05,77.17842
2020-04-06,82.98755
2020-04-07,76.76348
2020-04-08,69.70954
2020-04-09,63.07053
2020-04-10,67.21991
2020-04-11,73.85892
2020-04-12,87.13692
2020-04-13,76.34854
2020-04-14,76.34854
2020-04-15,76.76348
2020-04-16,79.66804
2020-04-17,72.6141
2020-04-18,79.66804
2020-04-19,79.66804
2020-04-20,83.81742
2020-04-21,90.87136
2020-04-22,81.3278
2020-04-23,70.12448
2020-04-24,73.85892
2020-04-25,59.33609
2020-04-26,79.66804
2020-04-27,82.57261
2020-04-28,72.6141
2020-04-29,60.58091
2020-04-30,64.73029
2020-05-01,56.01659
2020-05-02,55.18672
2020-05-03,65.14522
2020-05-04,73.02904
2020-05-05,67.63485
2020-05-06,57.67634
2020-05-07,54.77178
2020-05-08,60.58091
2020-05-09,67.21991
2020-05-10,65.9751
2020-05-11,75.10373
2020-05-12,58.50622
2020-05-13,70.95435
2020-05-14,49.79253
2020-05-15,60.16597
2020-05-16,75.9336
2020-05-17,86.72199
2020-05-18,83.81742
2020-05-19,82.98755
2020-05-20,65.56016
2020-05-21,75.51867
2020-05-22,70.95435
2020-05-23,68.87966
2020-05-24,69.70954
2020-05-25,75.9336
2020-05-26,64.73029
2020-05-27,71.36929
2020-05-28,61.82572
2020-05-29,55.18672
2020-05-30,51.45228
2020-05-31,64.73029
2020-06-01,69.2946
2020-06-02,72.19917
2020-06-03,71.36929
2020-06-04,62.6556
2020-06-05,54.77178
2020-06-06,57.67634
2020-06-07,55.60165
2020-06-08,72.19917
2020-06-09,58.09128
2020-06-10,66.80497
2020-06-11,55.18672
2020-06-12,63.90041
2020-06-13,53.9419
2020-06-14,60.58091
2020-06-15,54.77178
2020-06-16,67.21991
2020-06-17,74.68879
2020-06-18,59.33609
2020-06-19,62.6556
2020-06-20,60.58091
2020-06-21,68.87966
2020-06-22,80.08298
2020-06-23,57.26141
2020-06-24,74.27385
2020-06-25,76.34854
2020-06-26,65.9751
2020-06-27,71.36929
2020-06-28,62.24066
2020-06-29,69.2946
2020-06-30,76.76348
2020-07-01,59.33609
2020-07-02,62.6556
2020-07-03,62.24066
2020-07-04,55.60165
2020-07-05,68.04979
2020-07-06,68.87966
2020-07-07,69.70954
2020-07-08,53.11203
2020-07-09,69.2946
2020-07-10,58.09128
2020-07-11,57.67634
2020-07-12,64.31535
2020-07-13,67.63485
2020-07-14,60.16597
2020-07-15,68.04979
2020-07-16,58.09128
2020-07-17,47.71784
2020-07-18,51.86721
2020-07-19,59.33609
2020-07-20,64.31535
2020-07-21,78.00829
2020-07-22,58.50622
2020-07-23,74.27385
2020-07-24,70.53941
2020-07-25,57.67634
2020-07-26,68.46473
2020-07-27,72.6141
2020-07-28,71.36929
2020-07-29,61.82572
2020-07-30,73.02904
2020-07-31,57.67634
2020-08-01,58.50622
2020-08-02,68.87966
2020-08-03,54.77178
2020-08-04,58.92116
2020-08-05,67.63485
2020-08-06,75.9336
2020-08-07,62.6556
2020-08-08,59.33609
2020-08-09,71.36929
2020-08-10,84.23236
2020-08-11,60.99585
2020-08-12,81.3278
2020-08-13,62.24066
2020-08-14,55.18672
2020-08-15,48.96265
2020-08-16,63.07053
2020-08-17,58.92116
2020-08-18,75.51867
2020-08-19,62.24066
2020-08-20,65.14522
2020-08-21,65.14522
2020-08-22,65.14522
