date,연말정산기간
2020-03-20,0.55592
2020-03-21,0.28234
2020-03-22,0.22798
2020-03-23,0.39809
2020-03-24,0.41562
2020-03-25,0.41562
2020-03-26,0.29637
2020-03-27,0.25954
2020-03-28,0.11223
2020-03-29,0.08417
2020-03-30,0.19115
2020-03-31,0.20343
2020-04-01,0.13678
2020-04-02,0.12977
2020-04-03,0.12451
2020-04-04,0.04208
2020-04-05,0.06137
2020-04-06,0.10872
2020-04-07,0.09645
2020-04-08,0.10872
2020-04-09,0.12275
2020-04-10,0.09996
2020-04-11,0.04559
2020-04-12,0.05962
2020-04-13,0.10171
2020-04-14,0.08067
2020-04-15,0.06664
2020-04-16,0.09119
2020-04-17,0.0719
2020-04-18,0.0491
2020-04-19,0.06664
2020-04-20,0.0947
2020-04-21,0.06839
2020-04-22,0.08943
2020-04-23,0.09294
2020-04-24,0.0719
2020-04-25,0.04208
2020-04-26,0.04033
2020-04-27,0.08067
2020-04-28,0.11048
2020-04-29,0.09119
2020-04-30,0.08242
2020-05-01,0.13854
2020-05-02,0.09119
2020-05-03,0.06664
2020-05-04,0.17361
2020-05-05,0.07365
2020-05-06,0.13328
2020-05-07,0.13678
2020-05-08,0.11574
2020-05-09,0.06137
2020-05-10,0.06839
2020-05-11,0.15783
2020-05-12,0.12802
2020-05-13,0.12977
2020-05-14,0.13152
2020-05-15,0.09996
2020-05-16,0.04559
2020-05-17,0.07365
2020-05-18,0.11574
2020-05-19,0.11749
2020-05-20,0.12451
2020-05-21,0.11048
2020-05-22,0.10697
2020-05-23,0.06839
2020-05-24,0.05436
2020-05-25,0.15958
2020-05-26,0.14029
2020-05-27,0.1438
2020-05-28,0.16835
2020-05-29,0.22622
2020-05-30,0.13503
2020-05-31,0.1438
2020-06-01,0.25253
2020-06-02,0.14029
2020-06-03,0.09996
2020-06-04,0.08067
2020-06-05,0.05787
2020-06-06,0.04033
2020-06-07,0.01753
2020-06-08,0.0754
2020-06-09,0.0491
2020-06-10,0.06839
2020-06-11,0.06664
2020-06-12,0.06839
2020-06-13,0.0263
2020-06-14,0.04735
