date,차용증
2020-03-20,45.4054
2020-03-21,27.46928
2020-03-22,26.43734
2020-03-23,48.79606
2020-03-24,47.51842
2020-03-25,49.0909
2020-03-26,49.828
2020-03-27,46.97788
2020-03-28,29.5823
2020-03-29,27.02702
2020-03-30,55.52825
2020-03-31,50.61425
2020-04-01,46.43734
2020-04-02,47.42014
2020-04-03,37.73955
2020-04-04,25.11056
2020-04-05,26.19164
2020-04-06,46.19164
2020-04-07,45.70024
2020-04-08,45.1597
2020-04-09,41.86732
2020-04-10,43.53808
2020-04-11,28.99262
2020-04-12,26.28992
2020-04-13,47.81326
2020-04-14,40.88452
2020-04-15,31.84275
2020-04-16,43.39066
2020-04-17,41.27764
2020-04-18,28.3538
2020-04-19,26.97788
2020-04-20,50.12285
2020-04-21,44.52088
2020-04-22,42.89926
2020-04-23,47.76412
2020-04-24,44.61916
2020-04-25,24.4226
2020-04-26,24.52088
2020-04-27,51.99017
2020-04-28,44.6683
2020-04-29,48.50122
2020-04-30,27.07616
2020-05-01,25.1597
2020-05-02,21.42506
2020-05-03,24.37346
2020-05-04,43.39066
2020-05-05,28.40294
2020-05-06,42.65356
2020-05-07,47.17444
2020-05-08,36.56019
2020-05-09,22.30958
2020-05-10,21.91646
2020-05-11,45.84766
2020-05-12,43.24324
2020-05-13,41.9656
2020-05-14,44.12776
2020-05-15,40.58968
2020-05-16,28.64864
2020-05-17,25.6511
2020-05-18,54.74201
2020-05-19,48.79606
2020-05-20,46.92874
2020-05-21,46.48648
2020-05-22,38.28009
2020-05-23,24.27518
2020-05-24,25.70024
2020-05-25,49.38574
2020-05-26,49.72972
2020-05-27,45.74938
2020-05-28,43.6855
2020-05-29,37.54299
2020-05-30,24.32432
2020-05-31,25.60196
2020-06-01,45.4054
2020-06-02,42.01474
2020-06-03,43.29238
2020-06-04,39.41031
2020-06-05,39.45945
2020-06-06,23.39066
2020-06-07,22.2113
2020-06-08,41.37592
2020-06-09,44.32432
2020-06-10,43.98034
2020-06-11,43.53808
2020-06-12,40.9828
2020-06-13,22.85012
2020-06-14,25.30712
2020-06-15,49.04176
2020-06-16,44.6683
2020-06-17,48.8452
2020-06-18,46.3882
2020-06-19,42.35872
2020-06-20,28.05896
2020-06-21,26.33906
2020-06-22,51.94103
2020-06-23,50.41769
2020-06-24,48.20638
2020-06-25,46.19164
2020-06-26,44.07862
2020-06-27,26.58476
2020-06-28,24.6683
2020-06-29,55.33169
2020-06-30,53.56265
2020-07-01,46.6339
2020-07-02,49.48402
2020-07-03,41.86732
2020-07-04,26.19164
2020-07-05,27.71498
2020-07-06,47.6167
2020-07-07,47.32186
2020-07-08,48.74692
2020-07-09,44.6683
2020-07-10,45.06142
2020-07-11,27.02702
2020-07-12,28.00982
2020-07-13,52.28501
2020-07-14,49.14004
2020-07-15,51.35135
2020-07-16,47.27272
2020-07-17,51.99017
2020-07-18,31.15479
2020-07-19,33.07125
2020-07-20,54.34889
2020-07-21,51.15479
2020-07-22,49.828
2020-07-23,46.3882
2020-07-24,47.76412
2020-07-25,28.99262
2020-07-26,25.45454
2020-07-27,54.10319
2020-07-28,53.85749
2020-07-29,52.72727
2020-07-30,47.81326
2020-07-31,46.43734
2020-08-01,28.3538
2020-08-02,27.07616
2020-08-03,44.47174
2020-08-04,42.55528
2020-08-05,44.96314
2020-08-06,45.6511
2020-08-07,38.13267
2020-08-08,24.07862
2020-08-09,24.12776
2020-08-10,48.25552
2020-08-11,42.7027
2020-08-12,40.09828
2020-08-13,44.914
2020-08-14,39.45945
2020-08-15,23.14496
2020-08-16,21.57248
2020-08-17,28.45208
2020-08-18,44.6683
2020-08-19,45.8968
2020-08-20,45.35626
2020-08-21,42.30958
2020-08-22,27.07616
2020-08-23,27.17444
2020-08-24,49.18918
2020-08-25,49.828
2020-08-26,49.63144
2020-08-27,46.78132
2020-08-28,41.81818
